data_id,xo,yo,thetao,vxo,vyo,omegao,xg,yg,thetag,vxg,vyg,omegag
0,5.0,4.3,0.0,0.0,0.0,0.0,5.3,4.0,0.0,0.0,1.0,0.0
1,4.994491233386166,4.366602886604878,0.12542008449796974,-0.06064641476439313,0.647612141290852,1.10788965073528,5.301510939086761,4.102931649867439,-0.03141192376161767,0.015782988053989488,0.9544300174249694,-0.27553205593087415
2,4.986177452343749,4.4446687567929,0.24820499212573396,-0.0862715834921911,0.7364988834746742,1.0866268345995056,5.303562400374044,4.215635598754869,-0.06802195245237048,0.020471604702226955,1.0454991434269643,-0.3676168327211499
3,4.975239095008284,4.531789765491597,0.3711597300662385,-0.10582104677440826,0.8060112643697699,1.1063541738818763,5.3061644353528346,4.33867083920489,-0.10285049687035441,0.025388414269903268,1.1388135447695353,-0.242394799248037
4,4.962113730532733,4.6249630008224925,0.4986668994686356,-0.13022454690377946,0.842548268400291,1.165301984951163,5.3093216578272875,4.472446957806994,-0.12878394012701383,0.030847978220172937,1.2366464584791932,-0.21843763461809007
5,4.944820888021676,4.719967941880504,0.6315192272529268,-0.17847402375866642,0.8446962415895728,1.187303228737639,5.3131487769308565,4.6176542380789325,-0.145014873530328,0.03717491693782606,1.3415359148170616,-0.08361301032335845
6,4.922470206086168,4.81309018764877,0.7618487589758165,-0.2156507967620062,0.8081841278141849,1.127067642192027,5.317574531350727,4.7751979731749365,-0.1554322409951859,0.04109202223951301,1.4559511348155274,-0.04637172581886129
7,4.896789400201972,4.900561118758941,0.88347926207932,-0.23292686488090278,0.7407413662408376,1.0195637464324285,5.322320170966448,4.9459616594102025,-0.1637970933130838,0.04147956341194236,1.5773417960389544,-0.10410652971756335
8,4.8695209941475515,4.979819999112587,0.9934694268043883,-0.24389622570131653,0.6639405537379526,0.9180215383299455,5.327097732762006,5.130484177300927,-0.17067342968237575,0.04171981627951662,1.7001146213937621,-0.07582428800043109
9,4.8423259784955075,5.0492163835618,1.0891108002319954,-0.23918624394489874,0.5727645475163128,0.789188983940827,5.331628094174134,5.329091533037094,-0.17687003970922455,0.03898655726475209,1.826006702075921,-0.07200899100195976
10,4.815852132586512,5.10824257654317,1.1709106264354416,-0.2312209161323753,0.4798222480327071,0.6707460998869488,5.335885662036271,5.541868350159091,-0.18260064618968866,0.03690508066142667,1.9547025567808292,-0.06690325237700026
11,4.7904660182515215,5.15675556808466,1.2397688406304355,-0.21991634774174562,0.3860274039869849,0.5582350278065755,5.339921040225702,5.768745681426835,-0.18791396071737018,0.0347153532971267,2.077113890843593,-0.08351349944535276
12,4.766575933065143,5.194704118588323,1.2961421152667831,-0.20459614084804673,0.29213985729142067,0.4482221128457169,5.343739693306059,6.009774609547007,-0.19329112905020132,0.03318529055501029,2.2031533683516624,-0.06705033511074779
13,4.744720349373689,5.222127643207725,1.3401738492083501,-0.18353296435420158,0.19908278245246272,0.33862704204443966,5.347379350440707,6.264971378382065,-0.19867049291388017,0.031723129466190096,2.3287803310949795,-0.05448493556529989
14,4.725765022760339,5.239223291127105,1.3719243715161273,-0.15219715442735424,0.10907448339918424,0.23055753162243287,5.350859983438499,6.534293613223402,-0.20365867156670414,0.030374870535010583,2.453892208609538,-0.019941825945867242
15,4.711529127227478,5.246914069315758,1.391850233645771,-0.09817517984702193,0.036334698917989294,0.12412245056918667,5.354215442525122,6.817733050496421,-0.2090860021961844,0.029211269651768994,2.580079352123774,-0.07896239084456716
16,4.704734042325102,5.248517886806606,1.3986074741602885,-0.02046424706496294,0.0007009821190907733,0.012178307735018157,5.356307362006156,6.9001532435870825,-0.20159117307767355,0.007676046705273876,-0.02524066910298898,0.03581426828558733
17,4.704526184575852,5.248521462329733,1.3987278743031386,6.760452480106414e-06,-2.6209015563865387e-06,1.0752706433740555e-05,5.356677280862243,6.900008108387247,-0.2009067789183001,0.000555613261499808,0.00019364367289010677,0.0013492041691007836
18,4.704526919978378,5.248521169881641,1.398729083972361,6.437279246482862e-06,-2.590016727514807e-06,1.0752569956218557e-05,5.356701271857381,6.9000197822296165,-0.20086293215580273,-2.2334960204146005e-05,8.070672135890994e-07,0.0004251818975328761
19,4.70452764152329,5.248520878758069,1.3987302936341446,6.4032281054084085e-06,-2.586759667281156e-06,1.0752533915112081e-05,5.356702964089958,6.9000202979723335,-0.200843683467142,3.274546573661824e-05,-3.0480142994279008e-05,0.0001465087825917767
20,4.704528361605396,5.248520587774684,1.3987315032926961,6.399605614774811e-06,-2.5864097159637703e-06,1.0752508329951316e-05,5.356701361331628,6.900022171522852,-0.20082126922204224,-1.8040178313505495e-05,1.9798029768643838e-05,8.8190071376083e-05
