shortest_distance,com_distance,max_contact_normal_force
2.0872192862952943e-13,0.4242640687119283,0
2.0585058623704195e-05,0.4047127706842153,2.9861286558764073
1.7414235527360652e-05,0.3914054702498987,1.013560557914601
8.821997719460112e-06,0.3831650087328287,1.2098199105608818
7.720838832988382e-06,0.37924057791487203,0.7793688956717182
2.4815315477470027e-05,0.3822858257864786,1.5658434460091768
8.31001420851131e-05,0.3969283948855148,0.0
5.39965795516956e-05,0.4279562937519852,0.0
0.0011754352650139247,0.4817521089991509,0.0
0.0039265352217825395,0.56369814743649,0
0,0.6771092068234804,0
0,0.8224610774007997,0
0,0.9987326416357103,0
0,1.204463030664315,0
0,1.438040784738382,0
0,1.6972115455187813,0
0,1.7755157913260717,0
0,1.775587028212648,0
0,1.7756066718091237,0
0,1.7756077784934965,0
0,1.7756089385613045,0
