num_traj,data_id,xo,yo,thetao,vxo,vyo,omegao,xg,yg,thetag,vxg,vyg,omegag
0,0,5.622445978789006,7.362440901017674,0.1415944649375874,0.0,0.0,0.0,5.596866971356689,7.001118393946173,0.0,0.0,0.1386767138189139,0.0
0,1,5.6209846393164185,7.377637451022291,0.13468978983121518,-0.029301409525423497,0.32022173544107807,-0.14494128373754048,5.597081237858145,7.071334775253654,0.00684555722985127,0.007319083576055164,0.34945032430954387,0.15768674468464236
0,2,5.612896248065432,7.4876515618153725,0.08854941885737556,-0.0320052524312908,0.5486186319676288,-0.209022696637431,5.599240775524543,7.185189550284497,0.052946746554385485,0.009146475719609783,0.558276315102093,0.2735043969358204
0,3,5.605677944178861,7.65389054965962,0.03402579202739623,-0.024477142161561913,0.7820692426374825,-0.21882416132147806,5.601565142117679,7.353473292752755,0.12224575350462417,0.010033020230716495,0.7765795525415546,0.3076333362825264
0,4,5.601248911865078,7.875430235867263,-0.016961238565368283,-0.012758040691347556,0.9941431590837052,-0.18785024619757343,5.603468409709429,7.575355219309736,0.20678697010729527,0.00621172493454997,0.9929483617598289,0.31571286509310376
0,5,5.60000682778009,8.151852631517217,-0.056926950020988985,0.002666186608010056,1.2140908967012587,-0.13014937588482892,5.604345791678387,7.851130591828578,0.2925262383125296,0.0019387379440744855,1.2110095761849977,0.31758602452478246
0,6,5.602568645582135,8.481812425527064,-0.08145688615112569,0.014046009138818934,1.4234778486369382,-0.07283568938978566,5.604123388504798,8.180698156218492,0.3734858955420477,-0.003431980360679722,1.423129658259105,0.26282016470687025
0,7,5.607625588104927,8.802404432071755,0.0022544809598260174,-0.011600490215490365,-0.06006998633007726,-0.06361957780935626,5.603014727714929,8.502464411337861,0.4243015793582764,-0.009310422912374388,-0.06096355728678325,0.10370956801244546
0,8,5.607146909922719,8.800047185573405,8.397861442320291e-07,-3.131426747573294e-05,-0.00014570063837664277,-0.00027505835640406697,5.602579307454809,8.500059271086759,0.42939725739379764,-2.6113293330033954e-05,-9.888875831660059e-05,-0.0006599216693288124
0,9,5.607151704437948,8.800038864466673,-4.719011130666145e-06,2.880443589270871e-05,-2.5648602913794735e-05,3.493417040117327e-06,5.602582108050689,8.500051794824586,0.4293469459835506,1.1891775564190274e-05,-2.577286807577822e-05,-0.00020229736445016595
1,0,4.436107760304304,7.284766733013124,-0.03094407156430903,0.0,0.0,0.0,4.17471553965198,6.929779505930574,0.0,0.0,0.07612873177853932,0.0
1,1,4.436107626364172,7.284766652650891,-0.03094350893858482,-7.949041916711038e-07,-3.9658287861903416e-07,3.4865579909685285e-06,4.175151723283665,6.985900720890084,0.0014415318375808094,0.0013446641944847876,0.3636642398281022,0.04825089779604916
1,2,4.439854574303168,7.359148359378109,-0.14080717092012007,0.023784945062434174,0.4064929302744211,-0.5329748343929152,4.174287923249273,7.093656392369284,0.029372377369047853,-0.006293508922074883,0.5372745144085144,0.1588316201439107
1,3,4.449797758961512,7.485938394955119,-0.2987366986337261,0.059185842999747426,0.6028313548995796,-0.7355284024408071,4.171108647512522,7.257778985721877,0.0715379911698891,-0.02010877705871572,0.7685039033949126,0.14964813426637777
1,4,4.4709189527232365,7.653423096838392,-0.505181972319994,0.11425851487774119,0.7283460710920736,-0.9305360953908566,4.164218754538171,7.479971179337467,0.11467497318455969,-0.03587494637760612,1.00411690016025,0.17768919401467315
1,5,4.509516129037692,7.840612617919696,-0.7528052484024408,0.2019910850852581,0.7647331968341913,-1.035867147484177,4.153262882583253,7.762474576070378,0.14874409943221725,-0.05407585974576384,1.2583302157429348,0.09867555019241483
1,6,4.562762599538086,8.021182691061966,-0.9950311573631037,0.22418824215243394,0.6813803153663114,-0.9081725511364531,4.139908788152128,8.11567637565819,0.17707097642796438,-0.05447245517166468,1.5521064600018772,0.10562383899257051
1,7,4.618420431322931,8.177788631379803,-1.2010286191950723,0.22012801058701847,0.572254314449032,-0.7468465122362475,4.1269805975417375,8.54166876472798,0.20584936807724047,-0.04948980540405236,1.8453006082926833,0.1338712178989369
1,8,4.672325362428785,8.30651300316975,-1.369483412610877,0.21037193569875293,0.4590659848009661,-0.6052151294499987,4.115980965946488,8.899923120180533,0.21588694450898913,-0.01823020342221905,-0.04553912211444871,-0.16988296130937378
1,9,4.722270299679118,8.389479908133916,-1.515571010332024,0.18223908473000966,0.07902687887389828,-0.6215836988517413,4.115142205869065,8.900012247019825,0.21017546217712504,-3.247503780090985e-05,9.836044853939272e-05,-0.0002919067290832097
2,0,5.685175263474985,6.763066740068714,-0.10801367601862116,0.0,0.0,0.0,5.7052378363276075,6.399754717666929,0.0,0.0,0.014293893114639734,0.0
2,1,5.685175189461288,6.76306675493583,-0.10801336043176864,-8.682073157325367e-07,-8.778755340993492e-07,2.2780174384052748e-06,5.705367863376575,6.443119860590686,0.00021843531377623493,9.976913444469961e-05,0.3339419981888112,0.0028665368092977705
2,2,5.688819078825681,6.844711013574367,-0.0824394424031681,0.016644790567178915,0.4784130775626692,0.14240064444880546,5.704234258356879,6.54224575655656,-0.0023843471024589473,-0.006798720061447641,0.49104328530526664,0.029233805974920982
2,3,5.692442124081515,6.992945510222319,-0.0430705473551546,0.011791013029256033,0.7008644003699658,0.1665138322561959,5.70254254499502,6.692136653363794,-0.00992820310165376,-0.0060818546344504915,0.7039632953508331,-0.08210166897331282
2,4,5.694444535237963,7.196256933588663,-0.00129815048686692,0.0027268416461148264,0.920926299192315,0.16203196788105753,5.7016259998590995,6.8962545908697175,-0.02646717750747735,-0.0034200722843834392,0.9220583655909638,-0.07132227138913666
