n_episode,n_iteration,xo,yo,thetao,vxo,vyo,omegao,xg,yg,thetag,vxg,vyg,omegag
0,0,5.245803356170654,6.483573913574219,1.8799222707748413,0.0,0.0,0.0,5.857405662536621,6.483573913574219,0.0,-0.00566432811319828,0.0,0.0
0,1,5.245810508728027,6.483573913574219,1.8799329996109009,1.7117949028033763e-05,-1.7897130533128802e-07,2.6944357159663923e-05,5.80045223236084,6.464646339416504,0.035342633724212646,-0.2768106162548065,-0.09466482698917389,0.14065086841583252
0,2,5.2458176612854,6.483573913574219,1.8799437284469604,1.7118692994699813e-05,-1.786274737014537e-07,2.6944968340103514e-05,5.838839054107666,6.358314037322998,0.04382299259305,0.3650141656398773,-0.43017587065696716,-0.14430148899555206
0,3,5.245824813842773,6.483573913574219,1.87995445728302,1.7119436961365864e-05,-1.7828347154136281e-07,2.6945579520543106e-05,5.8698272705078125,6.082831859588623,-0.005211066920310259,-0.15485350787639618,-0.9295012950897217,-0.03936922177672386
0,4,5.215573787689209,6.494062900543213,1.8064457178115845,-0.3912951648235321,0.1209842711687088,-0.8832515478134155,5.64927339553833,5.9459075927734375,-0.032071083784103394,-0.8248649835586548,0.13179132342338562,0.09475795179605484
0,5,4.936252117156982,6.537928104400635,1.2100869417190552,-1.2908767461776733,0.24281451106071472,-2.6575820446014404,5.126590251922607,6.1974945068359375,0.04024205729365349,-1.7106380462646484,1.0627549886703491,0.3774685561656952
0,6,4.078129768371582,7.051079750061035,0.12954503297805786,-2.4620273113250732,2.285445213317871,-1.5428768396377563,4.407925605773926,6.792277812957764,0.401793509721756,-2.0178349018096924,1.8829137086868286,1.286320447921753
0,7,3.1667158603668213,8.016165733337402,-0.23760119080543518,-2.101412534713745,2.4359874725341797,-0.5547069907188416,3.7907516956329346,7.56688928604126,0.9889760613441467,-1.1089344024658203,1.9828380346298218,1.569655418395996
0,8,2.4044699668884277,8.795377731323242,0.02166072651743889,-1.6222410202026367,0.4505103826522827,-1.1171979904174805,3.4394330978393555,8.335280418395996,1.5950077772140503,-0.6567704081535339,1.8556039333343506,1.41902756690979
1,0,5.8018012046813965,5.226411819458008,1.5384055376052856,0.0,0.0,0.0,6.407046794891357,5.226411819458008,0.0,-0.0720517635345459,0.0,0.0
1,1,5.801802635192871,5.226410865783691,1.5384093523025513,3.7096042433404364e-06,-2.128394953615498e-06,9.685331860964652e-06,6.386592388153076,5.183335304260254,-0.008141715079545975,-0.06064950302243233,-0.1827922761440277,-0.04378031566739082
