num_traj,data_id,shortest_distance,S_stick,S_engage,shortest_distance,S_stick,S_engage,shortest_distance,S_stick,S_engage,shortest_distance,S_stick,S_engage,shortest_distance,S_stick,S_engage
0,0,0.09606443766498693,0.0,0.0,0.07583028189258424,0.0,0.0,0.15445769841044318,0.0,0.0,0.03260137501239446,0.0,0.0,0.2776331707516613,0.0,0.0
0,1,0.06794262175107109,0.0,0.0,0.044000615041098166,0.0,0.0,0.12733781649426096,0.0,0.0,0.004748977455357733,0.0,0.0,0.2506173803420073,0.0,0.0
0,2,0.0003812766193830062,0.04165591080639557,0.18690105511494268,0.00017812088458178432,0.0,0.0,0.056104799993153126,0.0,0.0,0.0002476802815958493,0.23300945910771392,1.0453478000790297,0.17967422121538895,0.0,0.0
0,3,8.092486511771897e-05,0.10491460324296878,0.4701417259971712,0.0002928217274608786,0.19823654744264899,0.888472657339874,0.00019316674531084178,0.2177577215428448,0.9433542634135131,0.000295232517309499,0.20651121107599085,0.9267077024560653,0.09977447890068356,0.0,0.0
0,4,0.0003154951511069262,0.024748975071206304,0.1002573798826963,0.00015438953026364845,0.0,0.0,0.0002549651648632817,0.12798940082215166,0.560543313942861,0.00032358108608758083,0.20692132978679378,0.9285113782294989,0.08794737113268203,0.0,0.0
0,5,0.0005120289994971157,0.0,0.0,0.00020724033625410141,0.07689119582412353,0.3441490347470206,0.000377391539527403,0.06158380940840784,0.27217742837803915,0.0003318778838807665,0.21874911576380696,0.9814811448838132,0.06807219988543291,0.0,0.0
0,6,0.004778370090346562,0.0,0.0,0.014678900150191786,0.0,0.0,0.0004494853944487178,0.03914445187057607,0.13860870938987158,0.0010596403132017698,0.0,0.0,0.034064597360440874,0.0,0.0
0,7,0.06768130932146386,0.0,0.0,0.0017948341416861055,4.804145506215139,16.38448643769841,0.013910768106415927,0.0,0.0,0.012443446128354893,0.0,0.0,0.026673509691509636,0.0,0.0
0,8,0.08977755193507835,0.0,0.0,0.00023102522504190833,4.111978555847243,13.339253957673908,0.05662422743112076,0.0,0.0,0.0340969345076154,0.0,0.0,0.1306216393516371,0.0,0.0
0,9,0.09261969206225718,0.0,0.0,0.00020439712893173263,3.1970952232651197,11.030105405975743,0.05662628174469529,0.0,0.0,0.03410981126390546,0.0,0.0,0.14118268079554439,0.0,0.0
1,0,0.10521288600682226,0.0,0.0,0.015317001274893447,2.9624265484522443,10.209589619026463,0.011386806359443682,0.0,0.0,0.11015612042319224,0.0,0.0,0.310429879576347,0.0,0.0
1,1,0.07599971812886765,0.0,0.0,5.495301615114544e-05,0.0,0.0,5.134845263959348e-06,0.0,0.0,0.08391268401150999,0.0,0.0,0.28437077702176605,0.0,0.0
1,2,0.010131261182899014,0.0,0.0,9.082671031924219e-05,0.0,0.0,5.5474781061342696e-05,0.07908636192716711,0.35430805201270543,0.02170576219380853,0.0,0.0,0.22386581087600083,0.0,0.0
1,3,8.463353677450081e-05,0.10646348193042939,0.4777647569228009,0.0003533633658074591,0.0,0.0,8.699408417954082e-05,0.13119881358276048,0.5731821253205958,0.00032311406226547907,0.0,0.0,0.13213804949183003,0.0,0.0
1,4,0.00024484814386766684,0.07529682689605376,0.33693716750352115,0.00036551785367189494,0.0,0.0,0.00018681899297785014,0.08893889698110682,0.3975057985341282,0.0005833075689342523,0.0,0.0,0.08712405284232864,0.0,0.0
1,5,0.0003423960139780768,0.074418408334497,0.33340420003751337,0.00017895671198252749,0.2547735137961736,1.1415904956562524,0.00019513803403152483,0.13445590616139738,0.5870197789405259,0.0006099926503635425,0.0,0.0,0.050100477546260014,0.0,0.0
1,6,0.0176305983073827,0.0,0.0,0.003870631578270254,0.0,0.0,0.009212539090667682,0.0,0.0,0.00029730212853949805,0.0,0.0,0.0003924784810843413,0.0,0.0
1,7,0.08546430913364383,0.0,0.0,0.00037350123411643906,0.32305801963306296,1.2757481681864677,0.013468767958076788,0.0,0.0,0.03008941775157521,0.0,0.0,0.00017124218552319633,0.14838793854780385,0.6650031417903908
1,8,0.11078634376880639,0.0,0.0,0.02261264478259972,0.0,0.0,0.0001865752689906637,1.9827512198431398,6.577505476948481,0.1494895136579521,0.0,0.0,0.042955084415701235,0.0,0.0
1,9,0.1164976570949823,0.0,0.0,0.0229900115486202,0.0,0.0,7.839714746273626e-05,2.7129277051700535,9.163407004483945,0.16674368618755755,0.0,0.0,0.04331016287874099,0.0,0.0
2,0,0.0900574192121201,0.0,0.0,0.03838651266729413,0.0,0.0,0.0070402520379800795,3.66043372546571,12.004796013506668,0.38822590863704576,0.0,0.0,0.23235068728085354,0.0,0.0
2,1,0.053080184073727096,0.0,0.0,0.014131038116948906,0.0,0.0,3.0141669748751777e-05,0.1288987985916726,0.574292405280347,0.36436095755104164,0.0,0.0,0.20804245933042637,0.0,0.0
2,2,0.00012053232840705818,0.0,0.0,2.677604819543699e-05,0.0,0.0,1.982219475381668e-05,0.08052129582324512,0.3574899267230807,0.301495390458555,0.0,0.0,0.14339013283537846,0.0,0.0
2,3,0.0003745974196223843,0.0,0.0,0.0003550693110388466,0.21134216118360677,0.9480505698396215,6.25806551905697e-05,0.23839061541927634,1.017520624001457,0.20450905889655377,0.0,0.0,0.04104773930809548,0.0,0.0
2,4,0.0005881868602889415,0.0,0.0,0.0006069708710917441,0.060445984102371314,0.27079269361021296,0.005408310791980398,0.0,0.0,0.06975898885236714,0.0,0.0,0.0007690536695395425,0.22228571946990197,0.9974888274265322
