num_traj,data_id,shortest_distance,S_stick,S_engage,shortest_distance,S_stick,S_engage,shortest_distance,S_stick,S_engage,shortest_distance,S_stick,S_engage,shortest_distance,S_stick,S_engage,shortest_distance,S_stick,S_engage,shortest_distance,S_stick,S_engage,shortest_distance,S_stick,S_engage,shortest_distance,S_stick,S_engage,shortest_distance,S_stick,S_engage
0,0,0.16700764839552795,0.0,0.0,0.43028322863310725,0.0,0.0,0.2097735795892144,0.0,0.0,0.14468670000557526,0.0,0.0,0.25805590821125657,0.0,0.0,0.2782294403299468,0.0,0.0,0.48848835047904426,0.0,0.0,0.32046204414987045,0.0,0.0,0.5158875355739838,0.0,0.0,0.2336133898567982,0.0,0.0
0,1,0.1251075203886617,0.0,0.0,0.39128817278513345,0.0,0.0,0.17150922962874715,0.0,0.0,0.10442471312791245,0.0,0.0,0.21964228881329712,0.0,0.0,0.23725003981806744,0.0,0.0,0.4480244487347192,0.0,0.0,0.28261425194732503,0.0,0.0,0.4746238909105754,0.0,0.0,0.19301810969145766,0.0,0.0
0,2,0.026075925997044523,0.0,0.0,0.2934221337016499,0.0,0.0,0.07413926973228398,0.0,0.0,0.005834381119766359,0.0,0.0,0.12187842024418928,0.0,0.0,0.13874619932041732,0.0,0.0,0.34961240070480903,0.0,0.0,0.18520324105881347,0.0,0.0,0.375806010179827,0.0,0.0,0.0948892003674798,0.0,0.0
0,3,1.0279577548759449e-05,0.17100870580548508,0.48107435392786835,0.1606899878304338,0.0,0.0,0.00037247122359706765,0.0,0.0,1.199816399737741e-05,0.28208414303893364,0.8350004555969178,0.00034782662587944563,0.36846426319110676,1.0040600409148617,0.08601938938826384,0.0,0.0,0.21669635396957798,0.0,0.0,0.0989747116878508,0.0,0.0,0.24276766571024802,0.0,0.0,9.517213003624879e-06,0.06385305984216717,0.192128521242557
0,4,0.00010869378634373074,0.0,0.0,0.08792077207221312,0.0,0.0,1.528042976487226e-06,0.0,0.0,3.980937914604499e-05,8.705248714820618,29.461887547994436,2.3900355992562592e-05,0.0,0.0,0.04249167020089286,0.0,0.0,0.14199790630747355,0.0,0.0,0.09253564790012073,0.0,0.0,0.09140675300055362,0.0,0.0,4.200926026457672e-05,0.0,0.0
0,5,1.54750397235026e-05,0.7417047916043139,2.2162410651634787,0.09089617421933466,0.0,0.0,1.0285441958519865e-05,0.23018109302826428,0.7230428356913889,1.1683711990776437e-05,0.3421155902189038,1.1558846893443169,9.943846507913526e-06,0.12466340428558707,0.5417395074378236,0.00010507584895710545,0.16539946335283218,0.6377736557213536,0.09821104020593878,0.0,0.0,0.08669244341910348,0.0,0.0,0.08550493002785611,0.0,0.0,8.977262950795756e-06,0.33391102165151715,1.01361920141489
0,6,2.6569619362406888e-05,0.24094722001602834,0.6597101502191592,0.08590151400182205,0.0,0.0,1.8935326998749226e-05,0.14048784113371818,0.45469073564271795,9.46947447583905e-06,0.16757400244236212,0.7505390254549832,1.2560471518953998e-05,0.19364409798603507,0.7125418186472751,3.4031256628609103e-05,0.2789844032677844,0.787452140469426,0.09349646319700448,0.0,0.0,0.083823114563376,0.0,0.0,0.07672637568882341,0.0,0.0,1.0194288348765715e-05,0.3453872193770316,0.9589885800082605
0,7,2.0234906840664914e-05,0.23140199664238736,0.6345119890070616,0.08440337786965388,0.0,0.0,2.988929429792017e-05,0.13961534665954625,0.4311804680615158,1.6732629980621267e-05,0.15625105023429836,0.6073334464044751,1.3141478624049106e-05,0.5739783829165237,1.5522833470030366,1.2376190870718404e-05,0.17608842444230494,0.5009513858153124,0.08637965029355245,0.0,0.0,0.08059279655801234,0.0,0.0,0.06304094086968015,0.0,0.0,1.2155863604125762e-05,0.1083371913899968,0.4691890971829058
0,8,0.0002522560679792002,4.3368022341044625,13.573439382376838,0.09719961167739531,0.0,0.0,0.034146483075680086,0.0,0.0,0.026016333670753133,0.0,0.0,0.01443604929113265,0.0,0.0,0.000187908832074789,0.0,0.0,0.06464649245975494,0.0,0.0,0.12439450532458432,0.0,0.0,0.0212378992164897,0.0,0.0,0.0016582593060887666,16.41435858677705,68.99587508550701
0,9,4.1813610291551495e-05,3.416493101708117,12.054505756905046,0.09945919504295664,0.0,0.0,0.17161959393599927,0.0,0.0,0.038717557712776275,0.0,0.0,0.048080709154991526,0.0,0.0,0.03731308645953703,0.0,0.0,0.06325611117869089,0.0,0.0,0.1268978986547139,0.0,0.0,0.01897840844226197,0.0,0.0,9.757184133835617e-05,0.0,0.0
1,0,0.11365337880651177,3.5774388415031146,11.503887282793535,0.4500248253621511,0.0,0.0,0.16527860597269395,0.0,0.0,0.440372694561331,0.0,0.0,0.3209502506809667,0.0,0.0,0.4277124438152058,0.0,0.0,0.22144219042486535,0.0,0.0,0.26929526724913233,0.0,0.0,0.257748600918551,0.0,0.0,0.3731075155133986,0.0,0.0
1,1,0.07323404971279084,0.0,0.0,0.4094958777482184,0.0,0.0,0.12527622184041465,0.0,0.0,0.40106386391617055,0.0,0.0,0.28077642611251036,0.0,0.0,0.38800591471508833,0.0,0.0,0.18120729340141895,0.0,0.0,0.22958257436040305,0.0,0.0,0.21717664131548056,0.0,0.0,0.3323372002174566,0.0,0.0
1,2,1.0615619869691777e-05,0.12776269638702764,0.4076349353111549,0.31692666664351443,0.0,0.0,0.032198611634768934,0.0,0.0,0.308755039736229,0.0,0.0,0.18810477957800478,0.0,0.0,0.2950247228942884,0.0,0.0,0.08837856332299275,0.0,0.0,0.1364076582294006,0.0,0.0,0.12470716375617599,0.0,0.0,0.23918503380557027,0.0,0.0
1,3,1.0647828970990696e-05,0.3481319055065322,1.0475855619450218,0.19098108273173278,0.0,0.0,1.0697880560266536e-05,0.12378812779291375,0.5515322250610226,0.1837025605410557,0.0,0.0,0.09882796106329249,0.0,0.0,0.16871917608655826,0.0,0.0,6.947966736666738e-05,0.0,0.0,0.04362531543843229,0.0,0.0,0.005152881626921837,0.0,0.0,0.13812311178421158,0.0,0.0
1,4,1.0371309987277056e-05,0.08793021263527484,0.3937826578650647,0.10117192597586817,0.0,0.0,9.84531964024135e-06,0.2631095232208669,1.1736677676955842,0.06848116691683244,0.0,0.0,0.08869926573832358,0.0,0.0,0.08814346363777084,0.0,0.0,1.0180745379419002e-05,0.08189438050445925,0.35735939607273726,3.161878117203433e-05,0.07745831049208632,0.21044151420879068,1.2548567876054702e-05,0.09665613671929703,0.43320856616778447,0.07950068784852711,0.0,0.0
1,5,1.0245108862761712e-05,0.09967995151627791,0.41337357798647184,0.08294380697343498,0.0,0.0,1.171603843259289e-05,0.5594464782933899,1.6835154453744399,1.4811186005623135e-05,0.0,0.0,0.0865353423511619,0.0,0.0,0.08554997820184762,0.0,0.0,1.0345324509642155e-05,0.3390196311778904,1.0730394600542341,4.312625049455582e-05,0.151657536423839,0.5043696761350044,0.00024365376326751723,0.0,0.0,0.06687473588582987,0.0,0.0
