n_episode,n_iteration,n_sample,n_horizon,xo,yo,thetao,vxo,vyo,omegao,xg,yg,thetag,vxg,vyg,omegag,shortest_distance,S_stick,S_engage
0,0,0,0,5.245810508728027,6.483573913574219,1.8799329996109009,1.7117949028033763e-05,-1.7897130533128802e-07,2.6944357159663923e-05,5.893916130065918,6.41534423828125,0.002151432679966092,0.17678740620613098,-0.34026554226875305,0.09322959184646606,0.29643842577934265,0.0,0.0
0,0,0,1,5.2458176612854,6.483573913574219,1.8799437284469604,1.7118692994699813e-05,-1.786274737014537e-07,2.6944968340103514e-05,5.991490840911865,6.293525218963623,0.06274625658988953,0.29486283659935,-0.2802351117134094,0.3139994144439697,0.3522878587245941,0.0,0.0
0,0,0,2,5.245824813842773,6.483573913574219,1.87995445728302,1.7119436961365864e-05,-1.7828347154136281e-07,2.6945579520543106e-05,6.298084259033203,6.04686975479126,0.14924180507659912,1.2282049655914307,-0.946262776851654,0.1477736085653305,0.583324134349823,0.0,0.0
0,0,0,3,5.2458319664001465,6.483573913574219,1.8799651861190796,1.7120182747021317e-05,-1.7793942674870777e-07,2.6946188881993294e-05,6.611475944519043,5.718938827514648,0.20128513872623444,0.3674333691596985,-0.6763322353363037,0.17902447283267975,0.924899160861969,0.0,0.0
0,0,0,4,5.2458391189575195,6.483573913574219,1.8799759149551392,1.7120926713687368e-05,-1.775953535343433e-07,2.6946800062432885e-05,6.658064365386963,5.61410665512085,0.21016459167003632,-0.036514461040496826,0.06471607089042664,-0.017196375876665115,0.999700665473938,0.0,0.0
0,0,0,5,5.245846271514893,6.483573913574219,1.8799866437911987,1.7121670680353418e-05,-1.7725126610912412e-07,2.6947411242872477e-05,6.657169342041016,5.616433143615723,0.20946693420410156,6.217190730239963e-06,-1.879314731922932e-05,3.5960827517556027e-05,0.9981182217597961,0.0,0.0
0,0,0,6,5.245853424072266,6.483573913574219,1.8799973726272583,1.7122416466008872e-05,-1.7690712184048607e-07,2.6948020604322664e-05,6.663017272949219,5.591073989868164,0.20984692871570587,0.030035782605409622,-0.12604811787605286,0.05988698825240135,1.0119633674621582,0.0,0.0
0,0,0,7,5.245860576629639,6.483573913574219,1.8800081014633179,1.7123160432674922e-05,-1.765629633609933e-07,2.6948631784762256e-05,6.669300079345703,5.581597805023193,0.21856257319450378,6.633609882555902e-05,3.771866613533348e-05,0.00019414478447288275,1.021262764930725,0.0,0.0
0,0,0,8,5.245867729187012,6.483573913574219,1.8800188302993774,1.7123904399340972e-05,-1.762187622489364e-07,2.6949242965201847e-05,6.687687873840332,5.6163859367370605,0.20191411674022675,0.09375999867916107,0.17458058893680573,0.003636484034359455,1.0269837379455566,0.0,0.0
0,0,0,9,5.245874881744385,6.483573913574219,1.880029559135437,1.7124650184996426e-05,-1.7587453271517006e-07,2.6949852326652035e-05,6.647617340087891,5.651749134063721,0.18405379354953766,-0.21689164638519287,0.05205098167061806,-0.12116419523954391,0.9778700470924377,0.0,0.0
0,0,0,10,5.245882034301758,6.483573913574219,1.8800402879714966,1.7125394151662476e-05,-1.75530288970549e-07,2.6950463507091627e-05,6.744347095489502,5.662611961364746,0.18780487775802612,0.6019348502159119,0.03232106566429138,0.06435798108577728,1.0675914287567139,0.0,0.0
0,0,0,11,5.245889186859131,6.483573913574219,1.8800510168075562,1.7126138118328527e-05,-1.751860025933638e-07,2.6951072868541814e-05,6.887644290924072,5.730889320373535,0.17678506672382355,0.14905041456222534,0.25925901532173157,-0.18256992101669312,1.1917420625686646,0.0,0.0
0,0,0,12,5.245896339416504,6.483573913574219,1.8800617456436157,1.712688390398398e-05,-1.7484168779446918e-07,2.6951684048981406e-05,7.096766948699951,5.8998003005981445,0.09455207735300064,0.873869776725769,0.5932084321975708,-0.18808969855308533,1.3797167539596558,0.0,0.0
0,0,0,13,5.245903491973877,6.483573913574219,1.8800724744796753,1.712762787065003e-05,-1.744973303630104e-07,2.6952293410431594e-05,7.500644683837891,6.166631698608398,0.026809943839907646,1.1433351039886475,0.7356202006340027,-0.15884651243686676,1.791732907295227,0.0,0.0
0,0,0,14,5.24591064453125,6.483573913574219,1.8800832033157349,1.712837183731608e-05,-1.7415295872069692e-07,2.6952904590871185e-05,7.869908809661865,6.654133319854736,-0.030469773337244987,0.7256557941436768,1.6724525690078735,-0.12394246459007263,2.2516942024230957,0.0,0.0
0,0,0,15,5.245917797088623,6.483573913574219,1.8800939321517944,1.7129117622971535e-05,-1.7380854444581928e-07,2.6953515771310776e-05,8.205296516418457,7.1956257820129395,-0.06625581532716751,0.9446631669998169,1.0440311431884766,-0.105675108730793,2.735663414001465,0.0,0.0
0,0,0,16,5.245924949645996,6.483573913574219,1.880104660987854,1.7129861589637585e-05,-1.7346410174923221e-07,2.6954125132760964e-05,8.605149269104004,7.585719585418701,-0.10020806640386581,1.050785779953003,0.9095036387443542,-0.04417822137475014,3.2352535724639893,0.0,0.0
0,0,0,17,5.245932102203369,6.483573913574219,1.8801153898239136,1.7130605556303635e-05,-1.7311963063093572e-07,2.6954736313200556e-05,9.038697242736816,8.05653190612793,-0.11611375212669373,1.124428629875183,1.4285333156585693,-0.07448866218328476,3.7915749549865723,0.0,0.0
0,0,0,18,5.245939254760742,6.483573913574219,1.8801261186599731,1.7131349522969685e-05,-1.727751310909298e-07,2.6955345674650744e-05,9.49127197265625,8.642106056213379,-0.14011898636817932,1.1428940296173096,1.496446967124939,-0.07734066992998123,4.403807163238525,0.0,0.0
