data_id,trial,plan_iters,plan_time,best_cost,capture_exists_score,capture_score,success_exists_score,success_score,runtime
0,0,300,10000,inf,0.8500479530708789,0.031621501710930706,0.2723637469420611,0.0,0.9653308391571045
1,0,300,10000,inf,0.46671047059346804,0.003509671677933096,0.25595677273684136,0.0,0.6476545333862305
2,0,300,10000,inf,0.9894339648550238,0.10581030984999373,0.3155744167159251,0.0,0.7473354339599609
3,0,300,10000,inf,1.0,0.1695393828105967,0.547728135433494,0.003442716264261932,0.8281002044677734
4,0,300,10000,inf,1.0,0.035863372850744514,0.8943229850285306,0.0,0.7718887329101562
5,0,300,10000,inf,1.0,0.6359035926783542,0.9677188413920957,0.7110197362837143,0.741447925567627
6,0,300,10000,inf,0.9923411662998888,0.3185410398142834,0.974951967487811,0.38926566098512366,0.7081549167633057
7,0,300,10000,inf,1.0,0.5008762130052661,1.0,0.8332689890898716,0.7428960800170898
8,0,300,10000,inf,0.9916265156977043,0.2907086198032892,1.0,0.3370045697064998,0.6847257614135742
9,0,300,10000,inf,0.9000960781707852,0.11129363523117013,1.0,0.5275850644082496,0.4856071472167969
10,0,300,10000,inf,0.9850940107071394,0.21475316935702773,0.20312814070414786,0.0,0.810814619064331
11,0,300,10000,inf,0.9130245069728875,0.007120085582771009,0.10151933036918304,0.0,0.8765790462493896
12,0,300,10000,inf,0.9929411171302245,0.20994363792110235,0.8476021349889056,0.07982074650088405,0.6591324806213379
13,0,300,10000,inf,0.5773572542258004,0.0,0.21144028151966487,0.0,0.570734977722168
14,0,300,10000,inf,0.9397327182017783,0.0,0.9654415097958083,0.0,0.6037774085998535
15,0,300,10000,inf,1.0,0.0,1.0,0.0,0.7738323211669922
16,0,300,10000,inf,0.7400680727466613,0.0,0.9320160129584901,0.0,0.5982739925384521
17,0,300,10000,inf,0.9268319506968054,0.0,1.0,0.0,0.6275913715362549
18,0,300,10000,inf,1.0,0.0,1.0,0.0,0.6631782054901123
19,0,300,10000,inf,1.0,0.0,1.0,0.0,0.7406458854675293
20,0,300,10000,inf,0.9139533052353497,0.0,0.22424185817786257,0.0,0.7694900035858154
21,0,300,10000,inf,0.9270780547682167,0.0,0.0,0.0,0.608360767364502
22,0,300,10000,inf,0.987903439444328,0.0,0.5180655302458937,0.0,0.758892297744751
23,0,300,10000,inf,0.795713143352174,0.0,0.7059785278640249,0.0,0.6568522453308105
24,0,300,10000,inf,0.9835135478394185,0.0,0.971329371795338,0.0,0.6885378360748291
25,0,300,10000,inf,0.9961040393372026,0.0,0.9948417815078613,0.0,0.7355031967163086
26,0,300,10000,inf,0.971388224714445,0.0,1.0,0.0,0.7039356231689453
27,0,300,10000,inf,0.9936026851157149,0.0,1.0,0.0,0.7040245532989502
28,0,300,10000,inf,0.9942028547202413,0.0,1.0,0.0,0.7013058662414551
29,0,300,10000,inf,0.9229106040874404,0.0,1.0,0.0,0.6266157627105713
30,0,300,10000,inf,0.9749079894397568,0.042402260547999046,0.5738539800781717,0.0,0.697808027267456
31,0,300,10000,inf,0.7258439639538189,0.004409162280378932,0.6174665317258333,0.0,0.6137902736663818
32,0,300,10000,inf,0.9950549743329611,0.12741011846860972,0.6966754568537059,0.0,0.6774930953979492
33,0,300,10000,inf,0.9636498987528339,0.284499175548129,0.9028643878450298,0.22882448719756734,0.6014165878295898
34,0,300,10000,inf,0.9561022547227626,0.1524755511574829,0.9107160989358072,0.20234597785868727,0.6530232429504395
35,0,300,10000,inf,0.9714866041612599,0.1395823693473785,0.9812311640855313,0.254921011704162,0.6781535148620605
36,0,300,10000,inf,0.95595837135398,0.2745111405371187,0.9760069837648392,0.4094714485638803,0.646796464920044
37,0,300,10000,inf,0.8083159724146718,0.20342979290716068,1.0,0.438218146859312,0.5102803707122803
38,0,300,10000,inf,0.8862734747312223,0.29028184799350454,0.9913012957655898,0.5749270371861906,0.5657145977020264
39,0,300,10000,inf,0.9704708836477448,0.03182182058613209,1.0,0.36997024968724074,0.603579044342041
40,0,300,10000,inf,0.7720215053649828,0.01874752635985837,0.2665520530578429,0.0,0.8119711875915527
41,0,300,10000,inf,0.8150952784358301,0.0045696343286055,0.09972829721296572,0.0,0.8019914627075195
42,0,300,10000,inf,0.9956721311315826,0.0867106094243436,0.27688260229995987,0.0,0.7459778785705566
43,0,300,10000,inf,0.9659331310993675,0.13067838974004609,0.7128748112843689,0.0,0.8031935691833496
44,0,300,10000,inf,0.8108988141349208,0.044103041165102184,0.7563926006848386,0.0,0.6148314476013184
45,0,300,10000,inf,1.0,0.20491153399781797,0.9563281557300528,0.22395933089665307,0.691047191619873
46,0,300,10000,inf,1.0,0.4135313092994962,0.9764920123501479,0.4186090482747801,0.7194693088531494
47,0,300,10000,inf,0.9922875854546082,0.23504470987246057,1.0,0.32233146452162426,0.677919864654541
48,0,300,10000,inf,0.991203462711071,0.6157957930768638,1.0,0.9014022254218653,0.6916854381561279
49,0,300,10000,inf,0.8779411035913228,0.11158070347580369,0.9841185717031228,0.5769455111789242,0.5596435070037842
50,0,300,10000,inf,0.893147877252291,0.0,0.2512726721981431,0.0,0.8206262588500977
51,0,300,10000,inf,0.43632580198823323,0.0,0.3964272995028254,0.0,0.643531084060669
52,0,300,10000,inf,0.9282499261109731,0.0,0.7933347147960469,0.0,0.6604049205780029
53,0,300,10000,inf,0.7945022912248232,0.0,0.8296928130268675,0.0,0.5708577632904053
54,0,300,10000,inf,1.0,0.0,0.9467398324644167,0.0,0.7427406311035156
55,0,300,10000,inf,0.672408571563616,0.0,0.7887558135830912,0.0,0.5246374607086182
56,0,300,10000,inf,0.9107664268364825,0.0,1.0,0.0,0.5847442150115967
57,0,300,10000,inf,0.654282977411988,0.0,1.0,0.0,0.5125563144683838
58,0,300,10000,inf,0.8139486323830576,0.0,0.9725622315030331,0.0,0.5134739875793457
59,0,300,10000,inf,0.9859312324663526,0.0,1.0,0.0,0.6041131019592285
60,0,300,10000,inf,0.8088840787285998,0.0,0.08180652319172732,0.0,0.8265035152435303
61,0,300,10000,inf,0.970581165018721,0.0,0.0,0.0,0.8323895931243896
62,0,300,10000,inf,0.8432791352481779,0.0,0.7027781243454909,0.0,0.66105055809021
63,0,300,10000,inf,0.9610405629148641,0.0,0.8305809116523333,0.0,0.6931023597717285
64,0,300,10000,inf,1.0,0.0,0.5532046687713461,0.0,0.7108607292175293
65,0,300,10000,inf,1.0,0.0,0.9806192205002061,0.0,0.6814186573028564
66,0,300,10000,inf,1.0,0.0,1.0,0.0,0.6952035427093506
67,0,300,10000,inf,1.0,0.0,1.0,0.0,0.6180050373077393
68,0,300,10000,inf,1.0,0.0,1.0,0.0,0.6177480220794678
