num_traj,data_id,xo,yo,thetao,vxo,vyo,omegao,xg1,xg2,vxg1,vxg2
0,0,6.69274627137688,2.0001339277356704,7.20469320973622e-05,3.0710460907795416,0.00530096270658522,0.0026489057967244533,3.445609571037657,4.392878849905339,3.9790370572353835,3.0755446419407004
0,1,9.215483853018485,2.014583199316251,0.007323481171863715,6.787000528648789,0.00012764655015309184,6.046552286433992e-05,5.483581419489824,6.927776019845346,5.207223559238492,6.787112177741341
0,2,13.238288900966285,2.0143349269948025,0.007198463715469068,9.237830417972724,0.00027524842372209785,0.00014240057849335778,9.434690477801372,10.950374235086093,10.820293401752378,9.238060360887623
0,3,18.699138986383208,2.01768519552904,0.008887212121127811,12.848369285840363,0.041473871985621386,0.020921289535759703,15.555195238712976,16.41400975692843,12.531210454969981,12.882779473354177
0,4,26.045438736429016,2.0298174076313624,0.015027187419858801,16.15542143617496,-0.0008172770095897369,-0.0004161385080553289,22.075735600559373,23.77029036243645,15.522520021317142,16.154728727088248
0,5,34.777040493238545,2.0299109381377534,0.015074656612447317,19.031422602437004,0.0004803669963531834,0.00024120726083621136,31.515717206508068,32.50197127825238,21.313236468198536,19.03183519907412
0,6,45.38713425177654,2.072872850527687,0.037139515658564236,23.33182957723338,0.12454337602207213,0.06470998726286234,41.98750657984531,43.146018762785026,20.028312868820883,23.427136215632867
0,7,57.72863093716375,2.064837257765023,0.03297313693318596,25.78148883312827,-0.11089994490582354,-0.05737997989310959,53.73819286144293,55.481328556225385,26.86405103740897,25.695629425993957
0,8,71.33693151047603,2.0457844641722045,0.02316766697244369,28.965583040943223,0.0017548233851726533,0.0008975850988957063,68.12213953993617,69.07465973822079,28.91934665240236,28.96697615685407
0,9,86.72762836670255,2.0458561835240965,0.0232043933992266,32.26961918170175,-0.002349484834036436,-0.0012017576330930705,82.7681347144556,84.4654296581105,30.966332015259034,32.26787604197854
1,0,6.130693961915019,2.122729480930422,0.06342144188426016,0.7560134061366438,0.6672364448205068,0.356649381205947,3.177799138022537,3.926296871977799,2.469389636579822,1.2282517131873651
1,1,6.977101736553858,2.636808876868156,0.41531488179652254,2.5720478450513684,1.0128036605188564,0.9769550519194933,3.879508788301084,4.93272298947134,0.2855160376185528,2.2936426425276464
1,2,8.402366411451979,2.800142564919797,0.9266473927707362,2.474589266322855,-0.34000292433669826,0.8832441122454588,4.764232906522776,5.771370999081798,3.7709116119374353,0.6408702317053171
1,3,8.664610825213789,2.750285608781959,1.0209417057780492,-0.0009389756739086993,0.000240094368076621,-0.0003235599203045115,4.837122101637302,5.814939480136646,-2.1619712569811194,-0.0011465262185975302
1,4,8.66434316901055,2.7503493229173506,1.0208533610970374,0.0009600892529161221,-0.000266268519080147,0.0003644554049982408,4.624961846545893,5.814613943729548,2.440478300003345,0.0011932076696558834
1,5,8.664610998994352,2.7502723513846457,1.0209594943497555,-0.0006450562306130679,0.00016861997122220168,-0.00021926289470557405,4.962780043524891,5.814950869206819,-1.7410501072136388,-0.0007841477615833219
1,6,8.664253316623409,2.750361274335661,1.0208376982711298,-0.00026336521289972454,5.6018783227682056e-05,-7.929285864106243e-05,4.401909260750794,5.814514680694772,0.04398453166552449,-0.00031544341688328234
1,7,8.664578913181263,2.750269415191925,1.0209629146479107,0.0008866359156678108,-0.00024229164443955592,0.00033372610402830226,5.179894694979098,5.814919993682929,1.1736155564650252,0.001101630382442008
1,8,8.664457173324,2.750297565246475,1.0209255351842013,-0.0010242500358027566,0.0002603129424384107,-0.0003571759270156604,4.759643660022518,5.814775346769445,-1.7288149650547515,-0.0012528266444271252
1,9,8.664239545925446,2.7503491757884575,1.0208540636157515,0.0002546774075236826,-7.878428754297395e-05,0.00010700011458101019,4.54549592900201,5.814511146556096,0.8440350916034461,0.00032119015747469844
2,0,6.012422153999371,2.01234162616497,0.00619541382103254,0.17030661525256693,0.16834494421963325,0.08467966278617595,2.2209121658074977,3.7228465596766354,3.006403760215068,0.31111436769968215
2,1,6.0625532490906755,2.060675413424792,0.030821924741661882,0.5116200079457691,0.48180246510901314,0.24853963613437755,2.8191736893918256,3.8120395991658187,4.4942763256416605,0.8880477802845805
2,2,6.191722389114715,2.1749990171974787,0.09184441132227092,1.3850267371170906,1.1558983314913194,0.6382266948810905,3.4220462756804766,4.022605354013521,1.5210300202484606,2.1313538159001744
2,3,6.468033089545221,2.3778438837355127,0.2131836506326318,2.180532899095129,1.4170633625913847,0.9193030030643368,3.5997751329343064,4.401389591782421,0.6654990991073093,2.6885465889881934
2,4,6.865970699381218,2.591094711332238,0.3729672755882865,2.9626286699920072,1.2459262966867295,1.13204805270562,3.739084570715141,4.8307018230063665,1.1729690690057832,2.8423588830352773
2,5,7.372885588390009,2.7578042405388254,0.5615777579403284,3.5849043051773077,0.8386442903665888,1.301513971769104,3.946119271269137,5.24920072585245,1.8136421789000667,2.5635383272911447
2,6,7.964730740202236,2.8281646793702073,0.771864047616854,4.02746319230153,0.07927958457817763,1.4241951149941614,4.266771086474428,5.605005696663906,2.376270643910983,1.9493603510546156
2,7,8.589987008725855,2.767511158701021,0.9932094832603682,3.905609005225846,-0.7975393027495429,1.4094836800139823,4.7997831419525125,5.810516916615079,3.7325970120205527,0.47954301253044385
2,8,9.167806713182904,2.5797940475058976,1.2078615409512492,3.759821340419805,-1.6649869195094877,1.4534880674256128,5.358407323623355,6.16630816144872,2.997380548199264,5.475265719419362
2,9,9.798825719413205,2.232002995968311,1.4719598368385596,4.779996190345551,-2.907102021093248,2.1274566373933843,5.779770200547123,7.342050059306401,3.0289388745871206,8.129991426428672
