num_traj,data_id,label,lateral_friction_coef
0,0,0,0.522551382775947
0,1,0,0.522551382775947
0,2,0,0.522551382775947
0,3,0,0.522551382775947
0,4,0,0.522551382775947
0,5,0,0.522551382775947
0,6,0,0.522551382775947
0,7,0,0.522551382775947
0,8,0,0.522551382775947
0,9,0,0.522551382775947
1,0,1,1.3979733258495637
1,1,1,1.3979733258495637
1,2,0,1.3979733258495637
1,3,1,1.3979733258495637
1,4,1,1.3979733258495637
1,5,1,1.3979733258495637
1,6,1,1.3979733258495637
1,7,1,1.3979733258495637
1,8,1,1.3979733258495637
1,9,1,1.3979733258495637
2,0,1,0.837300413418645
2,1,1,0.837300413418645
2,2,1,0.837300413418645
2,3,1,0.837300413418645
2,4,1,0.837300413418645
2,5,0,0.837300413418645
2,6,0,0.837300413418645
2,7,0,0.837300413418645
2,8,0,0.837300413418645
2,9,0,0.837300413418645
3,0,1,1.35786285862712
3,1,1,1.35786285862712
3,2,0,1.35786285862712
3,3,1,1.35786285862712
3,4,1,1.35786285862712
3,5,1,1.35786285862712
3,6,1,1.35786285862712
3,7,1,1.35786285862712
3,8,1,1.35786285862712
3,9,1,1.35786285862712
4,0,1,1.274222610022035
4,1,1,1.274222610022035
4,2,1,1.274222610022035
4,3,1,1.274222610022035
4,4,1,1.274222610022035
4,5,1,1.274222610022035
4,6,1,1.274222610022035
4,7,1,1.274222610022035
4,8,1,1.274222610022035
4,9,1,1.274222610022035
5,0,1,1.3698292492215844
5,1,1,1.3698292492215844
5,2,0,1.3698292492215844
5,3,1,1.3698292492215844
5,4,1,1.3698292492215844
5,5,1,1.3698292492215844
5,6,1,1.3698292492215844
5,7,1,1.3698292492215844
5,8,1,1.3698292492215844
5,9,1,1.3698292492215844
6,0,1,0.979470862689853
6,1,1,0.979470862689853
6,2,1,0.979470862689853
6,3,1,0.979470862689853
6,4,1,0.979470862689853
6,5,0,0.979470862689853
6,6,0,0.979470862689853
6,7,0,0.979470862689853
6,8,0,0.979470862689853
6,9,0,0.979470862689853
7,0,1,1.2970818786878078
7,1,1,1.2970818786878078
7,2,0,1.2970818786878078
7,3,1,1.2970818786878078
7,4,1,1.2970818786878078
7,5,1,1.2970818786878078
7,6,1,1.2970818786878078
7,7,1,1.2970818786878078
7,8,1,1.2970818786878078
7,9,1,1.2970818786878078
8,0,1,0.817916671791712
8,1,1,0.817916671791712
8,2,1,0.817916671791712
8,3,1,0.817916671791712
8,4,1,0.817916671791712
8,5,0,0.817916671791712
8,6,0,0.817916671791712
8,7,0,0.817916671791712
8,8,0,0.817916671791712
8,9,0,0.817916671791712
9,0,1,0.8948400261324733
9,1,1,0.8948400261324733
9,2,1,0.8948400261324733
9,3,1,0.8948400261324733
9,4,1,0.8948400261324733
9,5,0,0.8948400261324733
9,6,0,0.8948400261324733
9,7,0,0.8948400261324733
9,8,0,0.8948400261324733
9,9,0,0.8948400261324733
10,0,0,0.5130470425872741
10,1,0,0.5130470425872741
10,2,0,0.5130470425872741
10,3,0,0.5130470425872741
10,4,0,0.5130470425872741
10,5,0,0.5130470425872741
10,6,0,0.5130470425872741
10,7,0,0.5130470425872741
10,8,0,0.5130470425872741
10,9,0,0.5130470425872741
11,0,1,0.9370524317117707
11,1,1,0.9370524317117707
11,2,1,0.9370524317117707
11,3,1,0.9370524317117707
11,4,1,0.9370524317117707
11,5,0,0.9370524317117707
11,6,0,0.9370524317117707
11,7,0,0.9370524317117707
11,8,0,0.9370524317117707
11,9,0,0.9370524317117707
12,0,1,1.3255028630084966
12,1,1,1.3255028630084966
12,2,0,1.3255028630084966
12,3,1,1.3255028630084966
12,4,1,1.3255028630084966
12,5,1,1.3255028630084966
12,6,1,1.3255028630084966
12,7,1,1.3255028630084966
12,8,1,1.3255028630084966
12,9,1,1.3255028630084966
13,0,1,0.7655036022086564
13,1,1,0.7655036022086564
13,2,1,0.7655036022086564
13,3,1,0.7655036022086564
13,4,1,0.7655036022086564
13,5,0,0.7655036022086564
13,6,0,0.7655036022086564
13,7,0,0.7655036022086564
13,8,0,0.7655036022086564
13,9,0,0.7655036022086564
14,0,1,1.236150358211368
14,1,0,1.236150358211368
14,2,1,1.236150358211368
14,3,1,1.236150358211368
14,4,1,1.236150358211368
14,5,1,1.236150358211368
14,6,1,1.236150358211368
14,7,1,1.236150358211368
14,8,1,1.236150358211368
14,9,1,1.236150358211368
15,0,1,0.8938473798315589
15,1,1,0.8938473798315589
