data_id,trial,plan iters,plan time,best cost
0,0,7200,30,6.056035368532882
1,0,10220,30,2.929508385788603
2,0,5200,30,4.431779048100099
3,0,5290,30,12.159699060036589
4,0,5130,30,inf
5,0,6490,30,12.016802841763838
6,0,5010,30,2e-05
7,0,3490,30,1e-05
8,0,4250,30,1e-05
9,0,4730,30,1e-05
10,0,5650,30,3.099739847231239
