data_id,xo,yo,thetao,vxo,vyo,omegao,xg,yg,thetag,vxg,vyg,omegag
0,5.0,3.033163020833334,-0.0,0.0,-0.040875,0.0,5.031415926535898,3.3336623201467033,-0.010471975511965976,7.5398223686155035,0.07895683520871487,-2.5132741228718345
1,6.055829256854263,3.1548887931376037,-0.31526907618958616,9.03154839679663,2.0878349988847718,0.4464959663931908,5.951616426074504,3.494098678579333,-0.31713422165936533,7.113443323796019,2.3901617782096083,-2.4507023145875104
2,6.990818290241014,3.6487281666994447,-0.6325529693151687,6.730180040660104,4.985759841098454,-2.4506691716096007,6.778754392215169,3.9302331326139495,-0.6234620730379669,6.0430018582182985,4.465777347183423,-2.4492217763359547
3,7.718590760353866,4.39559578814703,-0.9378359050116984,4.874559792174802,6.801741025103536,-2.4671553642520356,7.431838906404562,4.6000942977233255,-0.9291833200146681,4.375513286280781,6.109865106240802,-2.442295128063135
4,8.181901108916659,5.329271223013282,-1.242529314370771,2.547380426704843,7.97189665593625,-2.425892427299422,7.846872379765276,5.438368803813074,-1.2339156281964583,2.279697748797867,7.157820726043228,-2.4337898511973726
5,8.335543252531929,6.359049389218189,-1.5458547777597615,-0.025688760401278293,8.360923539300375,-2.4138847278508306,7.983228557496315,6.363213781371632,-1.5371349620154222,-0.03928107083934325,7.5065666405603535,-2.424553749500832
6,8.165168850084846,7.3852590559449975,-1.8485743749924188,-2.5941950247451295,7.94257700941142,-2.396742323843287,7.827557333847821,7.284235013503547,-1.8401416126386863,-2.354418282512942,7.121305820374296,-2.4154553678003086
7,7.687517520165099,8.307988335950652,-2.150062921216069,-4.9055503297684036,6.74316720135383,-2.421399825547989,7.395097424978414,8.11134050680379,-2.1415179458618625,-4.439097949172711,6.039223312056181,-2.4074504244594275
8,6.949348586214308,9.037914513560262,-2.4505816602935573,-6.745706120479103,4.8980591006542245,-2.3972814916628327,6.728181845564972,8.763554074598368,-2.4420201107310597,-6.089196085196564,4.365550929379729,-2.4012842244400545
9,6.0224030327366425,9.504344141855668,-2.7504175482184756,-7.927967163795989,2.5789453865879244,-2.390684046090053,5.892096362951698,9.176945367453087,-2.7419037439192953,-7.143222427936571,2.263563813639798,-2.39762192288172
10,4.996530403136912,9.662189421015391,-3.0499689041833755,-8.348122936269066,0.011601459680881575,-2.369834026667111,4.968688124343531,9.310887539149068,-3.04150359194821,-7.497943948008156,-0.0615748822984077,-2.39689132676644
11,3.96868686467561,9.495435084718487,2.9337690050739993,-8.013168263241877,-2.588773404801981,-2.3477241776271436,4.048364921953708,9.152038818562492,2.942010906186184,-7.118397418537791,-2.3826840009713113,-2.398855221358794
12,3.0191578450418115,9.006538655767509,2.6335124978286704,-7.104504417375616,-5.154575255456672,-2.4187170939216696,3.2213168814850275,8.715709332330908,2.6420930868745103,-6.040992430408718,-4.472222684902921,-2.4012062017307656
13,2.2808096894965253,8.250176100484609,2.3381442974762496,-4.873689365471585,-6.711998385002985,-2.6706027943521624,2.568302471463545,8.044192511916794,2.341374346834229,-4.375379832488289,-6.1298657342325935,-2.411786315652972
14,1.816929202436523,7.316034062857348,2.0307433053366686,-2.5573241893348952,-8.002655715036258,-2.420294697860529,2.153289074536069,7.202684396366936,2.0397568801456574,-2.279510224058708,-7.189481345539016,-2.4202902680568004
15,1.6621590535867095,6.280792048220856,1.728220104209887,0.016689728666590048,-8.413387903550346,-2.430675664770289,2.016955762571955,6.273097983076621,1.738197507465427,0.039463871924025104,-7.550381233530393,-2.430372151934453
16,1.8319095858917407,5.246705585463418,1.421746820110085,2.5926316249644152,-8.01074625735035,-2.440679232095568,2.1726473313119103,5.345814567450951,1.4284463921169734,2.3545639054378524,-7.177304388925892,-2.440722587210806
17,2.3100622234782677,4.313770272966284,1.1167615349768318,4.918792763070592,-6.833710158715673,-2.450341439880306,2.605121959383734,4.510925724339256,1.124746512539923,4.43916954293221,-6.107372512060662,-2.450417600904034
18,3.050621594672095,3.5723963299738064,0.8101661100503521,6.780743472048841,-4.986257469766258,-2.455934894965211,3.2720428123517125,3.849402202897681,0.8183273787040688,6.089158704364723,-4.445974352325463,-2.458477961791329
19,3.9824937679654484,3.095821477126962,0.5036385044280572,7.966875841553964,-2.656105475685459,-2.4499873055758314,4.108120887606658,3.425161631191808,0.5108671336630535,7.143165690473789,-2.356304927985602,-2.463781157517042
