data_id,xo,yo,thetao,vxo,vyo,omegao,xg,yg,thetag,vxg,vyg,omegag
0,5.0,2.4998296875,-0.0,0.0,-0.040875,0.0,5.032724923474894,2.0010709206164377,-0.03272492347489367,7.853981633974483,0.2570209479450354,-7.853981633974483
1,5.298596807880805,2.5046421689484566,-0.6701675407818413,5.028314159813529,0.2278011418344848,-7.983927708742477,5.59991626631313,2.2161620748895676,-0.669437045321973,6.158510203399047,4.775971610651889,-8.134505651384318
2,5.8359124787752625,2.6670340785370814,-1.3274252497806613,8.23160236669853,4.656446559381373,-10.671215324751126,5.932062267403991,2.7216652806991486,-1.322960816188747,2.1564167685245494,7.418809780707369,-8.329391531612961
3,6.279791603579573,3.381088529283805,-1.1827379354593008,-3.574348490511566,10.989202532187914,-9.053717627841069,5.908790284196436,3.3174393027218416,-1.1605837151242964,-2.294732527979854,7.205528351523172,-8.255525026144207
4,5.760644713996516,4.065626093520742,-0.5146592518411705,-8.569521576214036,6.175754576994603,-8.331540319955524,5.559935221712515,3.7919266856312137,-0.5042159109539108,-6.0508721240767285,4.527636757597084,-8.310667228919005
5,4.990466785465863,4.305023191497866,0.14326262110619403,-10.394793107554921,0.06113726559285182,-8.620321016394835,5.000566367802087,3.9736427401711425,0.15398714075593634,-7.540735983917533,0.13746682997724974,-8.305475470947439
6,4.230361182925589,4.0479693516941655,0.800917751780325,-8.380397834891271,-6.0505337305068485,-8.511161081660653,4.440895344111947,3.7940678014733265,0.8119985664562464,-6.2062548061222165,-4.300893809638966,-8.31037275203713
7,3.768714353515049,3.3916641746527887,1.4585663571987706,-3.194836392937883,-9.851505292117753,-8.323833276456616,4.090315279822851,3.320344860535402,1.4705273191605268,-2.5494987704276144,-7.135461644701077,-8.321066419869636
8,3.782108011818447,2.5883989711578255,1.0234008073711678,3.1942735566495957,-9.833976808568753,-8.432545388571734,4.079957860610322,2.7288585746824703,1.0118086936930872,2.0615829206092826,-7.316512168208573,-8.32769403691132
9,4.264009293148996,1.945878304577584,0.36346962085167583,8.383659928331866,-6.104766509129719,-8.589706743968062,4.4137662933880994,2.2393706451699544,0.35268744177248285,5.901385390787301,-4.781990129265008,-8.313591171223486
10,5.025215776158414,1.7083281520236644,-0.29212897728748694,10.25586908724422,-0.055345239073707475,-8.277181947436976,4.9670793459724765,2.032873034617304,-0.30472432214935297,7.537896071674411,-0.4894367285384579,-8.283058041038512
