num_traj,data_id,xo,yo,thetao,vxo,vyo,omegao,xg1,xg2,vxg1,vxg2
3,0,6.010618358492977,2.010557371676617,0.005298080747570905,0.1583233905000606,0.15677387733696674,0.0787894971322692,2.3797386954715263,3.719549102192621,4.49830581013579,0.2897730187901538
3,1,6.06336757621429,2.0614417986988878,0.031217443959442388,0.5704243565517877,0.536844601075832,0.27703051420722713,3.2073158869987375,3.8134555584336867,5.897774991340613,0.9895111993070769
3,2,6.289938249031939,2.2530799016697696,0.136260360620769,1.847184799045917,1.4131049785614505,0.8219871517531726,3.5502150280183127,4.167149890311759,2.5273727170053,2.612772317832341
3,3,6.638821228226253,2.4793274472118494,0.2834569032662426,2.6830895337066876,1.4100600688146432,1.0716398643253258,3.891446002387137,4.599376925380916,1.9500274563046833,2.9564595421943807
3,4,7.110855096889053,2.6847539812306,0.4654722279569264,3.443377557571933,1.091697525848504,1.2622677170324597,4.170211772802532,5.0477694976082965,2.0902352474781165,2.88484711023685
3,5,7.687846081075551,2.81082327029678,0.6738693607902392,3.9959984721221686,0.47296949058045873,1.422601216431879,4.592424863922538,5.455660863030745,3.3374821289553105,2.372019058821874
3,6,8.319459405776442,2.8103997468836055,0.89501641774627,3.9354011255319024,-0.3873796497596672,1.3989055242596324,5.1571815337865665,5.753912544303459,1.1622401033693035,1.2300239501390817
3,7,8.82855030779345,2.7077488693549596,1.0785818982468278,2.7804313211472915,-0.8271016327895776,1.0255343972156594,5.2384386206574565,5.86268148972364,0.7155806461032718,1.8257453262611085
3,8,9.313721932468505,2.511256524807961,1.263552948296476,3.609871630687066,-1.8443576235875807,1.434315280191396,5.449394259096404,6.523585414032885,1.6766227752912077,6.00714227857323
3,9,9.96065449480195,2.109226636821959,1.5327906610199087,4.662322297650385,-3.37375451490223,1.9777797943920123,5.913106778895053,7.598481810519882,4.017770367412313,7.849388542099107
4,0,6.010140960602079,2.01008497542624,0.005060761030269779,0.15219503046458185,0.15078069702260105,0.07576020416989275,2.2833125328621096,3.7186758651989127,3.9830879200668563,0.2786980793116746
4,1,6.055673617745515,2.0541825580047717,0.02747658125186719,0.5110350681156819,0.4844879136034758,0.24903980760053415,3.042984997407292,3.8000727625168618,6.050426990229957,0.8932852387701565
4,2,6.243526424980154,2.2169953520065993,0.11547597924689221,1.7759511576536655,1.4191748480255337,0.8031702458342649,3.4876452642773623,4.100440915870291,2.2800339794404465,2.6120927670639134
4,3,6.5625312197233665,2.436095203255648,0.25246582589268646,2.5801506677748636,1.5395371132066527,1.0618930081379596,3.8214339991560795,4.513842407549459,2.611641952197001,2.9773631540916323
4,4,7.000965006661135,2.646179452354862,0.4244525512588355,3.395196285039867,1.3029044626600015,1.285688491750329,4.17684141145902,4.9540528590839,2.4178902276426713,2.990058741547514
4,5,7.551901830962771,2.792286892517876,0.6255495630647135,4.0951116920406285,0.6885062737721585,1.468015324232278,4.544798825150062,5.371439448935754,2.780292854729349,2.6436097484956456
4,6,8.182380001720206,2.8229057920805096,0.847829568623168,4.4296787894293725,-0.24661909592593717,1.568579547941366,5.025160790547105,5.701849300752762,4.051334778583627,1.7149024428388617
4,7,8.76699349174816,2.7250305280580296,1.0565505212763608,3.3847078479049317,-0.943854768131282,1.2385682408390757,5.22260933266725,5.827415195235332,-0.02645141414263738,0.6041180015904776
4,8,9.269057497040679,2.5328947654910006,1.2465853505591744,3.4912180094376706,-1.7258919658715175,1.3706303340287869,5.190802069433635,6.412235815884818,0.07842523756655684,6.937227654338223
4,9,9.87344870701565,2.1926234705307723,1.503182985716572,4.562443873337741,-3.0231172985545745,1.9811374687376166,5.392811458346435,7.466099533469637,3.1953697699315566,7.658482117772011
5,0,6.191301440421273,2.1746716782617197,0.09166366009117081,1.329932948545971,1.1101831594130116,0.6128976933795555,3.4024224098703577,4.02200425398144,2.0092347238010637,2.0461338209906104
5,1,7.348296897704257,2.7520968871297407,0.5525168813425548,3.176111462785039,0.7670992632036598,1.1554200849823035,4.44694065813627,5.231400321560376,2.226141098314608,2.3049582235580797
5,2,8.659153062061431,2.7520601256241597,1.0182754718643792,0.4268000770227521,-0.10110317988993123,0.15506025556081493,5.179806809278888,5.815576007443627,-0.6422390258321325,0.016057078449086916
5,3,8.666053478363446,2.75038050756076,1.0207916643668884,-0.0003098833198483058,7.572256905900854e-05,-9.857961432875061e-05,5.208194319695927,5.81691102087178,0.14693897642674772,-0.00039095693734973074
5,4,8.66605451944294,2.7503725895451785,1.0208022290518117,-0.0024440268151716678,0.0006173319996785401,-0.000875950875160444,5.205295466605307,5.816920343381681,0.2666442126964338,-0.0030625793967650047
5,5,8.665967763772278,2.7503893911722153,1.0207799932327897,-0.00027963699735244953,6.93960740674876e-05,-8.908442896152706e-05,5.124161152102516,5.816817673828647,0.1946097405395712,-0.0003448564483300522
5,6,8.665932483521775,2.750394154870852,1.0207743080396685,-0.0004692694770076179,0.00011530154548419075,-0.00015751637946404492,5.045872116529739,5.816778585347273,-0.761842532228558,-0.0005698108914985852
5,7,8.665821934938013,2.750418508829444,1.0207407063535132,6.229722703053161e-05,-2.8406834115937696e-05,3.5129740394033364e-05,4.945195032895582,5.8166461779302665,0.8696225639268973,8.34265662025169e-05
5,8,8.665927080100925,2.7503829862783973,1.0207872735107166,-0.0008057851064682565,0.00022634956110654386,-0.0002816637933698125,5.150444182606559,5.8167826716670135,-0.6674666184835594,-0.0010250621089320491
