num_traj,data_id,xo,yo,thetao,vxo,vyo,omegao,xg,yg,thetag,vxg,vyg,omegag
0,0,5.001017640878702,5.024666432009216,0.006106341285980122,0.010369487546228764,0.159599214630036,-0.002389312255518094,4.7081424775094485,4.722881692415588,0.006109756104371955,0.00964856976239409,0.16030432621773763,-0.002392700119982903
0,1,4.99132103039092,5.105785384175745,0.04707891619797311,-0.11192260376558749,0.41369848570666046,0.38882722933804464,4.711049855894917,4.7922568764628855,0.047079487833735015,0.009770861853705907,0.3047039824879532,0.3883363225830624
0,2,4.961063563906425,5.246278334497517,0.14856041164318015,-0.0752459614727484,0.5145381439371663,0.2496796306829323,4.713977795136387,4.905966406523124,0.14856365306521443,0.009734185211413067,0.4527005407348723,0.25031263069524634
0,3,4.945377188053776,5.416082738916637,0.20221055320984632,-0.11813708898767708,0.677301220344422,0.3625407783856744,4.716891124056108,5.06300951156526,0.20221376138030236,0.009776883020033999,0.5942817973151354,0.3628695026959762
0,4,4.896158843405648,5.647610912562208,0.34401239755513324,-0.17471051997460324,0.8364687322361831,0.4838299346296993,4.719837742839919,5.265780758153933,0.344011869062086,0.00983231496260497,0.7509613222987914,0.4837912940799762
0,5,4.8373609310061365,5.916569002507136,0.49744341344979537,-0.1508085755237124,0.9164478420005218,0.33041139981506196,4.722793844545266,5.513003540725439,0.4974333131172851,0.009808689642583846,0.8928030967261863,0.3316089023548298
0,6,4.798931510202568,6.210533130220793,0.5882900820703361,-0.143731264656899,1.0257494478490734,0.2872414499050566,4.725729636338319,5.801088017787265,0.5882904487723386,0.00980156334556853,1.0285462223875073,0.2872380521084366
0,7,4.734700287301616,6.531405536374127,0.7024645086332824,-0.33523660663622096,1.0697648650423308,0.5288271376181919,4.728690917111167,6.133272442628166,0.7024803063870368,0.009992728896399813,1.179963711770987,0.5272614165075903
0,8,4.564732752851113,6.777365223516347,0.8706210429023634,-0.8246187633046463,0.42557033757835744,0.5308008315128556,4.731758108248586,6.5100026905195305,0.870622285033673,0.010481669531081324,1.3345831489319813,0.5306703528155522
0,9,4.234962645893771,6.684484507673274,1.032558246042327,-1.320652850192337,-1.2339061123790014,0.5651606057441289,4.7349849935858765,6.936248358988341,1.0321906254588356,0.010977703617969018,1.4953246766044808,0.5508009651891652
1,0,4.9880267343805516,5.0133586342389425,0.03533116592311468,-0.04188721415827752,0.11054018233991661,0.12543780199222304,5.1571452162464615,4.719158474632825,0.03532520191651797,-0.004983330203071621,0.13170587796998237,0.12530324484872957
1,1,4.976741303604111,5.066980803838004,0.06893064521995798,0.008454705164844001,0.27546049402373673,-0.046691979041323675,5.155648804574536,4.778628142210807,0.0689259693342662,-0.005034452810653284,0.2670400634576355,-0.04696262319374295
1,2,4.978855438336948,5.16945334520848,0.056411259449070626,-0.007707748546333949,0.39625733672783814,0.009362275343931673,5.154138891008158,4.878883403775867,0.05640678542487209,-0.005018290356942109,0.39785004985607103,0.00902630074789654
1,3,4.982360728447651,5.312909098097531,0.0392349811796266,0.03857514091824858,0.5613149076557425,-0.14863590459644632,5.152627586286403,5.0193717217646165,0.039231574874151326,-0.005064573246406693,0.5360755091918017,-0.14883345981704968
1,4,5.004578223022013,5.507730739214485,-0.039951913071144186,0.10172433504999347,0.7340374159895442,-0.349341121423524,5.151097577800386,5.201643537204049,-0.0399548049071233,-0.005127688679727164,0.6827809730862469,-0.349303622725698
1,5,5.03599001334683,5.749675028480018,-0.14518400997747444,0.17459631654185945,0.9079721272216428,-0.5627785601010608,5.149558379013325,5.429888828806079,-0.1451870052497102,-0.005200543733126826,0.8438150132114812,-0.5627608623299449
1,6,5.079742296790218,6.038532063004818,-0.2839375841837757,0.10794009239184417,1.0215734877255365,-0.3401409220831236,5.148006841878996,5.706107371927439,-0.28394064549629394,-0.005133900815180455,0.998221377690123,-0.34053152841763984
1,7,5.115095186376871,6.36479975492306,-0.39380365264584394,0.15075779389861324,1.1567568892597695,-0.4616738192893488,5.146463699058467,6.026909003801159,-0.39380667414931425,-0.00517673328102537,1.1420870025199537,-0.4617575331410843
1,8,5.155713225078808,6.731460248148194,-0.5172907188230591,0.16476189070284597,1.2800967447841891,-0.5012993086816059,5.144915229606774,6.392454299173641,-0.5172931630989304,-0.005191501103642331,1.2853156081006243,-0.5019571447991262
1,9,5.208544639175109,7.1213859722341954,-0.6352454038018172,0.22329405270660874,1.303019202322591,-0.31442968276293376,5.143354315284748,6.796748511760904,-0.6352460928703835,-0.00525022728023216,1.4164429566731551,-0.31440931045069204
2,0,5.010079981345496,5.022758790688196,-0.03598283634843708,0.03792570695694101,0.1414311091488309,-0.1343972688090495,5.014410293391834,4.72241905641774,-0.03597929318504186,-0.0024422311996989475,0.1408192382432759,-0.1344071473036324
2,1,5.017553202802155,5.086439875235976,-0.06329182137614538,0.021469855030087356,0.2891635311178391,-0.0795455450668585,5.013681528522551,4.7860940197904265,-0.06329062240688459,-0.0024257753477720956,0.28942405820848793,-0.07954298891601953
2,2,5.03367283081636,5.196307613028447,-0.11946840848405813,0.03663332517579258,0.43833058069578096,-0.1303955829289125,5.012944248579853,4.896652660366928,-0.11946874134684156,-0.0024401700171217174,0.4410565139335124,-0.1305258617491332
2,3,5.047970459339941,5.350207878655073,-0.1697444284751476,0.057975481461828765,0.5865870334259806,-0.20256820459313296,5.012208889943745,5.051972816404316,-0.16974732957349237,-0.002461512173407752,0.5938188929257114,-0.20259788571202458
