num_traj,data_id,capture_exists_label,capture_all_label,lateral_friction_coef
0,0,1,0,0.9666874484618216
0,1,1,1,0.9666874484618216
0,2,1,1,0.9666874484618216
0,3,1,1,0.9666874484618216
0,4,1,1,0.9666874484618216
0,5,1,1,0.9666874484618216
0,6,1,1,0.9666874484618216
0,7,1,1,0.9666874484618216
0,8,1,1,0.9666874484618216
0,9,1,1,0.9666874484618216
1,0,1,1,0.9448918933159383
1,1,1,1,0.9448918933159383
1,2,1,0,0.9448918933159383
1,3,1,0,0.9448918933159383
1,4,1,0,0.9448918933159383
1,5,1,0,0.9448918933159383
1,6,1,0,0.9448918933159383
1,7,1,0,0.9448918933159383
1,8,1,0,0.9448918933159383
1,9,1,0,0.9448918933159383
2,0,1,0,0.1685760956221634
2,1,1,0,0.1685760956221634
2,2,1,0,0.1685760956221634
2,3,1,0,0.1685760956221634
2,4,1,0,0.1685760956221634
2,5,1,0,0.1685760956221634
2,6,1,0,0.1685760956221634
2,7,1,0,0.1685760956221634
2,8,1,0,0.1685760956221634
2,9,1,0,0.1685760956221634
3,0,1,0,0.8599127938326128
3,1,1,1,0.8599127938326128
3,2,1,1,0.8599127938326128
3,3,1,1,0.8599127938326128
3,4,1,1,0.8599127938326128
3,5,1,1,0.8599127938326128
3,6,1,1,0.8599127938326128
3,7,1,1,0.8599127938326128
3,8,1,1,0.8599127938326128
3,9,1,1,0.8599127938326128
4,0,1,0,0.4928100290497871
4,1,1,1,0.4928100290497871
4,2,1,1,0.4928100290497871
4,3,1,1,0.4928100290497871
4,4,1,1,0.4928100290497871
4,5,1,1,0.4928100290497871
4,6,1,1,0.4928100290497871
4,7,1,1,0.4928100290497871
4,8,1,1,0.4928100290497871
4,9,1,1,0.4928100290497871
5,0,1,0,0.3713232675962309
5,1,1,0,0.3713232675962309
5,2,1,0,0.3713232675962309
5,3,1,0,0.3713232675962309
5,4,1,0,0.3713232675962309
5,5,1,0,0.3713232675962309
5,6,1,0,0.3713232675962309
5,7,1,0,0.3713232675962309
5,8,1,0,0.3713232675962309
5,9,1,0,0.3713232675962309
6,0,1,0,0.6316963753387361
6,1,1,0,0.6316963753387361
6,2,1,0,0.6316963753387361
6,3,1,0,0.6316963753387361
6,4,1,0,0.6316963753387361
6,5,1,0,0.6316963753387361
6,6,1,0,0.6316963753387361
6,7,1,0,0.6316963753387361
6,8,1,0,0.6316963753387361
6,9,1,0,0.6316963753387361
7,0,1,0,0.48804615393353956
7,1,1,1,0.48804615393353956
7,2,1,1,0.48804615393353956
7,3,1,1,0.48804615393353956
7,4,1,1,0.48804615393353956
7,5,1,1,0.48804615393353956
7,6,1,1,0.48804615393353956
7,7,1,1,0.48804615393353956
7,8,1,1,0.48804615393353956
7,9,1,1,0.48804615393353956
8,0,1,0,0.7610493896216287
8,1,1,0,0.7610493896216287
8,2,1,0,0.7610493896216287
8,3,1,0,0.7610493896216287
8,4,1,0,0.7610493896216287
8,5,1,0,0.7610493896216287
8,6,1,0,0.7610493896216287
8,7,1,0,0.7610493896216287
8,8,1,0,0.7610493896216287
8,9,1,0,0.7610493896216287
9,0,1,0,0.20680599904161878
9,1,1,0,0.20680599904161878
9,2,1,0,0.20680599904161878
9,3,1,0,0.20680599904161878
9,4,1,0,0.20680599904161878
9,5,1,0,0.20680599904161878
9,6,1,0,0.20680599904161878
9,7,1,0,0.20680599904161878
