num_traj,data_id,capture_exists_label,capture_all_label,lateral_friction_coef
0,0,0,0,0.8827125768291115
0,1,1,0,0.8827125768291115
0,2,1,0,0.8827125768291115
0,3,1,0,0.8827125768291115
0,4,1,0,0.8827125768291115
0,5,1,0,0.8827125768291115
0,6,1,0,0.8827125768291115
0,7,1,0,0.8827125768291115
0,8,1,0,0.8827125768291115
0,9,1,0,0.8827125768291115
1,0,0,0,0.9325813222922111
1,1,0,0,0.9325813222922111
1,2,1,0,0.9325813222922111
1,3,1,0,0.9325813222922111
1,4,1,0,0.9325813222922111
1,5,1,0,0.9325813222922111
1,6,0,0,0.9325813222922111
1,7,0,0,0.9325813222922111
1,8,0,0,0.9325813222922111
1,9,0,0,0.9325813222922111
