num_traj,data_id,xo,yo,thetao,vxo,vyo,omegao,xg,yg,thetag,vxg,vyg,omegag
0,0,5.992113142205525,5.311233496136344,0.14814426027444938,-0.07600124535509467,0.06270924598678804,-0.02528954483379274,6.023812324950539,4.9300141578287295,0.0,0.024393858819219988,0.055945353599982255,0.0
0,1,5.984042589119038,5.321630059359108,0.1444252148501404,-1.7154117255287211e-06,-6.607629951991236e-06,1.2719076382804158e-05,6.028368364355229,5.00414451010894,0.00550630656950215,0.010631268524371278,0.42268047315930096,0.0550340652192481
0,2,5.971111552913663,5.443711732277137,0.1508396049460626,-0.05679503530779356,0.5825865012676733,0.04115879677465722,6.034993521606471,5.149722704688444,0.04913262519164576,0.026427316429281884,0.5948906232179705,0.2203780028115938
0,3,5.9511413903755885,5.660138218628669,0.17599765905950596,-0.0787593893162587,0.8636810760650426,0.13618639776171013,6.043831390172025,5.371663392396063,0.11814147580153825,0.03386113988732948,0.8842307271077826,0.26961617235931157
0,4,5.923739801259458,5.952764326210501,0.2353436095830248,-0.10836151639734254,1.0980337320879308,0.2716586972904767,6.0552212219938575,5.6757805124377745,0.20443970667669792,0.0424804605564562,1.1511371518586893,0.30889662705720683
0,5,5.883377444783885,6.320233615067066,0.3457673444516689,-0.1638058343594276,1.3375806891007995,0.4666663189888943,6.069850538480501,6.068534718485704,0.3182485348275485,0.055852788182969446,1.4594034412356867,0.4131192865022083
0,6,5.824465008205034,6.7444311230053176,0.5154168001838432,-0.23184089129616195,1.4776274348315783,0.6680257764544961,6.089045969677003,6.5495099456463715,0.4578140801898193,0.07272298905618987,1.7487812661806375,0.483218339115269
0,7,5.746805670377471,7.191701738417454,0.73992467251657,-0.28103250710382854,1.4852523440107603,0.8151727057950566,6.112741038528898,7.119519970952376,0.61222033127389,0.08405450969418843,2.0597069358380558,0.5109064219075743
0,8,5.662063323747156,7.623446545812788,0.9857514023901351,-0.27709453242051835,1.384621620637305,0.7982885196630423,6.137774076215544,7.794213400007738,0.7696522965190462,0.08168710180177095,2.4402069292269006,0.5166461338144773
0,9,5.580570641485131,8.021248803523111,1.2163231422701428,-0.2669038348273932,1.2688338329319742,0.7393414750103043,6.161600786289687,8.581631643922178,0.9222365191150992,0.07721478032214073,2.8081407532772804,0.49047967083855637
1,0,5.941074415831633,6.839593235752362,0.11246553064912264,-0.041513749106977964,0.04977624970183761,-0.06396943156285961,5.7051461570239805,6.45575590495965,0.0,-0.05063314760062279,0.029172705798507583,0.0
1,1,5.938015146262684,6.848915775445746,0.09873127108515949,-0.021468360737821993,0.26476340336611415,-0.5145802407477861,5.696445507285337,6.523414942519071,0.005870093495803662,-0.017081485008936886,0.3453250527781713,0.07645631894416066
1,2,5.93160177704368,6.959123832158351,-0.0721403964476753,-0.01470499843819631,0.5108192101462669,-0.7076774979111227,5.6918354946621275,6.675588054039052,0.047930111043516355,-0.016035723103362095,0.66825897689967,0.1939173355775777
1,3,5.9348210514406485,7.151185864199185,-0.3176931284837736,0.04175991239633311,0.748030138665767,-0.9115739310113284,5.685185890678316,6.9173363586672085,0.11863730688782445,-0.02998214997130388,0.9364172750664886,0.24446410920071082
1,4,5.962503877949696,7.401491160030948,-0.6238929392574988,0.15139713482157988,0.8996997984146448,-1.1084839085442675,5.6727152079005485,7.2400444478290105,0.19660286288817916,-0.05420847501078225,1.2274076858391216,0.21202870646659105
1,5,6.019124065863763,7.66973276618319,-0.9521047766231067,0.21226087754738884,0.866956258468617,-1.0527628758914294,5.654768719135987,7.6632547179767085,0.26328723048620345,-0.06279847290820446,1.6000431853615038,0.2008242204931359
1,6,6.082812651711205,7.913528331965024,-1.2435906301822874,0.21141193532173036,0.758613343068828,-0.8975304299815554,5.636642518751789,8.20154260216128,0.32835661238165853,-0.05801379414832802,1.9790122104724106,0.20633335020565985
1,7,6.145390003269915,8.123973482984608,-1.4924785356435069,0.20491567921402098,0.6455794333080542,-0.7657932688284439,5.6198338357175635,8.85695854678466,0.39156775927011706,-0.054569594109266734,2.384791041201205,0.22431424153120316
1,8,6.205109667904729,8.300406705187473,-1.702524751465568,0.19227082727985204,0.5325256258107359,-0.6343610885912421,5.613674755495041,8.900019714051375,0.39009713988277156,-6.517546514724984e-05,-0.00013939073989859257,8.163390658410673e-05
1,9,6.254054590162177,8.368376678103028,-1.8118925107741908,0.11811202803104627,-0.013858987443650522,-0.10859076731461455,5.613677446817793,8.900010315264312,0.3901187443649225,1.1067024755396064e-05,-1.1457034178913479e-05,0.00012077592460577485
2,0,5.198413295965829,4.951436574406357,0.03334719068609554,-0.0007310626612883897,-0.014606523441636862,0.09541462772441892,5.020974411590797,4.558675306258157,0.0,-0.05654516704666637,0.05435173731357096,0.0
2,1,5.1983948715834405,4.950611408429642,0.03613380749745094,-1.1717087176263852e-06,-1.6485963296975989e-06,5.713309783586789e-06,5.010065608579477,4.632220149701958,0.006551297584484658,-0.02837505515105301,0.4168082211202951,0.03604179323756029
2,2,5.198644872000586,5.063807726168943,-0.10260808513896343,0.009874329533332714,0.535120854479124,-0.5967952333817109,5.002486129995686,4.782317376154613,0.03896041411693546,-0.025497382212456367,0.6362220615148919,0.12615675407921967
2,3,5.208316136034996,5.258733145516519,-0.30630056757518276,0.05984198133801007,0.7611886405720769,-0.7680966514304722,4.993403913190677,5.012062423997656,0.08900817874527091,-0.03712544314787915,0.9028767081421676,0.19185355334430426
