num_traj,data_id,shortest_distance_1,S_stick_1,S_engage_1,shortest_distance_3,S_stick_3,S_engage_3,shortest_distance_1,S_stick_1,S_engage_1,shortest_distance_3,S_stick_3,S_engage_3
0,0,0.00014565566902339068,0.04684541709751227,0.09875765500343862,-0.0001811965697351549,0.0,0.0,0.11440860263694781,0.0,0.0,0.03574511917507132,0.0,0.0
0,1,-4.863890622049268e-05,1.3272151614073888,2.39942932560317,-0.00028781460485386833,1.3897512369657001,2.3970392938820164,0.1146942208954422,0.0,0.0,0.03683913264216994,0.0,0.0
0,2,-3.615408753719412e-05,1.3018808819768122,2.308259776435065,-0.00027195907885097805,1.42751678599297,2.3159457613022854,0.11465496163066544,0.0,0.0,0.03687316349337973,0.0,0.0
0,3,-1.213974827844657e-06,1.0595517129815382,2.0771634086154,-0.00016397272666360198,1.2347609283034908,2.1256985149247463,0.13886824513758056,0.0,0.0,0.08197259514257889,0.0,0.0
0,4,-0.00022752349923930797,1.4723508810988735,2.645037810631281,-8.70754015067734e-05,1.643853172006388,2.6617773624123133,0.26865304336614176,0.0,0.0,0.24095916921869087,0.0,0.0
0,5,-0.00024036463516307976,1.7280852539946876,2.9444981279381057,-6.87838971749823e-05,1.831850877918458,2.938053224789937,0.4619969290638253,0.0,0.0,0.44441284236352846,0.0,0.0
0,6,-0.00023046316391193392,1.824289218889798,3.0436049590895022,-5.411299630796564e-05,1.8913354251857428,3.0308955597833203,0.7007672208163873,0.0,0.0,0.6878703455290179,0.0,0.0
0,7,-0.00021356088935168996,1.792900262818836,2.968473368709262,-5.880349206873977e-05,1.8758468694301942,2.948167396799635,0.9810827701683491,0.0,0.0,0.9707515244214655,0.0,0.0
0,8,-0.00019251991278438035,1.802579934206397,2.8922374148889,-5.098274735765426e-05,1.874458223936413,2.8708588525959264,1.3016093925293895,0.0,0.0,1.2927789754917856,0.0,0.0
0,9,-0.0001666481517943715,1.5569522377786982,2.5857076986765626,-8.701611635348033e-05,1.6162509130611251,2.5762591497917526,1.6618788230683068,0.0,0.0,1.654015317668753,0.0,0.0
1,0,6.108885622636753e-06,0.8130667158109931,1.6287658938848895,-2.719440753828732e-05,1.0013165149004333,1.6458757390790175,9.535940728016895e-05,0.458523709291746,0.6928261030730015,0.00012378932113347356,0.3407708252818413,0.6826449626540787
1,1,-4.575906264040917e-05,0.0,0.0,-0.00020583315541196075,0.0,0.0,-6.640523182900203e-05,0.22071585043552652,0.44214631153681694,-7.6177049292774045e-06,0.2801376881423712,0.5582222194684103
1,2,0.0008114337455994076,0.0,0.0,-0.00021356099203932374,0.03231289084711876,0.0647304009882096,-6.132752898913626e-05,1.3793519672459431,2.254049122436957,-0.00014317124434864493,1.1589075282771033,2.205059365779338
1,3,0.05034953800968043,0.0,0.0,0.0534349406663109,0.0,0.0,-6.0968214423426934e-05,1.1031981757177192,1.8649198349918152,-0.00011920054395207508,0.9153160247773388,1.816657248392059
1,4,0.20820947271733606,0.0,0.0,0.21091174616877997,0.0,0.0,-4.295422720694249e-05,1.0128204636857792,1.7062010182535616,-9.058738572682292e-05,0.8282414488709549,1.659041198305273
1,5,0.4080872377569598,0.0,0.0,0.4107505139903836,0.0,0.0,-0.00012684518117246505,0.0026061610834376392,0.0052207601222973654,0.00032332574849787583,0.0,0.0
1,6,0.6551600720600401,0.0,0.0,0.6578223463338563,0.0,0.0,0.23871447032074056,0.0,0.0,0.23224644771809352,0.0,0.0
1,7,0.9497032843416505,0.0,0.0,0.9523708936099994,0.0,0.0,0.8435832851139189,0.0,0.0,0.844062166665881,0.0,0.0
1,8,1.2917114381379933,0.0,0.0,1.2943866599738698,0.0,0.0,1.292456016840172,0.0,0.0,1.294657773825233,0.0,0.0
1,9,1.6812035134236682,0.0,0.0,1.6838818369506803,0.0,0.0,1.6816085721010479,0.0,0.0,1.683887612447295,0.0,0.0
