num_traj,data_id,shortest_distance,com_distance,max_contact_normal_force
0,0,0.08172261971545006,0.38253499459055673,0
0,1,0.02050421634684692,0.3205737555229317,0
0,2,0.0001597432761870984,0.3008623585832725,0.0
0,3,0.00010130547038939549,0.30302290961347605,0.0
0,4,2.7233677520116475e-06,0.3066213093062004,0.7136277628425384
0,5,1.6981794742973104e-06,0.3132627010467893,1.270467400408226
0,6,5.696602590448828e-06,0.3286431694093257,1.9757808398036971
0,7,1.6442108774679567e-05,0.37299850925442407,0.0
0,8,0.002263527132886082,0.5054414136578281,0.0
0,9,0.09734980280537751,0.8072384472095995,0
1,0,0.05493450923821571,0.4505477109187043,0
1,1,2.7048883788984913e-05,0.40535376446974436,6.916709476357524
1,2,1.2838556095392732e-06,0.37133324976792703,0.0
1,3,4.303144844939212e-06,0.3420802360937095,0.0
1,4,0.00027301820667590196,0.3317472649550582,0.0
1,5,0.0005093722977080367,0.3644254305776718,0.0
1,6,0.02988754957527564,0.5310640167533295,0
1,7,0.21751228149156596,0.9019342305784543,0
1,8,0.3650675746193528,0.842217915846557,0
1,9,0.44879119980704724,0.8322963473911519,0
2,0,0.08662691451659595,0.4309825651295408,0
2,1,0.011331311242031272,0.3699270786375212,0
2,2,6.590649306991945e-05,0.3431078546916122,0.0
2,3,1.7321194405934302e-05,0.3271825211417608,0.7814001708151724
2,4,4.550041991095888e-06,0.3221582262749067,1.4897057871476846
2,5,1.9459084117762433e-05,0.34402101182651357,0.8166348217708821
2,6,0.010483737114043276,0.4656619775905191,0
2,7,0.11222557622574347,0.780961391562964,0
2,8,0.5716577581667938,1.280271650166733,0
2,9,1.239061542543176,1.944038733419702,0
3,0,0.06833614011587469,0.4411292510452852,0
3,1,0.0004120165086378338,0.3666212609619902,0.0
3,2,9.498591830909074e-05,0.33176161738567417,0.0
3,3,2.145362049273006e-05,0.3105172271257659,0.533129774297248
3,4,8.577379583321351e-07,0.30454167825479206,1.5539031646093622
3,5,3.187601791776312e-06,0.31125182490972253,0.3997644659453917
3,6,0.0011501394749668082,0.3679365248275502,0.0
3,7,0.037931040480605624,0.5804359342406142,0
3,8,0.2105965418689199,0.7531107695529016,0
3,9,0.38996426439590304,0.8201819841036259,0
4,0,0.09225952035798345,0.4055342529553356,72.2902227466357
4,1,0.025257705661287877,0.33983895034649275,0
4,2,1.1702809170751529e-05,0.310673546283433,5.8378627399770275
4,3,9.385676054637083e-05,0.3064525177711867,0.0
4,4,0.0005289477514486558,0.3056536952828697,0.0
4,5,1.921416498106386e-06,0.30921382748160103,0.7983451994681612
4,6,0.0007797244329537002,0.6741169110408007,0.11327608772442649
4,7,0.25528608482973536,0.9825246135887412,0
4,8,0.5563995330172102,1.2580931443656398,0
4,9,0.8159173904554665,1.5174114616519248,0
5,0,0.08161258532574434,0.3873338361085658,5.738329782112857
5,1,0.009281874148744219,0.3136653100584663,0
5,2,1.435171029992151e-05,0.30077335168827163,3.0357811566853994
5,3,0.0001138511579962512,0.3005379659842135,0.0
5,4,4.470791782193983e-06,0.30298569005910464,0.0
5,5,9.11919177850829e-06,0.30488873629932034,0.9424664401183237
5,6,8.297039389124324e-05,0.3053367328303764,1.1552426579880921
5,7,0.0001285195676935284,0.31805694429483206,0.0
5,8,2.2192272235196893e-05,0.33010456776020736,5.121065965052861
5,9,2.288491312344234e-05,0.3301040217765259,5.641179154462975
6,0,0.08237976511387986,0.38254952019022975,607.7483242895307
6,1,0.00014813144074283496,0.30029047491166855,0.0
6,2,9.745008191187638e-06,0.30011883694978136,1.1404497179571083
6,3,9.52844842073452e-06,0.3005565525403224,0.18822224785021435
6,4,5.070169312858247e-06,0.30143476982637696,1.2158998278872462
6,5,9.569302125092218e-06,0.30255101939253787,0.5890883048091059
6,6,5.131305973809439e-06,0.30393189989799124,1.4911808514576814
6,7,8.791771458112958e-06,0.306574198876401,1.0315498240721028
6,8,1.2160064187606113e-06,0.31532014802648856,1.3130708528191297
6,9,0.025511243176883174,0.7367185650568546,0
7,0,0.09238955928124411,0.39523126233859124,44.05805099433225
7,1,0.01823175107962895,0.32086158243773694,0
7,2,1.1501096561351594e-05,0.3011916135875174,1.3930902453004508
7,3,1.0339684329915743e-05,0.30029786801759845,8.282708655216371
7,4,1.010670300920636e-05,0.30002841578356626,0.8376427850468968
7,5,8.860307908791256e-06,0.30003374176989883,0.3620850119161427
7,6,1.869836567499756e-06,0.3000513602069055,1.830511962232195
7,7,9.458342214970024e-06,0.3011262709682501,0.8539004793687535
7,8,8.084562403910016e-06,0.30610547543018707,1.1044713232080725
7,9,0.00019383928924370842,0.39518976403057143,2.1910632120837974
8,0,0.08349057440556007,0.3931888369755616,4.961691937658662
8,1,9.923347377316136e-06,0.3120925186164392,3.5529773464602834
8,2,1.846748685849789e-05,0.30229257555443206,0.7113256449261148
8,3,1.4913536426900134e-06,0.3005127625506005,0.0
8,4,1.5127428569109953e-05,0.3047605525554476,1.0731647009357672
8,5,1.1881258704907394e-05,0.30717556206801694,0.971488467844122
8,6,1.2281621724629041e-05,0.30592078133740574,1.248026335476778
8,7,0.002187402607438199,0.30717831696618036,0.0
8,8,1.706851581197422e-05,0.3082566268894822,4.306320179782498
8,9,1.68719555594617e-05,0.3082564839466204,1.6899222045005244
9,0,0.10201473464454713,0.4022156743599099,0
9,1,0.042650236409243286,0.34426048245210406,0
9,2,9.385819610120007e-06,0.30515600342177274,4.643945986663378
9,3,0.0002167909140557337,0.30938447791002577,0.0
9,4,7.270864519999565e-05,0.31786041968506984,0.0
