num_traj,data_id,shortest_distance,S_stick,S_engage,shortest_distance,S_stick,S_engage,shortest_distance,S_stick,S_engage,shortest_distance,S_stick,S_engage,shortest_distance,S_stick,S_engage,shortest_distance,S_stick,S_engage,shortest_distance,S_stick,S_engage
0,0,0.3097146576426686,0.0,0.0,0.48651134270687496,0.0,0.0,0.15596193044190776,0.0,0.0,0.40050175148654094,0.0,0.0,0.12067722257203532,0.0,0.0,0.24416568241273814,0.0,0.0,0.40359590776065,0.0,0.0
0,1,0.2724149431833086,0.0,0.0,0.4498977176602481,0.0,0.0,0.11591007568671204,0.0,0.0,0.36011927546215017,0.0,0.0,0.08277954286453297,0.0,0.0,0.20377200641798912,0.0,0.0,0.3641438430521139,0.0,0.0
0,2,0.18035736659216714,0.0,0.0,0.3581033061270139,0.0,0.0,0.023013722420437983,0.0,0.0,0.26838729088929936,0.0,0.0,0.00017109092921018367,0.1295662347170892,0.4238324346491283,0.1104219406148502,0.0,0.0,0.27126120361800377,0.0,0.0
0,3,0.06857552749143161,0.0,0.0,0.2248289550721632,0.0,0.0,0.0005267289693412153,0.0,0.0,0.15319490011515732,0.0,0.0,0.0002159088035797313,0.0,0.0,0.000577560732507512,0.1574463525735807,0.42604495348955024,0.14644735791480887,0.0,0.0
0,4,1.4304313773406821e-05,0.17839972123538714,0.7955641822560348,0.0812770305788258,0.0,0.0,9.610015670590926e-06,0.23296687857224638,0.6308696845943104,0.09935983414874544,0.0,0.0,9.924817288261726e-06,0.1122522145670406,0.46741172878895154,3.6136618486820035e-05,0.19386786763935362,0.7661597757339346,0.09146284327022229,0.0,0.0
0,5,7.845546585100989e-05,0.0,0.0,0.0002264483393529366,1.0077326173428423,3.158539844282053,1.8340065410978419e-06,0.1216466065097211,0.5456402232284369,0.09991460414802682,0.0,0.0,1.0803545485813432e-05,0.02634298990993547,0.07175834347042248,0.00021354711992407563,0.13955261016767756,0.4622828907388496,0.06792127676973839,0.0,0.0
0,6,0.00017488826619561912,0.14400506977391622,0.47978389235198227,9.032380145131735e-06,0.16544966627980356,0.7367771468215456,1.893822592747221e-05,0.25361260957792814,1.1377613189398377,0.11476738630167307,0.0,0.0,9.019007553096472e-06,0.13255064189432572,0.4537144439657034,0.022378491750721378,0.0,0.0,0.04481928704944236,0.0,0.0
0,7,0.04139643564880364,0.0,0.0,0.003330194005481428,0.0,0.0,0.00020808334604303921,0.07073830066236034,0.30349584898856513,0.17895442353482807,0.0,0.0,0.02099835321974134,0.0,0.0,0.08182641068387503,0.0,0.0,4.355266910668821e-05,0.20427782759652743,0.7544749259908612
0,8,0.0015990575153844557,0.0,0.0,0.0020940140704762827,0.0,0.0,0.0010108323776628308,0.0,0.0,0.22660088493758215,0.0,0.0,0.0007451286507517399,0.0,0.0,0.1742375137348226,0.0,0.0,1.4249964712452408e-05,0.395929382745536,1.1774723171634607
0,9,7.0240004416909445e-06,0.0,0.0,3.41090101054722e-05,1.6937262142557297,4.59663963604057,0.002591228645142144,0.0,0.0,0.22619459910448866,0.0,0.0,4.493685296716128e-05,0.0,0.0,0.17353036290290683,0.0,0.0,0.0001227634519338248,0.0,0.0
