shortest_distance,com_distance,max_contact_normal_force
1.708855279503041e-12,0.2999999999999998,0
9.869210976520864e-06,0.3000053259606643,5.533987633374104
1.060109539256933e-05,0.3000050609114626,0.751121429453283
1.0672353560185696e-05,0.30000776072761237,1.5718512968249951
1.0000094154966825e-05,0.30001300288341143,1.749156276072143
9.982182326425742e-06,0.30001305823112473,1.4437685178929203
9.969618204170496e-06,0.30001456472380045,1.7058016512115548
1.001159987560008e-05,0.3000146510100416,1.5960174227589492
9.974800706628769e-06,0.30001171713958047,1.4818822246176977
1.0007561923366974e-05,0.30001202104935043,1.7853803815772766
9.98803611005444e-06,0.30000948675531214,1.4595001704263608
9.995433148854968e-06,0.3000073209530667,1.5935707693432337
9.993582991858132e-06,0.300008653559544,1.7629535946559853
9.988090735766614e-06,0.3000063566613547,1.4489577014265806
9.992284000800428e-06,0.3000068411207769,1.670872911474084
9.989107093166226e-06,0.3000073096832242,1.6091825884774327
6.174343702130874e-05,0.3001654371828091,0.0
1.0257612531275398e-05,0.30001696417180174,11.367210262485386
2.0629687779023318e-05,0.30000989820142615,7.620988217323902
2.040053217455763e-05,0.3000096609424158,9.426460182644751
2.1256125104567067e-05,0.30000933031070603,9.170432184332128
