data_id,xo,yo,thetao,vxo,vyo,omegao,xg,yg,thetag,vxg,vyg,omegag
0,5.0,4.3,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,1.0,0.0
1,5.000033655228588,4.3949222896072815,6.268746772117045e-05,0.002986215177259074,0.8638566406641699,0.004581925158783209,4.9999830327640415,4.094931452982011,-0.0006879879818899957,-0.0008621741037817515,0.8844729374605034,-0.02101062024670897
2,5.000372600378254,4.498711797617876,0.0006223044825048191,0.0029169674237393157,0.9603161668759369,0.0050091172588568635,4.9998777334952775,4.198721831868565,3.475239836901905e-05,-0.0010419820697403117,0.9618553950516381,-0.027811125325122657
3,5.000724106458635,4.6116026435272595,0.0012188985916136812,0.0032046361538363463,1.042178978549103,0.005280083982329555,4.999768961236987,4.311611240249274,0.0015886412252029787,-0.0008778560149443281,1.042431988720075,0.051665105923149664
4,5.000990321048843,4.73358791007491,0.0016211663519701883,0.0017074297237086047,1.123590193628466,0.0020374702155853334,4.99968105844862,4.433592612676446,0.0029404977871779975,-0.0007127555459938182,1.1230956382337685,-0.024111716263600952
5,5.001171522083426,4.864659513998539,0.0017430071142998976,0.0015395241348553506,1.203666278894908,0.00015598663146930588,4.999616688364811,4.564665339489052,0.004616679008883209,-0.00045235019725061164,1.204068973718152,0.05109612755524332
6,5.001279471659968,5.004821046687132,0.0015516357308630834,0.0003554790746911633,1.2849052576413045,-0.003551588120498072,4.9995718661699025,4.704826200099113,0.005975105064330403,-0.0003257502817132668,1.28473388403935,-0.024741500198964594
7,5.00133772826775,5.154068647697251,0.0010592107207153501,0.000561824449541001,1.3656415836992437,-0.005289930870016057,4.999542512192755,4.854074229546858,0.007637984949872357,-0.00017914607016294168,1.3655092768465393,0.050533287683545196
8,5.001360855770622,5.312399707733294,0.00028908994148790855,-0.0002008221328394454,1.4459323639326511,-0.008391038136197296,4.999523426922473,5.012408483142685,0.008938528474546736,-0.00013734129616211228,1.4463812494545287,-0.02522094028410623
9,5.00137465061502,5.479818040659202,-0.0007138875730188399,0.00044347465875718933,1.527416303196041,-0.009356138084676157,4.99950926063865,5.179826688027781,0.010536177781847423,-0.00012496290668197272,1.5269464309793432,0.050817686761657044
10,5.001393531187633,5.656317785213572,-0.0019145290884980252,7.010754385794026e-05,1.6075922960168374,-0.01161716012490237,4.999494667348533,5.3563291793482195,0.011830850202720747,-0.00017090728410887253,1.6078279398046458,-0.02433266745431724
11,5.001444533000192,5.841900563643075,-0.0032465179150306567,0.0010248235655808309,1.6883161910099045,-0.011693946014582735,4.999473600808886,5.541914591719494,0.01343553136894154,-0.00026090151166258493,1.6885641798793793,0.05122625623050234
12,5.001542888542718,6.036568089328515,-0.004664750836791385,0.0008867280920838556,1.7696690029584001,-0.013210100696510718,4.9994404153636856,5.736581680802405,0.014708708779540489,-0.0003629489428101367,1.769138553178686,-0.02500590286860678
13,5.001713600226439,6.24031382888335,-0.00611757455875572,0.0021326484049985447,1.8496478616528431,-0.012589657201457072,4.999389288301969,5.940331356460918,0.01628018941963852,-0.0005508680199368732,1.8500467159683358,0.050194734786251215
14,5.001972709003711,6.453142116164147,-0.0075776654071344676,0.002404715877433774,1.93074893180377,-0.013435478531347087,4.999314354976088,6.153161934950415,0.017536071475674424,-0.0007574110783036493,1.9306740263394018,-0.025550661385280102
15,5.0023428274522335,6.675049735286986,-0.009023392693821655,0.0040499780948466575,2.0114447943659193,-0.01244358588020767,4.999210202906216,6.3750736645286255,0.019114169402550764,-0.001070064842325972,2.0113935074868623,0.050287456651284215
16,5.002189592200332,6.802873449696615,0.001234646801973834,-0.008225829136255488,-0.1300392355041353,-0.05098212475796072,4.99859129159533,6.502734546350601,0.024128793161559456,-0.011942587896017678,-0.10863050303633291,0.09143810963252842
17,5.002025703705712,6.800096645558085,-6.986727178347772e-05,0.00023402492788813234,-0.001514772360517732,0.001311706719089757,4.998186907621446,6.500104319080258,0.02722366946028866,-0.0004535861862389228,-0.0014014614734476028,-0.00221093774821921
18,5.002029835027553,6.800056695452497,-4.1108370842967344e-05,-9.663690335311056e-05,-0.0001197684103268395,-0.0001085301140802477,4.9981700240628415,6.500071628372366,0.027152649492878128,1.739234387464601e-05,-0.00012456601767796456,0.0009003317802319998
19,5.002028093569878,6.800053125212745,-3.654871009374026e-05,2.3524577120904516e-05,-8.881404653931953e-06,5.04569723757068e-06,4.998172158751789,6.500068244889276,0.02716746109590372,1.991765597819322e-05,-6.61831472955135e-06,-4.96517221372329e-06
20,5.00203077001379,6.800051992698181,-3.633936987331134e-05,2.4771412389404635e-05,-9.33487446058825e-06,-1.3002678248116583e-07,4.998174635974571,6.500067445598026,0.027167805372980736,2.3246361321696007e-05,-5.929508085476473e-06,6.04193122415921e-07
