n_episode,n_iteration,n_sample,n_horizon,xo,yo,vxo,vyo,xg,yg,thetag,vxg,vyg,omegag
0,0,0,0,7.385838031768799,4.154150009155273,0.002654175041243434,0.03503623977303505,7.379923343658447,4.263827800750732,-0.007073777262121439,-0.0737764835357666,0.005008446052670479,-0.09292495250701904
0,0,0,1,7.387607097625732,4.151184558868408,0.02427702024579048,-0.058053866028785706,7.368533611297607,4.2602949142456055,-0.02224409393966198,-0.07424021512269974,-0.05191946029663086,-0.1122647300362587
0,0,0,2,7.394129276275635,4.149196147918701,0.06562523543834686,0.004632118158042431,7.350897789001465,4.256985187530518,-0.03616880998015404,-0.15546685457229614,0.008452375419437885,-0.08117901533842087
0,0,0,3,7.408378601074219,4.158665180206299,0.12938864529132843,0.09511485695838928,7.330012798309326,4.263336658477783,-0.06132638454437256,-0.11838028579950333,0.07691576331853867,-0.25950777530670166
0,0,0,4,7.436517715454102,4.169861316680908,0.25638046860694885,0.02810855582356453,7.325146675109863,4.267694473266602,-0.10730543732643127,0.06015742942690849,-0.012086832895874977,-0.3621070683002472
0,0,0,5,7.487697601318359,4.186620712280273,0.4326210618019104,0.1973339170217514,7.352030277252197,4.274669647216797,-0.16720864176750183,0.3050989806652069,0.10381384938955307,-0.4384298622608185
0,0,0,6,7.574410438537598,4.215007781982422,0.7244024276733398,0.22563275694847107,7.422557830810547,4.290316581726074,-0.24252931773662567,0.6451017260551453,0.10488000512123108,-0.5593323111534119
0,0,0,7,7.71628999710083,4.2389678955078125,1.1736217737197876,0.12608399987220764,7.559972286224365,4.300459384918213,-0.338697224855423,1.1969293355941772,0.03879440575838089,-0.7147911787033081
0,0,0,8,7.930927753448486,4.273518085479736,1.697249174118042,0.34304943680763245,7.769289970397949,4.315972805023193,-0.46157458424568176,1.609986424446106,0.1724160611629486,-0.916976809501648
0,0,0,9,8.241607666015625,4.335841655731201,2.4578773975372314,0.4978238642215729,8.074947357177734,4.351442337036133,-0.6233769059181213,2.4770052433013916,0.3203636109828949,-1.2331205606460571
0,0,0,10,8.66900634765625,4.4512939453125,3.2522709369659424,1.0479986667633057,8.511961936950684,4.445016860961914,-0.8146680593490601,3.3523006439208984,0.9383824467658997,-1.3127562999725342
0,0,0,11,9.244131088256836,4.649311542510986,4.4274210929870605,1.6071072816848755,9.101572036743164,4.626480579376221,-1.0185940265655518,4.506503582000732,1.5055532455444336,-1.4004851579666138
0,0,0,12,10.026230812072754,4.9419097900390625,5.98395299911499,2.3288092613220215,9.895469665527344,4.900794506072998,-1.2354754209518433,6.064005374908447,2.189410448074341,-1.4850552082061768
0,0,0,13,11.02897834777832,5.376287937164307,7.32819938659668,3.4866907596588135,10.911026954650879,5.303518295288086,-1.466838002204895,7.458785533905029,3.2053539752960205,-1.5944006443023682
0,0,0,14,12.254161834716797,6.008883953094482,8.948500633239746,4.976975440979004,12.1604585647583,5.894883632659912,-1.4217123985290527,9.153141021728516,4.7088847160339355,-1.7775870561599731
0,0,1,0,7.385840892791748,4.156671524047852,0.0027137447614222765,0.04389065131545067,7.389366149902344,4.266685962677002,-0.006915390957146883,0.048644524067640305,0.044604405760765076,-0.08875375986099243
0,0,1,1,7.387421131134033,4.16657018661499,0.020746519789099693,0.0871543288230896,7.393409729003906,4.27670955657959,-0.021640073508024216,0.009903902187943459,0.0877290740609169,-0.10601790994405746
0,0,1,2,7.393558979034424,4.170650482177734,0.06210790574550629,-0.01593058556318283,7.387637615203857,4.279842376708984,-0.029618149623274803,-0.08214084804058075,-0.043816886842250824,-0.006269694771617651
0,0,1,3,7.406419277191162,4.165078163146973,0.1073158010840416,-6.113032577559352e-05,7.368372917175293,4.272825717926025,-0.034111231565475464,-0.17101795971393585,-0.05535534769296646,-0.059956781566143036
0,0,1,4,7.42706823348999,4.15782356262207,0.16914041340351105,-0.07246238738298416,7.345319747924805,4.261144161224365,-0.04854131489992142,-0.1337655484676361,-0.10124282538890839,-0.14188559353351593
0,0,1,5,7.458514213562012,4.155132293701172,0.2535998523235321,0.07366098463535309,7.34181022644043,4.254477500915527,-0.08719135075807571,0.08965657651424408,0.0067173149436712265,-0.3710448741912842
0,0,1,6,7.5084547996521,4.169506072998047,0.42599570751190186,0.12081775069236755,7.365176677703857,4.256503582000732,-0.16435609757900238,0.2363428920507431,0.021586740389466286,-0.6552660465240479
0,0,1,7,7.594028472900391,4.192263126373291,0.735112726688385,0.16873279213905334,7.430312633514404,4.260336875915527,-0.2725987732410431,0.6465659141540527,0.03825937211513519,-0.7905734181404114
0,0,1,8,7.736526012420654,4.229518413543701,1.175561785697937,0.3529205322265625,7.560648441314697,4.271875858306885,-0.4155421555042267,1.111936330795288,0.1223825216293335,-1.1042933464050293
0,0,1,9,7.962236404418945,4.294017791748047,1.8513704538345337,0.541419267654419,7.7876458168029785,4.30891752243042,-0.5931556820869446,1.9278571605682373,0.38635069131851196,-1.2541954517364502
0,0,1,10,8.301199913024902,4.408998966217041,2.6783809661865234,1.0050028562545776,8.140312194824219,4.402946472167969,-0.7894547581672668,2.7824881076812744,0.8816447257995605,-1.3557764291763306
0,0,1,11,8.787212371826172,4.599571704864502,3.798602342605591,1.5642369985580444,8.638480186462402,4.5709004402160645,-1.0029126405715942,3.8646347522735596,1.3819313049316406,-1.4821466207504272
0,0,1,12,9.468050956726074,4.8873090744018555,5.268103122711182,2.3074307441711426,9.332870483398438,4.833270072937012,-1.2365195751190186,5.378863334655762,2.153940439224243,-1.6261886358261108
