n_episode,n_iteration,n_sample,n_horizon,xo,yo,vxo,vyo,xg,yg,thetag,vxg,vyg,omegag
0,1,0,1,1.0220011472702026,4.707890033721924,-0.006798723246902227,-0.028319964185357094,0.9433319568634033,5.117611885070801,-0.0034333516377955675,-0.2655365765094757,-0.034936338663101196,-0.07639387249946594
0,1,0,2,1.0219351053237915,4.698352336883545,0.009738832712173462,-0.0964135155081749,0.9101009368896484,5.106142044067383,-0.0204482339322567,-0.17569056153297424,-0.11554930359125137,-0.15148933231830597
0,1,0,3,1.026087999343872,4.698146343231201,0.050381895154714584,0.07530421763658524,0.9065610766410828,5.102690696716309,-0.04605073854327202,0.1255684494972229,0.0671166405081749,-0.18936321139335632
0,1,0,4,1.039166808128357,4.722985744476318,0.1277918964624405,0.2540101110935211,0.9305676221847534,5.12519645690918,-0.07528863102197647,0.1988997906446457,0.22855986654758453,-0.19792276620864868
0,1,0,5,1.0688961744308472,4.750288009643555,0.26956602931022644,0.14925220608711243,0.9672198295593262,5.151027679443359,-0.10683953016996384,0.2957627475261688,0.11593557894229889,-0.21870103478431702
0,1,0,6,1.125616192817688,4.748859405517578,0.4877411425113678,-0.1305890530347824,1.0177778005599976,5.147345066070557,-0.14638791978359222,0.3876888155937195,-0.15962396562099457,-0.30439046025276184
0,1,0,7,1.2155005931854248,4.740448951721191,0.7149349451065063,0.01678045094013214,1.0897510051727295,5.133353233337402,-0.19851665198802948,0.5783517360687256,-0.02895219810307026,-0.3882029950618744
0,1,0,8,1.3463349342346191,4.748342037200928,1.0324898958206177,0.09028542041778564,1.1959649324417114,5.1324381828308105,-0.2633262872695923,0.8460534811019897,0.018284602090716362,-0.47400403022766113
0,1,0,9,1.5317420959472656,4.769486904144287,1.4486236572265625,0.19408053159713745,1.3557276725769043,5.142062664031982,-0.34102344512939453,1.2892885208129883,0.11314332485198975,-0.558701753616333
0,1,0,10,1.7931582927703857,4.797224044799805,2.0435454845428467,0.18021564185619354,1.6059852838516235,5.162472248077393,-0.4263796806335449,2.046377658843994,0.16864590346813202,-0.5763001441955566
0,1,0,11,2.1501290798187256,4.83434534072876,2.7270498275756836,0.2990812063217163,1.9703093767166138,5.20049524307251,-0.5089977383613586,2.806870937347412,0.3460599184036255,-0.5219863653182983
0,1,0,12,2.6104397773742676,4.905697345733643,3.3724985122680664,0.7061764001846313,2.441110849380493,5.284939765930176,-0.5875648260116577,3.469183921813965,0.7710580229759216,-0.522197425365448
0,1,0,13,3.1730763912200928,5.044015884399414,4.085575103759766,1.1849868297576904,3.0075418949127197,5.434849262237549,-0.6637883186340332,4.082866191864014,1.2180025577545166,-0.49356913566589355
0,1,0,14,3.859605312347412,5.245050430297852,5.036819934844971,1.5177522897720337,3.689464569091797,5.642561435699463,-0.7278333902359009,4.997951030731201,1.5499393939971924,-0.36236655712127686
0,2,0,0,1.0216039419174194,4.740987300872803,-0.011959007941186428,0.08085741847753525,0.9468269348144531,5.1487627029418945,0.0004336874117143452,-0.3209155797958374,0.06077452003955841,-0.07804539799690247
0,2,0,1,1.0202702283859253,4.753485679626465,-0.001991699216887355,0.08630397915840149,0.9007189273834229,5.160290718078613,-0.01636848971247673,-0.2907298505306244,0.09208143502473831,-0.14842846989631653
0,2,0,2,1.022510051727295,4.777849197387695,0.03728019818663597,0.21770139038562775,0.8757028579711914,5.180934906005859,-0.04851275309920311,-0.0423431470990181,0.18369430303573608,-0.2791654169559479
0,2,0,3,1.0344187021255493,4.821643352508545,0.13014023005962372,0.35931533575057983,0.8815955519676208,5.218728542327881,-0.09651189297437668,0.12680655717849731,0.31820595264434814,-0.3574807643890381
0,2,0,4,1.067034363746643,4.874719619750977,0.3137757182121277,0.3462158441543579,0.9139295220375061,5.26593542098999,-0.15162086486816406,0.3126499652862549,0.3134787082672119,-0.3745761215686798
0,2,0,5,1.1333657503128052,4.927638530731201,0.58111572265625,0.34087634086608887,0.9796473383903503,5.313519477844238,-0.2081105262041092,0.5697854161262512,0.3251880407333374,-0.37688136100769043
0,2,0,6,1.2425262928009033,4.997251987457275,0.8828238248825073,0.5692073106765747,1.0894138813018799,5.379858016967773,-0.2716715335845947,0.8973795771598816,0.5578209161758423,-0.466028094291687
0,2,0,7,1.4073442220687866,5.0891852378845215,1.3169760704040527,0.6642443537712097,1.2525075674057007,5.468355178833008,-0.34356406331062317,1.2835168838500977,0.6244077086448669,-0.4889376759529114
0,2,0,8,1.6487176418304443,5.188183307647705,1.892788052558899,0.6906057000160217,1.4877268075942993,5.564318656921387,-0.42122501134872437,1.8565174341201782,0.6587463021278381,-0.5420033931732178
0,2,0,9,1.9863840341567993,5.292980670928955,2.5897278785705566,0.7542760372161865,1.8218847513198853,5.66983699798584,-0.5034188628196716,2.5991344451904297,0.751772403717041,-0.550443172454834
0,2,0,10,2.4385128021240234,5.410398006439209,3.424074172973633,0.8367260694503784,2.275294065475464,5.793121337890625,-0.5798251032829285,3.4407899379730225,0.8970105648040771,-0.46655699610710144
0,2,0,11,3.0114524364471436,5.562837600708008,4.205897808074951,1.192563533782959,2.8554117679595947,5.957971096038818,-0.6414930820465088,4.281702041625977,1.298641562461853,-0.354714959859848
0,2,0,12,3.7119805812835693,5.76516056060791,5.134079933166504,1.4851258993148804,3.568315029144287,6.175089359283447,-0.6918922066688538,5.206328392028809,1.597713828086853,-0.3123783469200134
0,2,0,13,4.554218292236328,6.016427040100098,6.065892696380615,1.8727257251739502,4.417302131652832,6.442143440246582,-0.7262784242630005,6.096256256103516,1.9568809270858765,-0.1484079360961914
0,2,0,14,5.5327911376953125,6.334297180175781,6.962061405181885,2.3506414890289307,5.400630950927734,6.7683610916137695,-0.7384889125823975,6.991786003112793,2.383063316345215,-0.016194818541407585
0,3,0,0,1.0193742513656616,4.809388160705566,-0.014166606590151787,0.600304126739502,0.905385434627533,5.216821670532227,-0.005385375116020441,-0.34584322571754456,0.5842721462249756,-0.10918111354112625
0,3,0,1,1.0183557271957397,4.914314270019531,0.004596301820129156,0.8022095561027527,0.8723771572113037,5.319982051849365,-0.02719138190150261,-0.09661728143692017,0.7855985164642334,-0.18151482939720154
0,3,0,2,1.0222315788269043,5.055513381958008,0.052773136645555496,1.0675309896469116,0.8735453486442566,5.457545280456543,-0.057846054434776306,0.11247725039720535,1.0430678129196167,-0.22542352974414825
0,3,0,3,1.0384066104888916,5.209383487701416,0.1699945479631424,0.9730492234230042,0.892016589641571,5.606895923614502,-0.0940672978758812,0.14229890704154968,0.9524110555648804,-0.25546130537986755
0,3,0,4,1.0770186185836792,5.346347332000732,0.35220447182655334,0.8545620441436768,0.9220312833786011,5.738514423370361,-0.1400124430656433,0.26672449707984924,0.8077964782714844,-0.353375643491745
0,3,0,5,1.1474665403366089,5.4769697189331055,0.5951763987541199,0.8888735771179199,0.9761677980422974,5.860360622406006,-0.2022339254617691,0.4646778702735901,0.8185515403747559,-0.47203338146209717
0,3,0,6,1.263007402420044,5.609244346618652,0.9567015767097473,0.874045193195343,1.0761796236038208,5.981816291809082,-0.2819865643978119,0.8768373131752014,0.8072414398193359,-0.5866392254829407
0,3,0,7,1.4397050142288208,5.750738620758057,1.4116120338439941,1.0058618783950806,1.2399710416793823,6.112226486206055,-0.3775976002216339,1.3158296346664429,0.936001181602478,-0.6833094954490662
0,3,0,8,1.6986933946609497,5.90649938583374,2.052933931350708,1.0703105926513672,1.5039386749267578,6.264991283416748,-0.4795054793357849,2.2006490230560303,1.1119810342788696,-0.6705193519592285
0,3,0,9,2.0702452659606934,6.066944122314453,2.8977415561676025,1.0922961235046387,1.907896876335144,6.4469075202941895,-0.5784749984741211,3.1794843673706055,1.322880744934082,-0.6393336057662964
0,3,0,10,2.5658421516418457,6.256468296051025,3.6943490505218506,1.45488703250885,2.4416325092315674,6.677919864654541,-0.669730544090271,3.9329850673675537,1.7549595832824707,-0.569862425327301
0,3,0,11,3.1963260173797607,6.496446132659912,4.67091178894043,1.7823864221572876,3.106231451034546,6.970504283905029,-0.7441225051879883,4.917329788208008,2.1441662311553955,-0.4195590019226074
0,3,0,12,3.9730076789855957,6.797479629516602,5.653298854827881,2.239405870437622,3.916645050048828,7.323601245880127,-0.7911707758903503,5.871306419372559,2.558546304702759,-0.2072814553976059
0,3,0,13,4.893637180328369,7.176149368286133,6.601609706878662,2.794123649597168,4.876120090484619,7.749324798583984,-0.8097665309906006,6.895841598510742,3.1061060428619385,-0.037471380084753036
0,3,0,14,5.96217679977417,7.633821964263916,7.592268466949463,3.31302547454834,5.999678611755371,8.2528715133667,-0.7924506664276123,8.052391052246094,3.5890469551086426,0.2610250413417816
0,4,0,0,1.0181204080581665,4.876727104187012,0.0016731208888813853,0.6320597529411316,0.8913825750350952,5.28394079208374,-0.022426795214414597,-0.10719745606184006,0.6144645810127258,-0.13745388388633728
0,4,0,1,1.0212091207504272,4.9852190017700195,0.04278643801808357,0.8084545731544495,0.8810837268829346,5.388590335845947,-0.050712596625089645,-0.026090621948242188,0.7768687009811401,-0.23754480481147766
0,4,0,2,1.0341545343399048,5.10731315612793,0.13894614577293396,0.8109051585197449,0.8707849979400635,5.503774642944336,-0.0907001867890358,-0.0995083674788475,0.7598263025283813,-0.295072078704834
0,4,0,3,1.0667140483856201,5.232950687408447,0.30336451530456543,0.8633015155792236,0.862951397895813,5.6175642013549805,-0.1448073834180832,0.005342151038348675,0.7584497332572937,-0.42493361234664917
0,4,0,4,1.1263525485992432,5.391845703125,0.502206027507782,1.2343723773956299,0.8695918917655945,5.754238605499268,-0.21878699958324432,0.09484872221946716,1.0579676628112793,-0.5608778595924377
0,4,0,5,1.226606845855713,5.591651439666748,0.8506016731262207,1.409988522529602,0.906411349773407,5.918318271636963,-0.3128948211669922,0.40859454870224,1.134577989578247,-0.6953099370002747
0,4,0,6,1.386256456375122,5.828274250030518,1.29512357711792,1.7272565364837646,0.9996456503868103,6.101223945617676,-0.43071356415748596,0.8470102548599243,1.3096623420715332,-0.8756989240646362
0,4,0,7,1.6313514709472656,6.101761341094971,1.9887577295303345,1.9130213260650635,1.1981414556503296,6.308932781219482,-0.5763725638389587,1.804057240486145,1.4800281524658203,-1.0654176473617554
0,4,0,8,1.995065689086914,6.4123759269714355,2.8747520446777344,2.2361268997192383,1.5461355447769165,6.555987358093262,-0.74462890625,2.8377814292907715,1.833985686302185,-1.1742918491363525
0,5,0,0,1.021389365196228,5.000236511230469,0.045298513025045395,0.9167007207870483,0.8848623633384705,5.403050899505615,-0.057440001517534256,-0.009476855397224426,0.8899074196815491,-0.208859384059906
0,5,0,1,1.0358346700668335,5.135741233825684,0.15306806564331055,0.8910753726959229,0.891767144203186,5.534326076507568,-0.09058268368244171,0.10653583705425262,0.8618707656860352,-0.2316475659608841
0,5,0,2,1.071435809135437,5.260504245758057,0.3278312087059021,0.7743936777114868,0.9320247173309326,5.655580520629883,-0.13188865780830383,0.4319598078727722,0.7601637840270996,-0.31440410017967224
0,5,0,3,1.1360865831375122,5.386472225189209,0.5378664135932922,0.9196221828460693,1.0116997957229614,5.778970718383789,-0.18685796856880188,0.6372573375701904,0.8818809986114502,-0.41147148609161377
0,5,0,4,1.2406494617462158,5.523740768432617,0.8564081788063049,0.9524297118186951,1.1353009939193726,5.9179534912109375,-0.2541576325893402,1.0164422988891602,0.9691388010978699,-0.47778621315956116
0,5,0,5,1.4002399444580078,5.670201301574707,1.2694514989852905,1.0339003801345825,1.3079748153686523,6.07036828994751,-0.3278387784957886,1.295815348625183,1.0608717203140259,-0.4989275634288788
0,5,0,6,1.6320221424102783,5.825862407684326,1.8093180656433105,1.0866491794586182,1.5463860034942627,6.233742713928223,-0.40391218662261963,1.8859813213348389,1.1193444728851318,-0.5114406943321228
0,5,0,7,1.9558156728744507,5.9866790771484375,2.4681458473205566,1.1444565057754517,1.885645866394043,6.41047477722168,-0.47084489464759827,2.6356003284454346,1.2341694831848145,-0.3829652667045593
0,5,0,8,2.3773694038391113,6.174988746643066,3.123950242996216,1.4058055877685547,2.329521656036377,6.620914936065674,-0.5244832634925842,3.277278184890747,1.5641982555389404,-0.3310715854167938
0,5,0,9,2.906285047531128,6.398690700531006,3.9326179027557373,1.5493699312210083,2.8730695247650146,6.862290859222412,-0.5676582455635071,3.9593236446380615,1.6593756675720215,-0.23947052657604218
