n_episode,n_iteration,n_sample,n_horizon,xo,yo,thetao,vxo,vyo,omegao,xg,yg,thetag,vxg,vyg,omegag,shortest_distance,S_stick,S_engage
0,0,0,0,5.245803356170654,6.483570098876953,0.309131383895874,-1.6232921495884511e-07,-1.7172726074932143e-05,2.6944117053062655e-05,4.6866655349731445,5.708585262298584,0.00032212675432674587,0.061509717255830765,-0.14223162829875946,0.015674268826842308,0.30507373809814453,0.0,0.0
0,0,0,1,5.245803356170654,6.4835662841796875,0.3091367781162262,-1.6216459641782421e-07,-1.7173071682918817e-05,2.6944424462271854e-05,4.705761432647705,5.6837310791015625,-0.0012628057738766074,0.11753277480602264,-0.11286631226539612,-0.053858235478401184,0.32800164818763733,0.0,0.0
0,0,0,2,5.245803356170654,6.483562469482422,0.30914217233657837,-1.619909824057686e-07,-1.7173446394735947e-05,2.6944731871481054e-05,4.757587432861328,5.632182598114014,-0.0010827184887602925,0.39565509557724,-0.3937792479991913,0.032224901020526886,0.3789190649986267,0.0,0.0
0,0,0,3,5.245803356170654,6.483558654785156,0.30914756655693054,-1.6181738260456768e-07,-1.7173821106553078e-05,2.694503746170085e-05,4.793994426727295,5.567981243133545,-0.0068629528395831585,-0.005330758634954691,-0.23818156123161316,-0.04817547649145126,0.4456949532032013,0.0,0.0
0,0,0,4,5.245803356170654,6.483554840087891,0.3091529607772827,-1.6164375438165735e-07,-1.717419763735961e-05,2.694534487091005e-05,4.782303333282471,5.558821678161621,-0.01208522915840149,-0.08562478423118591,0.0788574069738388,-0.01046454906463623,0.45386406779289246,0.0,0.0
0,0,0,5,5.245803356170654,6.483551025390625,0.3091583549976349,-1.61470126158747e-07,-1.7174572349176742e-05,2.6945652280119248e-05,4.778674602508545,5.563504219055176,-0.010976284742355347,3.114854553132318e-05,3.705852941493504e-05,6.1894825194031e-05,0.44890937209129333,0.0,0.0
0,0,0,6,5.245803356170654,6.483547210693359,0.30916374921798706,-1.6129649793583667e-07,-1.7174947060993873e-05,2.6945959689328447e-05,4.780032634735107,5.557121276855469,-0.009619828313589096,0.014630131423473358,-0.0640394389629364,-0.009396105073392391,0.4553186595439911,0.0,0.0
0,0,0,7,5.245803356170654,6.483543395996094,0.30916914343833923,-1.6112285550207162e-07,-1.7175321772811003e-05,2.6946267098537646e-05,4.781604290008545,5.554753303527832,-0.014084386639297009,6.123293860582635e-05,-0.0003293330082669854,1.1077587259933352e-05,0.45783862471580505,0.0,0.0
0,0,0,8,5.245803356170654,6.483539581298828,0.3091745376586914,-1.6094921306830656e-07,-1.7175696484628133e-05,2.6946572688757442e-05,4.7862548828125,5.563605308532715,-0.01049897912889719,0.05065327510237694,0.0859714150428772,0.06449367105960846,0.4493984282016754,0.0,0.0
0,0,0,9,5.245803356170654,6.4835357666015625,0.3091799318790436,-1.607755564236868e-07,-1.7176071196445264e-05,2.694688009796664e-05,4.776976108551025,5.572324752807617,-0.007504327222704887,-0.1014074981212616,0.028751181438565254,0.01898125372827053,0.43986448645591736,0.0,0.0
0,0,0,10,5.245803356170654,6.483531951904297,0.30918532609939575,-1.606018855682123e-07,-1.7176445908262394e-05,2.694718750717584e-05,4.790950298309326,5.574860095977783,-0.009186769835650921,0.18436475098133087,0.013647787272930145,-0.015400972217321396,0.43859490752220154,0.0,0.0
0,0,0,11,5.245803356170654,6.483528137207031,0.3091907203197479,-1.6042821471273783e-07,-1.7176820620079525e-05,2.694749491638504e-05,4.805471420288086,5.589532852172852,-0.009397401474416256,0.0015265095280483365,0.09694842249155045,0.021196404471993446,0.4257644712924957,0.0,0.0
