n_episode,n_iteration,xo,yo,thetao,vxo,vyo,omegao,xg,yg,thetag,vxg,vyg,omegag
0,0,5.245803356170654,6.483573913574219,0.30912598967552185,0.0,0.0,0.0,4.680609703063965,5.716385364532471,0.0,0.0,0.1297949105501175,0.0
0,1,5.245803356170654,6.4835734367370605,0.30912673473358154,-1.387502468475077e-08,-2.42106716541457e-06,3.7561633234872716e-06,4.679339408874512,5.715904235839844,-0.0017735579749569297,-0.013539066538214684,-0.05821260064840317,-0.023321740329265594
0,2,5.245803356170654,6.483572959899902,0.30912747979164124,-1.3875120608020097e-08,-2.4210644369304646e-06,3.7561703720712103e-06,4.719295501708984,5.750234127044678,0.0067768944427371025,0.4102252423763275,0.3644484877586365,0.10194098204374313
0,3,5.245803356170654,6.483572483062744,0.3091282248497009,-1.3871773951734667e-08,-2.421072395009105e-06,3.756177420655149e-06,4.807423114776611,5.791899681091309,0.031361110508441925,0.46121150255203247,0.07055506110191345,0.16382256150245667
0,4,5.245803356170654,6.483572006225586,0.3091289699077606,-1.386841752548662e-08,-2.42108012571407e-06,3.7561844692390878e-06,4.836798667907715,5.7427449226379395,0.08126024156808853,-0.11191807687282562,-0.5148982405662537,0.37225762009620667
0,5,5.245803356170654,6.483571529388428,0.3091297149658203,-1.3865064651952252e-08,-2.4210880837927107e-06,3.7561915178230265e-06,4.891786098480225,5.735157012939453,0.1480051726102829,0.6159632802009583,0.36165592074394226,0.3207797706127167
0,6,5.245803356170654,6.4835710525512695,0.30913046002388,-1.3861709113882625e-08,-2.421096041871351e-06,3.7561985664069653e-06,4.969408988952637,5.917109489440918,0.21843065321445465,0.18574197590351105,1.4211841821670532,0.3182492256164551
0,7,5.2406463623046875,6.507129192352295,0.258528470993042,-0.09083650261163712,0.4205527603626251,-0.840589702129364,5.06525993347168,6.150887966156006,0.3027009069919586,0.7579652667045593,0.8804602026939392,0.6032231450080872
0,8,5.217887878417969,6.643060684204102,0.0613449327647686,-0.11821725964546204,0.8876245617866516,-1.0249519348144531,5.147651195526123,6.338235855102539,0.44163569808006287,0.08119819313287735,0.993192195892334,0.7466293573379517
0,9,5.198067665100098,6.8420090675354,-0.13360825181007385,-0.0837443396449089,1.0571961402893066,-0.9407950639724731,5.104700565338135,6.551851272583008,0.5808097720146179,-0.4733513593673706,1.1545556783676147,0.5968759655952454
0,10,5.1849446296691895,7.037387847900391,-0.30667752027511597,-0.0461512915790081,0.8989631533622742,-0.7936856150627136,5.083828926086426,6.665874481201172,0.7182409167289734,0.21704597771167755,0.017600204795598984,0.6743735671043396
0,11,5.17971134185791,7.200848579406738,-0.44869863986968994,-0.008880974724888802,0.7388714551925659,-0.6265458464622498,5.1836066246032715,6.70671272277832,0.8298864364624023,0.7702056765556335,0.37395283579826355,0.44871214032173157
0,12,5.180542945861816,7.332153797149658,-0.5565417408943176,0.01426692958921194,0.5771079063415527,-0.4576890766620636,5.248795986175537,6.816332817077637,0.9047693610191345,-0.07220159471035004,0.6962369680404663,0.33112019300460815
0,13,5.184594631195068,7.430819034576416,-0.6324287056922913,0.024045687168836594,0.41249552369117737,-0.30796119570732117,5.187029838562012,6.956773281097412,0.9674542546272278,-0.5229874849319458,0.7121109962463379,0.27340391278266907
0,14,5.211959362030029,7.531799793243408,-0.6351122260093689,0.5526013374328613,1.1014726161956787,0.8602540493011475,5.123227119445801,7.2254767417907715,0.9959222674369812,-0.2159932255744934,1.8158758878707886,-0.27394741773605347
0,15,5.338368892669678,7.789754867553711,-0.4587883949279785,0.6668218970298767,1.425589919090271,0.7923471331596375,5.132431983947754,7.556971073150635,0.9365092515945435,0.29527172446250916,1.5153095722198486,-0.27000850439071655
0,16,5.488523960113525,8.14620590209961,-0.39257869124412537,0.8115006685256958,2.093992233276367,-0.1720140427350998,5.195169448852539,7.943011283874512,0.86711585521698,0.3371919095516205,2.3328816890716553,-0.43812915682792664
0,17,5.639119625091553,8.552178382873535,-0.42592427134513855,0.6980371475219727,1.9673140048980713,-0.16177065670490265,5.306256294250488,8.300578117370605,0.7790772914886475,0.7530837059020996,1.267579197883606,-0.4591502845287323
0,18,5.840012073516846,8.800616264343262,0.0010104752145707607,1.075243592262268,-0.01270129531621933,-0.021036280319094658,5.553469657897949,8.50069808959961,0.6426256895065308,1.6109554767608643,-0.013593336567282677,0.41689532995224
1,0,5.8018012046813965,5.226411819458008,-0.03239081799983978,0.0,0.0,0.0,5.217537879943848,4.334776878356934,0.0,0.0,0.18326906859874725,0.0
1,1,5.8018012046813965,5.226411819458008,-0.032390493899583817,-3.3787009101615695e-07,-4.1263612615694e-07,1.6196611341001699e-06,5.224252223968506,4.32721471786499,-0.010726634413003922,0.06915945559740067,-0.179761603474617,-0.14313027262687683
1,2,5.8018012046813965,5.226411819458008,-0.03239016979932785,-3.3787009101615695e-07,-4.1263487560172507e-07,1.6196618162211962e-06,5.244773864746094,4.309729099273682,-0.030544118955731392,0.11847825348377228,-0.018973413854837418,-0.04187498614192009
1,3,5.8018012046813965,5.226411819458008,-0.032389845699071884,-3.378701478595758e-07,-4.1263459138463077e-07,1.6196623846553848e-06,5.346227169036865,4.410292625427246,-0.02360420674085617,0.8869339823722839,0.9900364279747009,0.06639058887958527
1,4,5.8018012046813965,5.226411819458008,-0.03238952159881592,-3.3787020470299467e-07,-4.126343640109553e-07,1.6196629530895734e-06,5.530910015106201,4.611559867858887,0.0037813205271959305,0.9577777981758118,1.0197389125823975,0.19649387896060944
1,5,5.8018012046813965,5.226411819458008,-0.03238919749855995,-3.378702331247041e-07,-4.1263402295044216e-07,1.619663521523762e-06,5.598382472991943,4.87158727645874,0.034456945955753326,-0.2305072396993637,1.5578868389129639,0.13443104922771454
1,6,5.816836357116699,5.35825777053833,-0.1933630108833313,0.0923798456788063,0.7926145792007446,-0.8868716955184937,5.701676368713379,5.046285152435303,0.10668523609638214,1.2126317024230957,0.35589390993118286,0.40151965618133545
1,7,5.831006050109863,5.503004550933838,-0.3430445194244385,0.05168532952666283,0.6527968645095825,-0.6419227123260498,5.905588626861572,5.046098232269287,0.2208060771226883,0.8325675129890442,-0.31930720806121826,0.7300273180007935
1,8,5.839180946350098,5.617201328277588,-0.4569109380245209,0.035832665860652924,0.49114125967025757,-0.5039302706718445,5.975298881530762,4.994136333465576,0.35728201270103455,-0.08721981197595596,-0.18042711913585663,0.5812491178512573
1,9,5.846447467803955,5.698905944824219,-0.5426312685012817,0.03689903765916824,0.3297900855541229,-0.3534798324108124,5.887239933013916,4.842094898223877,0.44433748722076416,-0.775320291519165,-1.3158271312713623,0.3263707458972931
1,10,5.85341739654541,5.748544692993164,-0.5977315306663513,0.030939463526010513,0.17011357843875885,-0.2021997570991516,5.683701038360596,4.487507343292236,0.49576330184936523,-1.2452845573425293,-2.211909294128418,0.23388831317424774
1,11,5.857666969299316,5.766792297363281,-0.6225704550743103,0.0064435843378305435,0.020765462890267372,-0.03433559089899063,5.428554534912109,3.9675309658050537,0.5307478308677673,-1.3040544986724854,-2.9695382118225098,0.14323316514492035
1,12,5.857755661010742,5.767077445983887,-0.6230387687683105,1.7383678141413839e-06,3.972489594161743e-06,2.8520187242975226e-06,5.277618408203125,3.435105323791504,0.577711284160614,-0.23667781054973602,-2.3615777492523193,0.34396180510520935
1,13,5.8577561378479,5.767078399658203,-0.6230381727218628,1.7282508224525372e-06,3.958406978199491e-06,2.8520089472294785e-06,5.120232105255127,2.9644148349761963,0.6346263289451599,-1.3025188446044922,-2.348156213760376,0.251618355512619
1,14,5.857756614685059,5.7670793533325195,-0.623037576675415,1.7282467297263793e-06,3.958404249715386e-06,2.8520064461190486e-06,4.779476165771484,2.4545373916625977,0.680931806564331,-2.082235336303711,-2.7442221641540527,0.24325846135616302
1,15,5.857757091522217,5.767080307006836,-0.6230369806289673,1.7282426370002213e-06,3.9584019759786315e-06,2.8520039450086188e-06,4.3262939453125,1.96176278591156,0.7449537515640259,-2.4387919902801514,-2.1949026584625244,0.40110278129577637
1,16,5.857757568359375,5.767081260681152,-0.6230363845825195,1.7282384305872256e-06,3.958399247494526e-06,2.8520012165245134e-06,3.6924166679382324,1.566431999206543,0.8239271640777588,-3.8660199642181396,-1.770087718963623,0.3681553900241852
1,17,5.857758045196533,5.767082214355469,-0.6230357885360718,1.7282342241742299e-06,3.958396519010421e-06,2.8519987154140836e-06,2.859873056411743,1.2061768770217896,0.9212920069694519,-4.447357654571533,-1.8256887197494507,0.5732492804527283
1,18,5.857758522033691,5.767083168029785,-0.623035192489624,1.7282300177612342e-06,3.9583937905263156e-06,2.8519962143036537e-06,1.9627227783203125,0.9636600017547607,1.0456244945526123,-4.52008581161499,-0.6254571080207825,0.6429222822189331
1,19,5.85775899887085,5.767084121704102,-0.6230345964431763,1.7282259250350762e-06,3.95839106204221e-06,2.8519934858195484e-06,0.9045403599739075,0.8443431258201599,1.1802798509597778,-6.028013706207275,-0.5672566294670105,0.6830394864082336
1,20,5.857759475708008,5.767085075378418,-0.6230340003967285,1.7282217186220805e-06,3.958388333558105e-06,2.8519909847091185e-06,-0.3828287124633789,0.6519351005554199,1.3157343864440918,-6.827345371246338,-1.3354120254516602,0.6526622176170349
1,21,5.857759952545166,5.767086029052734,-0.6230334043502808,1.7282175122090848e-06,3.958385605074e-06,2.8519884835986886e-06,-1.7384769916534424,0.25778400897979736,1.439367651939392,-6.731679916381836,-2.570509672164917,0.5611283779144287
1,22,5.857760429382324,5.767086982727051,-0.623032808303833,1.7282133057960891e-06,3.958383331337245e-06,2.8519857551145833e-06,-3.0264413356781006,-0.31773388385772705,1.5704452991485596,-6.155120372772217,-3.175445079803467,0.7172066569328308
1,23,5.857760906219482,5.767087936401367,-0.6230322122573853,1.7282090993830934e-06,3.95838060285314e-06,2.8519832540041534e-06,-4.18535041809082,-0.9990929961204529,1.708131194114685,-5.443575382232666,-3.6307802200317383,0.638858437538147
1,24,5.857761383056641,5.767088890075684,-0.6230316162109375,1.7282048929700977e-06,3.9583778743690345e-06,2.8519807528937235e-06,-5.197563648223877,-1.7194510698318481,1.832680106163025,-4.6907830238342285,-3.574019193649292,0.6195574402809143
1,25,5.857761859893799,5.76708984375,-0.6230310201644897,1.7282008002439397e-06,3.958375145884929e-06,2.8519782517832937e-06,-6.075302600860596,-2.4719533920288086,1.964180588722229,-4.0972185134887695,-3.9415273666381836,0.6979853510856628
