data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,500,10000,inf,0.0,0.06940249514461216
0,0,500,10000,inf,0.0,0.0
0,0,500,10000,inf,0.0043130814631007095,0.1680022979537893
0,0,500,10000,inf,0.0,0.0
0,0,500,10000,inf,0.0006420446896195169,0.026363564558701147
0,0,500,10000,inf,0.813040100554541,0.010869859171095397
0,0,500,10000,inf,0.017730671631725713,0.9941030382437498
0,0,500,10000,inf,0.6734937727181362,0.9170308508135999
0,0,500,10000,inf,0.02114148164202187,0.03526688705502157
0,0,500,10000,inf,0.7457694897988979,0.7774070234474897
1,0,500,10000,inf,0.0,0.0
1,0,500,10000,inf,0.8799977128806693,0.0
1,0,500,10000,inf,0.0,0.9864704550071779
1,0,500,10000,inf,0.6664291031671529,0.06492626341641394
1,0,500,10000,0.0001,0.0,0.21957125190840754
1,0,500,10000,inf,0.9399875107074114,0.0
1,0,500,10000,inf,1.0,0.0
1,0,500,10000,inf,0.9995620716951874,0.0
1,0,500,10000,inf,0.9467520920712653,0.8890361402104006
1,0,500,10000,inf,1.0,0.0
2,0,500,10000,0.0001,0.0,0.0
2,0,500,10000,inf,0.0,0.0
2,0,500,10000,inf,0.007364281613133847,0.8662168297378491
2,0,500,10000,7.942669395775165,0.0,0.3621386375963459
2,0,500,10000,11.207007109830888,0.7889715907314391,0.015748110511104585
2,0,500,10000,inf,0.9951734942278494,0.0
2,0,500,10000,inf,0.6381002404899753,0.0
2,0,500,10000,inf,0.5886342266036356,0.9965281791285752
2,0,500,10000,inf,0.07368522956851258,0.0
2,0,500,10000,inf,0.47435153486011056,0.07214154031893938
3,0,500,10000,inf,0.8286619762937453,0.6012494439046232
3,0,500,10000,inf,0.0,0.0
3,0,500,10000,inf,0.9401292554486692,0.0
3,0,500,10000,5.447586677093523,0.0,0.02654635986187992
3,0,500,10000,inf,0.28544933424194435,0.0
3,0,500,10000,inf,0.9357624759915808,0.0
3,0,500,10000,inf,0.7374215332999184,0.3256550809252965
3,0,500,10000,inf,1.0,0.0
3,0,500,10000,inf,0.7344543754848311,0.0
3,0,500,10000,inf,0.08065172094183438,0.22379505922766807
4,0,500,10000,inf,6.996633528658646e-05,0.0
4,0,500,10000,inf,0.09177749196215974,0.5955154463226549
4,0,500,10000,10.761605948294578,0.0,0.0
4,0,500,10000,inf,0.6891407116128228,0.0
4,0,500,10000,inf,0.0,0.0
4,0,500,10000,inf,0.0,0.06682715569886166
4,0,500,10000,inf,0.8443075561649437,0.0
4,0,500,10000,inf,0.0,0.0
4,0,500,10000,inf,0.0,0.0
4,0,500,10000,inf,0.621272089170566,1.0
5,0,500,10000,inf,0.8905214771179897,0.0
5,0,500,10000,inf,0.5350313912521355,0.0
5,0,500,10000,inf,0.5351409715113904,0.0
5,0,500,10000,inf,0.1295365284601847,0.017464257300006225
5,0,500,10000,inf,0.3420422736325116,0.36282966797744975
5,0,500,10000,inf,0.02485896187720313,0.0
5,0,500,10000,inf,0.018967279868550218,0.0
5,0,500,10000,inf,1.0,1.0
5,0,500,10000,inf,1.0,1.0
5,0,500,10000,inf,0.004535294503708012,0.004535271827235565
6,0,500,10000,inf,0.9904986083342602,0.0
6,0,500,10000,inf,0.040911698912272906,0.0
6,0,500,10000,inf,0.0,0.0
6,0,500,10000,inf,0.27982399906503436,0.0
6,0,500,10000,inf,0.7763861076260048,0.1041726876950777
6,0,500,10000,0.0001,0.002169318140432136,0.0
6,0,500,10000,inf,0.8802480097541275,0.999970484603906
6,0,500,10000,inf,0.9033321828317326,0.9956132945441679
6,0,500,10000,inf,0.531204676584521,0.0
6,0,500,10000,inf,0.008000198828617919,0.03733411008563248
7,0,500,10000,inf,0.0,0.0
7,0,500,10000,inf,0.1334021318253714,0.005893104713390884
7,0,500,10000,inf,0.0,0.02484585048019794
7,0,500,10000,inf,0.0,0.23390284645266102
7,0,500,10000,inf,0.8736008046692227,0.9745357071824625
7,0,500,10000,inf,0.0,0.0
7,0,500,10000,inf,0.0,0.0
7,0,500,10000,inf,0.0,0.0
7,0,500,10000,inf,0.053545915119284866,0.0
7,0,500,10000,inf,0.0,0.18947659233884317
8,0,500,10000,inf,0.00017649758692874577,0.0
8,0,500,10000,inf,0.0,0.5748678161024479
8,0,500,10000,inf,0.0,0.1800920966578261
8,0,500,10000,inf,0.0,0.0
8,0,500,10000,inf,0.0,0.022613424852155006
8,0,500,10000,inf,0.0,0.9993436309443531
8,0,500,10000,inf,0.03155898469759527,0.0
8,0,500,10000,inf,0.2728016637117807,0.01286994924410001
8,0,500,10000,inf,0.0,0.0
8,0,500,10000,inf,0.0,0.004292095876025526
9,0,500,10000,inf,0.7378326004923911,0.0
9,0,500,10000,inf,0.67373246582094,0.07163407395780574
9,0,500,10000,inf,0.0,0.0
9,0,500,10000,inf,0.9539465998658532,0.008772127386564854
9,0,500,10000,inf,0.3745238960936582,0.0
9,0,500,10000,8e-05,0.0,0.0
9,0,500,10000,12.92645069810141,0.8649563420351191,0.0
9,0,500,10000,inf,0.7750847781488511,0.1953769086604764
9,0,500,10000,inf,0.28669063517583426,0.04740610920613575
9,0,500,10000,inf,1.0,0.17948688467377671
10,0,500,10000,inf,0.6449303833760459,0.2864691535465125
10,0,500,10000,inf,0.0,0.7469341268436608
10,0,500,10000,inf,0.5855478112052969,0.4120527605023653
10,0,500,10000,0.00011,0.0,0.0
10,0,500,10000,inf,0.9956708832284469,0.0
10,0,500,10000,inf,0.7450559728120639,0.33603299338083237
10,0,500,10000,inf,0.29736505170414546,0.0
10,0,500,10000,inf,1.0,0.0
10,0,500,10000,5.944265437449255,0.04003465711741757,0.32419229795868243
10,0,500,10000,inf,0.22788298145671063,0.17626364008399376
11,0,500,10000,inf,0.0,0.0
