Epoch,Training Loss,Validation Loss
1,0.020794545292569654,0.018302098130930634
2,0.01757201961817164,0.016236036224907498
3,0.01624749861255387,0.015317820680222862
4,0.01548086622060026,0.014673674986420186
5,0.014978654034423373,0.014276518141049029
6,0.014459783232235582,0.013677073843061726
7,0.01404410881548037,0.01316491315844438
8,0.013583850267148295,0.012681857346624926
9,0.013194251499228501,0.01236349563669438
10,0.012750906418998141,0.011804694175683209
11,0.012381891858457677,0.011444821893638431
12,0.011962240908768313,0.011658373466131603
13,0.011608516667277994,0.011190289797242854
14,0.011240096001629021,0.010445486447335967
15,0.010977831930022662,0.010031612835121372
16,0.010570099806270727,0.009686391711210376
17,0.010299974677123538,0.009435856827405213
18,0.009946906948237806,0.009334485362660115
19,0.009580375983277677,0.008847003928323998
20,0.00942171126661321,0.008520092571922116
21,0.009151232495178404,0.00835819747869468
22,0.00898844026032204,0.008208599195982151
23,0.008763611658481708,0.007932578095555651
24,0.008522078949312967,0.007737918379516125
25,0.00843199163128427,0.007759775826090712
26,0.008192581175076171,0.007379308128606109
27,0.008002310173092502,0.0077994773896805794
28,0.007834345267650878,0.007087606313755575
29,0.007714528829072822,0.007386814166070116
30,0.007537886427744041,0.006866265518516795
31,0.007393361373160164,0.006876248411451843
32,0.007330525958867267,0.006795550991059435
33,0.007188350987733586,0.006898598310642487
34,0.007019986352880185,0.006859702479852894
35,0.007003921568041754,0.007250734063679513
36,0.006879817157261696,0.006323633000828227
37,0.006734450072153747,0.006443418003850006
38,0.006745822699591625,0.0063206748821038675
39,0.006615127111549963,0.0063429207682520125
40,0.00654062471537003,0.006631899125479309
41,0.0066315577511654,0.006314047875148028
42,0.006370042612585874,0.006163970551095804
43,0.006402278704409398,0.006752194581547172
44,0.006425561468647576,0.0059307562248991025
45,0.0063230534272397595,0.005657292304202815
46,0.006253654334502313,0.006197927846567125
47,0.006202016278723892,0.005653464265818405
48,0.0061492413380825305,0.006110032348483431
49,0.006101374358535927,0.005569030578164939
