num_traj,data_id,shortest_distance,S_stick,S_engage
0,0,0.06971245046609198,0.0,0.0
0,1,3.161702327714128e-05,0.0,0.0
0,2,1.0317012600849449e-05,0.339513335484907,1.9774105007882588
0,3,0.00010499644575689178,0.0,0.0
0,4,0.00046158387581947294,0.0,0.0
0,5,5.527525171841698e-07,0.29884817392511376,1.7440743454928187
0,6,8.655089028981787e-06,0.1912693987046223,1.1163990799056005
0,7,0.001716032130344411,2.5795171107671457,15.055180091445926
0,8,0.00026268309161850455,0.78450669514954,4.578981328881904
0,9,1.1231232023528186e-05,1.1363809454064704,6.631531686764754
1,0,0.032119752936074795,1.7373971889264976,4.969405931291538
1,1,0.0001815922802203255,0.0,0.0
1,2,2.0006137021919677e-05,1.39075501709941,5.2471940711933955
1,3,0.00015832637946461557,0.0,0.0
1,4,1.1083387253435825e-05,0.5083435539703345,2.3049824763855247
1,5,1.853520663614228e-06,0.04190911958701365,0.18891134351106065
1,6,0.00031480425610530587,0.0,0.0
1,7,0.0008816530715215872,0.0,0.0
1,8,0.07314668651637742,0.0,0.0
1,9,0.6098771236762661,0.0,0.0
2,0,0.04144745831385361,0.0,0.0
2,1,1.7971647523282038e-05,0.3905325491439896,1.933626398749757
2,2,1.1659579270421618e-05,0.0,0.0
2,3,0.00014799218221899705,0.0,0.0
2,4,9.176548828070745e-06,0.29646992516392945,1.4678618369694243
2,5,0.0019532731088519654,0.6619125150588031,3.279431127499855
2,6,0.16316025447747642,0.0,0.0
2,7,0.4491117046423419,0.0,0.0
2,8,0.6736052864766066,0.0,0.0
2,9,0.8033620702267258,0.0,0.0
3,0,0.05333086622176171,0.0,0.0
3,1,0.005891588508833127,0.0,0.0
3,2,1.0041006476194194e-05,0.04888120721168329,0.2388384419794487
3,3,9.706562224497603e-06,0.5952465646608742,2.152164958580087
3,4,1.4890846315693053e-05,0.3823969765171236,1.8867254926334076
3,5,1.0665045542698583e-05,0.43915104028437973,1.8894490667113424
3,6,1.105246768431763e-05,0.39369370426461253,1.9426522876726033
3,7,2.1551129042017185e-05,3.3452912052903283,13.836165177141975
3,8,4.266524053746109e-05,2.85190617791146,10.438187272892442
3,9,4.249335407817568e-05,3.0697043208407457,11.381837152654434
4,0,0.01535235424798808,3.6184404698242756,12.620494776671384
4,1,1.0037633952771664e-05,0.7772009306337154,3.691155481919692
4,2,1.8290736797453486e-05,0.5995418693286401,2.8228567397719884
4,3,2.4553805710467488e-05,0.0,0.0
4,4,4.336195826947181e-05,0.0,0.0
4,5,6.089736256343408e-06,0.3180617903708045,1.5112003644964545
4,6,0.00012119901973187296,0.0,0.0
4,7,0.0003720566839918346,0.8063409457227007,3.8311323552869263
4,8,0.10855347710736774,0.0,0.0
4,9,0.19876902016610976,0.0,0.0
5,0,0.0748552409889168,0.0,0.0
5,1,0.023030074885438227,0.0,0.0
5,2,9.876225635928378e-06,0.4070059461026377,1.3075078758469352
5,3,0.0001399091271693909,0.0,0.0
5,4,0.000417927363258746,0.0,0.0
5,5,1.794925618777161e-05,0.07567702054197228,0.353909356608209
5,6,0.0005525376421074531,0.0,0.0
5,7,0.013326412279587346,0.0,0.0
5,8,0.43099299190971935,0.0,0.0
5,9,1.0411089680041892,0.0,0.0
6,0,0.0698260558071872,0.0,0.0
6,1,0.00040843804767782697,9.307207926576423,41.59150657292446
6,2,9.225427242191397e-06,0.41805370558923394,1.8605803639179495
6,3,8.167985769950666e-05,0.0,0.0
6,4,9.539344871176414e-06,0.10545909457650976,0.5468120753284358
6,5,9.202004385202175e-06,0.36068955979409445,1.9345152934571883
6,6,0.001269927547346565,1.237462262708979,6.636494404797024
6,7,2.170950005432149e-05,2.046553646151453,8.96906974745807
6,8,4.57089493851379e-05,1.9430545309404514,8.135458483536082
6,9,4.606820646136115e-05,1.9708290268212616,8.460415279918523
7,0,0.09629102005073592,2.5102876526510167,7.432393980726048
7,1,0.026945093291780405,0.0,0.0
7,2,1.290286896317885e-05,1.8429772448633712,6.062397709199087
7,3,8.696384410978202e-06,0.480623285262224,2.1617430220805587
7,4,5.678371256696597e-07,0.5185861852287111,2.3328952840014447
7,5,9.625250527450834e-05,0.0,0.0
7,6,0.0002762143953360478,0.0,0.0
7,7,0.22417154984541077,0.0,0.0
7,8,0.2347348521532623,0.0,0.0
7,9,0.23472423942168194,0.0,0.0
8,0,0.05832294153993997,0.0,0.0
8,1,0.0007927909817228025,0.0,0.0
8,2,1.024092584890488e-05,0.18728805086722125,1.1746924102342957
8,3,3.8093800058768733e-08,0.0,0.0
8,4,0.00020235677194489508,0.0,0.0
8,5,9.533745956173896e-06,0.24411024597743775,1.5405204243220276
8,6,4.759359764740524e-06,0.17213242316741717,1.0862813824125106
8,7,0.0015878815558167583,0.0,0.0
8,8,2.0966457446667157e-05,1.1182185476771127,5.811311803620096
8,9,2.1887596417374566e-05,1.0577970588675776,5.6337985047014225
9,0,0.055846929496823156,1.3923534135903903,4.504066725914889
9,1,0.00453587487158795,0.0,0.0
9,2,1.6644510830802346e-05,0.8673207288680072,3.01440736341262
9,3,0.0001576314735007984,0.0,0.0
9,4,9.09256990583941e-06,0.4170225034400273,1.966264203889858
9,5,0.0017964427964520001,3.2727676044672322,15.436221866349332
9,6,0.07409383326924072,0.0,0.0
9,7,0.2554756527237875,0.0,0.0
9,8,0.36652553494356077,0.0,0.0
9,9,0.39214191030627116,0.0,0.0
10,0,0.06813172101991982,0.0,0.0
10,1,0.01772066373128149,0.0,0.0
10,2,1.7183210169180082e-05,1.2821977565286424,5.053642656914803
10,3,0.00011020692577635245,0.0,0.0
10,4,8.43959256394771e-06,0.3734604225411298,1.7721640704527766
10,5,1.382699943513526e-05,0.15557265557901317,0.7382389040351343
10,6,0.0006198782875254906,0.0,0.0
10,7,0.0014824106952804584,0.0,0.0
10,8,0.3412633965801546,0.0,0.0
10,9,0.3441365655134745,0.0,0.0
11,0,0.062199489569623824,0.0,0.0
11,1,0.00910853700012561,0.0,0.0
11,2,1.0568708344794735e-05,1.834644218259129,8.483443234551743
11,3,9.811211867018167e-05,0.0,0.0
11,4,8.668854050168459e-06,0.19109131644313496,0.8656765007277045
11,5,0.0019067618711922142,2.452150319311483,12.104076812739565
11,6,3.205040053689195e-05,2.186750148825424,9.106159737136723
11,7,5.8626258797449803e-05,2.370264884828952,8.242549207355008
11,8,5.462401715827015e-05,2.1143395968975747,8.823777463831657
11,9,5.556112350112732e-05,2.3446576869885165,9.399493646775971
