num_traj,data_id,label,lateral_friction_coef,lateral_friction_coef_perturb
0,0,1,0.22742314387342863,0.25950793484781143
0,1,0,0.22742314387342863,0.25950793484781143
0,2,1,0.22742314387342863,0.25950793484781143
0,3,1,0.22742314387342863,0.25950793484781143
0,4,1,0.22742314387342863,0.25950793484781143
0,5,1,0.22742314387342863,0.25950793484781143
0,6,1,0.22742314387342863,0.25950793484781143
0,7,1,0.22742314387342863,0.25950793484781143
0,8,1,0.22742314387342863,0.25950793484781143
0,9,1,0.22742314387342863,0.25950793484781143
1,0,1,0.38205446389482495,0.38952913782110254
1,1,1,0.38205446389482495,0.38952913782110254
1,2,1,0.38205446389482495,0.38952913782110254
1,3,1,0.38205446389482495,0.38952913782110254
1,4,1,0.38205446389482495,0.38952913782110254
1,5,1,0.38205446389482495,0.38952913782110254
1,6,1,0.38205446389482495,0.38952913782110254
1,7,0,0.38205446389482495,0.38952913782110254
1,8,0,0.38205446389482495,0.38952913782110254
1,9,0,0.38205446389482495,0.38952913782110254
2,0,1,0.30209382491983927,0.3936696496737181
2,1,0,0.30209382491983927,0.3936696496737181
2,2,1,0.30209382491983927,0.3936696496737181
2,3,1,0.30209382491983927,0.3936696496737181
2,4,1,0.30209382491983927,0.3936696496737181
2,5,0,0.30209382491983927,0.3936696496737181
2,6,0,0.30209382491983927,0.3936696496737181
2,7,0,0.30209382491983927,0.3936696496737181
2,8,0,0.30209382491983927,0.3936696496737181
2,9,0,0.30209382491983927,0.3936696496737181
3,0,1,0.3046884583800978,0.33753166601117696
3,1,0,0.3046884583800978,0.33753166601117696
3,2,1,0.3046884583800978,0.33753166601117696
3,3,1,0.3046884583800978,0.33753166601117696
3,4,1,0.3046884583800978,0.33753166601117696
3,5,1,0.3046884583800978,0.33753166601117696
3,6,1,0.3046884583800978,0.33753166601117696
3,7,1,0.3046884583800978,0.33753166601117696
3,8,1,0.3046884583800978,0.33753166601117696
3,9,1,0.3046884583800978,0.33753166601117696
4,0,1,0.33195816848039,0.2822064790863038
4,1,0,0.33195816848039,0.2822064790863038
4,2,1,0.33195816848039,0.2822064790863038
4,3,1,0.33195816848039,0.2822064790863038
4,4,1,0.33195816848039,0.2822064790863038
4,5,1,0.33195816848039,0.2822064790863038
4,6,1,0.33195816848039,0.2822064790863038
4,7,0,0.33195816848039,0.2822064790863038
4,8,1,0.33195816848039,0.2822064790863038
4,9,0,0.33195816848039,0.2822064790863038
5,0,1,0.34572644536608904,0.349961841506294
5,1,0,0.34572644536608904,0.349961841506294
5,2,1,0.34572644536608904,0.349961841506294
5,3,1,0.34572644536608904,0.349961841506294
5,4,1,0.34572644536608904,0.349961841506294
5,5,1,0.34572644536608904,0.349961841506294
5,6,0,0.34572644536608904,0.349961841506294
5,7,0,0.34572644536608904,0.349961841506294
5,8,0,0.34572644536608904,0.349961841506294
5,9,0,0.34572644536608904,0.349961841506294
6,0,1,0.2605131303438432,0.24811051515525093
6,1,0,0.2605131303438432,0.24811051515525093
6,2,1,0.2605131303438432,0.24811051515525093
6,3,1,0.2605131303438432,0.24811051515525093
6,4,1,0.2605131303438432,0.24811051515525093
6,5,1,0.2605131303438432,0.24811051515525093
6,6,1,0.2605131303438432,0.24811051515525093
6,7,1,0.2605131303438432,0.24811051515525093
6,8,1,0.2605131303438432,0.24811051515525093
6,9,1,0.2605131303438432,0.24811051515525093
7,0,1,0.3951065092882619,0.4448823586027518
7,1,1,0.3951065092882619,0.4448823586027518
7,2,1,0.3951065092882619,0.4448823586027518
7,3,1,0.3951065092882619,0.4448823586027518
7,4,1,0.3951065092882619,0.4448823586027518
7,5,1,0.3951065092882619,0.4448823586027518
7,6,0,0.3951065092882619,0.4448823586027518
7,7,0,0.3951065092882619,0.4448823586027518
7,8,0,0.3951065092882619,0.4448823586027518
7,9,0,0.3951065092882619,0.4448823586027518
8,0,1,0.20282160825531592,0.16901338455982612
8,1,0,0.20282160825531592,0.16901338455982612
8,2,1,0.20282160825531592,0.16901338455982612
8,3,1,0.20282160825531592,0.16901338455982612
8,4,1,0.20282160825531592,0.16901338455982612
8,5,1,0.20282160825531592,0.16901338455982612
8,6,1,0.20282160825531592,0.16901338455982612
8,7,1,0.20282160825531592,0.16901338455982612
8,8,1,0.20282160825531592,0.16901338455982612
8,9,1,0.20282160825531592,0.16901338455982612
9,0,1,0.33810818181962193,0.3576773452528494
9,1,0,0.33810818181962193,0.3576773452528494
9,2,1,0.33810818181962193,0.3576773452528494
9,3,1,0.33810818181962193,0.3576773452528494
9,4,1,0.33810818181962193,0.3576773452528494
9,5,0,0.33810818181962193,0.3576773452528494
9,6,0,0.33810818181962193,0.3576773452528494
9,7,0,0.33810818181962193,0.3576773452528494
9,8,0,0.33810818181962193,0.3576773452528494
9,9,0,0.33810818181962193,0.3576773452528494
10,0,1,0.33294826588357945,0.3272617249465889
10,1,0,0.33294826588357945,0.3272617249465889
10,2,1,0.33294826588357945,0.3272617249465889
10,3,1,0.33294826588357945,0.3272617249465889
10,4,1,0.33294826588357945,0.3272617249465889
10,5,1,0.33294826588357945,0.3272617249465889
10,6,0,0.33294826588357945,0.3272617249465889
10,7,0,0.33294826588357945,0.3272617249465889
10,8,0,0.33294826588357945,0.3272617249465889
10,9,0,0.33294826588357945,0.3272617249465889
11,0,1,0.30437537601903114,0.29155824368196137
11,1,0,0.30437537601903114,0.29155824368196137
11,2,1,0.30437537601903114,0.29155824368196137
11,3,1,0.30437537601903114,0.29155824368196137
11,4,1,0.30437537601903114,0.29155824368196137
11,5,1,0.30437537601903114,0.29155824368196137
11,6,1,0.30437537601903114,0.29155824368196137
11,7,1,0.30437537601903114,0.29155824368196137
11,8,1,0.30437537601903114,0.29155824368196137
11,9,1,0.30437537601903114,0.29155824368196137
12,0,1,0.36060118526312823,0.33929008596039206
12,1,1,0.36060118526312823,0.33929008596039206
12,2,1,0.36060118526312823,0.33929008596039206
12,3,1,0.36060118526312823,0.33929008596039206
12,4,1,0.36060118526312823,0.33929008596039206
12,5,1,0.36060118526312823,0.33929008596039206
12,6,0,0.36060118526312823,0.33929008596039206
12,7,0,0.36060118526312823,0.33929008596039206
12,8,1,0.36060118526312823,0.33929008596039206
12,9,1,0.36060118526312823,0.33929008596039206
13,0,1,0.368646632319495,0.4100679040607872
13,1,1,0.368646632319495,0.4100679040607872
13,2,1,0.368646632319495,0.4100679040607872
13,3,1,0.368646632319495,0.4100679040607872
13,4,1,0.368646632319495,0.4100679040607872
13,5,1,0.368646632319495,0.4100679040607872
13,6,0,0.368646632319495,0.4100679040607872
13,7,0,0.368646632319495,0.4100679040607872
13,8,0,0.368646632319495,0.4100679040607872
13,9,0,0.368646632319495,0.4100679040607872
14,0,1,0.33153882615171454,0.2996143821269955
14,1,0,0.33153882615171454,0.2996143821269955
14,2,1,0.33153882615171454,0.2996143821269955
14,3,1,0.33153882615171454,0.2996143821269955
14,4,1,0.33153882615171454,0.2996143821269955
14,5,1,0.33153882615171454,0.2996143821269955
14,6,1,0.33153882615171454,0.2996143821269955
14,7,0,0.33153882615171454,0.2996143821269955
14,8,0,0.33153882615171454,0.2996143821269955
14,9,1,0.33153882615171454,0.2996143821269955
15,0,1,0.2653956029897048,0.19131511415889996
15,1,0,0.2653956029897048,0.19131511415889996
