data_id,trial,plan iters,plan time,best cost
0.0,0,21120,10,0.7702469869532755
1.0,0,21790,10,0.713306041325102
2.0,0,23510,10,0.711270728574014
3.0,0,20480,10,0.754955911855471
4.0,0,25000,10,0.7103427246594821
5.0,0,19260,10,0.7991445569051806
6.0,0,23260,10,0.6769141986390507
7.0,0,21130,10,0.7336745653864151
8.0,0,20590,10,0.8093200010951658
9.0,0,20760,10,0.7435969573185193
10.0,0,19100,10,0.811576834711147
11.0,0,20180,10,0.7489815762066472
12.0,0,21410,10,0.6713863518524879
13.0,0,33780,10,4.69161008345272
14.0,0,23030,10,0.7667559846452566
15.0,0,23990,10,0.654207308797922
16.0,0,21820,10,0.7248746782603284
17.0,0,28830,10,0.7143565456716306
18.0,0,31560,10,0.6389256595803549
19.0,0,30020,10,0.6279874590862908
20.0,0,30140,10,0.6200810772839802
21.0,0,31410,10,0.5363004689133644
22.0,0,33360,10,0.48488277517551753
23.0,0,31300,10,0.5187347286878029
24.0,0,27690,10,0.5352678584360122
25.0,0,29390,10,0.4981588926385499
26.0,0,31420,10,0.5063536179977463
27.0,0,22760,10,0.7042520380242063
28.0,0,23770,10,0.6398796254651835
29.0,0,24470,10,0.589900229109301
30.0,0,23330,10,0.562989051539211
31.0,0,24410,10,0.4718631142513313
32.0,0,24850,10,0.47219528204221173
33.0,0,27070,10,0.44641595319484995
34.0,0,26010,10,0.6445347671440214
35.0,0,27980,10,0.7513253311511853
36.0,0,24840,10,0.743358273888821
37.0,0,28230,10,0.5286590181920588
38.0,0,27550,10,0.45871992759345276
39.0,0,99380,10,0.003091579341695353
40.0,0,99730,10,0.007792638042116601
41.0,0,102680,10,0.0025492048458604045
42.0,0,103240,10,0.005807785166228236
43.0,0,101190,10,0.07845769629896196
44.0,0,46250,10,3.6282246133045857
45.0,0,44560,10,3.1925576477447812
46.0,0,40050,10,3.452583254786598
47.0,0,48780,10,2.895744009084284
48.0,0,45300,10,3.2077744541014988
49.0,0,38950,10,3.256139807277029
50.0,0,42560,10,3.2935320057509863
51.0,0,47600,10,3.1222260636762504
52.0,0,43210,10,2.9431391783447842
53.0,0,39750,10,3.359676821746949
54.0,0,42640,10,2.818974655811688
55.0,0,36460,10,3.199522638592354
56.0,0,40370,10,2.9906469543413206
57.0,0,46980,10,2.665662073539738
58.0,0,43470,10,2.575674030309327
59.0,0,51990,10,2.601162009273776
60.0,0,24670,10,0.6966743430178721
61.0,0,25000,10,0.5737466724443699
62.0,0,24430,10,0.5565311300353014
