trial,plan iters,plan time,best cost
0,470,0.07874798774719238,16.467920322329658
0,610,0.11044502258300781,2.485889091311305
0,730,0.12835931777954102,2.1334574530051693
0,860,0.154191255569458,2.0256880654829583
0,1600,0.3270549774169922,1.7149212045318105
0,5190,1.2992312908172607,1.6720930474969602
0,5220,1.3106493949890137,1.6655570448213595
0,5580,1.4267940521240234,1.5758966650555564
0,5890,1.5171287059783936,1.4669151845865647
0,8080,2.0926787853240967,1.4113462924253954
0,17390,5,1.4113462924253954
1,100,0.01680302619934082,2.3012338643794723
1,370,0.0742340087890625,1.911571227722043
1,910,0.18869686126708984,1.7923131618196462
1,3080,0.7410702705383301,1.7838046696610446
1,3670,0.920006513595581,1.68108986171561
1,3930,0.9858052730560303,1.6415785961583949
1,11630,3.784452199935913,1.4948607757065693
1,15090,5,1.4948607757065693
