data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,1000,10000,inf,0.00016149304549102335,0.981128677766185
0,0,1000,10000,16.874591465217282,0.0014046961439564821,0.7621959299013739
0,0,1000,10000,inf,0.029465499217392544,0.7644542284891938
0,0,1000,10000,inf,0.09541882062680508,0.7815045876442621
0,0,1000,10000,inf,0.6364379814133784,0.832064587409391
0,0,1000,10000,inf,0.981411909726149,0.9973563882639122
0,0,1000,10000,inf,0.9974187851960615,1.0
0,0,1000,10000,inf,0.9783713134407368,0.9865329232985632
0,0,1000,10000,14.69250122150357,0.9926914778661674,0.9954830159625133
0,0,1000,10000,12.755384169236704,0.9998515150892475,0.9998124859532466
1,0,1000,10000,inf,0.00012256571523928174,0.9831831577380735
1,0,1000,10000,inf,0.00014551534049590668,0.8955459924510847
1,0,1000,10000,inf,0.0007261937524790439,0.8269413479325529
1,0,1000,10000,inf,0.004756777068447675,0.851766304729449
1,0,1000,10000,inf,0.0,0.8643349433470878
1,0,1000,10000,inf,0.005762888806146423,0.9328549451059082
1,0,1000,10000,inf,0.0015972246133993326,0.4178856451838808
1,0,1000,10000,inf,0.0019372039756206786,0.2403754405407026
1,0,1000,10000,14.45051053840625,2.3691187114860478e-09,0.0
1,0,1000,10000,13.495617228350994,0.00018281934532647006,0.040395783969582766
2,0,1000,10000,inf,6.567150709167785e-05,0.9266130339636158
2,0,1000,10000,inf,6.607894070440099e-05,0.866909582573835
2,0,1000,10000,inf,0.00030756340994437414,0.89748957800487
2,0,1000,10000,inf,0.019106485376414437,0.7833813267902421
2,0,1000,10000,inf,0.00796308204572518,0.8998556355562058
2,0,1000,10000,inf,0.0,0.8793004086797426
2,0,1000,10000,inf,3.167384524095714e-10,0.7802482907959375
2,0,1000,10000,inf,0.0017259791195387124,0.29536038933908093
2,0,1000,10000,inf,2.1627874686573443e-07,0.0
2,0,1000,10000,inf,0.00011269446242749678,0.4207292891645231
3,0,1000,10000,inf,0.0011476361140565247,0.9378497179491475
3,0,1000,10000,inf,0.001497782200664862,0.624855131737954
3,0,1000,10000,inf,0.01017371942971132,0.911100168395915
3,0,1000,10000,inf,0.042294896582304536,0.8466128483044802
3,0,1000,10000,inf,0.04912402269819139,0.7285638270361445
3,0,1000,10000,inf,0.010228040642607926,0.7230599270658564
3,0,1000,10000,13.539619169469942,0.009861360968006253,0.10991745444045697
3,0,1000,10000,inf,9.372073100594588e-14,0.5663786112797842
3,0,1000,10000,17.775411096496924,5.28940844705465e-11,0.28633861538452365
3,0,1000,10000,inf,0.0,0.09888906609530257
4,0,1000,10000,inf,0.0005577722930121033,0.9346264851337915
4,0,1000,10000,inf,0.0013659174305301754,0.7895164837026619
4,0,1000,10000,inf,0.0004146256892832705,0.8367777426625785
4,0,1000,10000,inf,0.0017125412094210115,0.7608153781466825
4,0,1000,10000,inf,0.0016626872324043813,0.7298049303342191
4,0,1000,10000,inf,0.0,0.19075609638509394
4,0,1000,10000,inf,3.783508771268132e-05,0.032027861452587514
4,0,1000,10000,inf,0.0,0.002203951516981939
4,0,1000,10000,inf,4.8263989432150915e-06,0.10933252265339677
4,0,1000,10000,inf,0.0005701596610174836,0.058529356292807755
5,0,1000,10000,inf,0.03992757268282299,0.9471674579549888
5,0,1000,10000,inf,0.3265649524427971,0.4638637412046194
5,0,1000,10000,inf,0.9208199374158927,0.9857445734156046
5,0,1000,10000,inf,0.9954005013380762,1.0
5,0,1000,10000,inf,0.9999993101817444,0.9994435588621562
