data_id,trial,plan_iters,plan_time,best_cost,capture_exists_score,capture_score,success_exists_score,success_score,runtime
0,0,300,10000,inf,1.0,0.02742124733249706,0.0,0.0,0.9272384643554688
1,0,300,10000,inf,0.9852526337893532,0.0,0.0,0.0,0.8992111682891846
2,0,300,10000,inf,0.988985846468841,0.92042627323878,0.0003683899244957267,0.0,0.83555006980896
3,0,300,10000,inf,1.0,0.929445017837062,0.00015524618874329654,0.0,0.900001049041748
4,0,300,10000,inf,0.9971953756380836,0.9764432404431094,0.01310654558446056,0.001951969211124915,0.9128966331481934
5,0,300,10000,inf,1.0,0.8105731307242042,0.33728718075076436,0.013867284680707838,1.0365467071533203
6,0,300,10000,inf,1.0,0.6593369656857319,0.3530573791560726,0.23289346370568859,1.4574096202850342
7,0,300,10000,inf,1.0,0.7879547314829258,0.9732988473392319,0.44622380588514604,1.4292433261871338
8,0,300,10000,inf,1.0,1.0,1.0,0.3790610890011408,1.4809703826904297
9,0,300,10000,inf,1.0,0.0,1.0,0.9972170926671301,1.9796857833862305
10,0,300,10000,inf,1.0,0.5018877903982326,0.0,0.0,0.8359420299530029
11,0,300,10000,inf,0.9675981389922588,0.0,0.0,0.0,0.9957268238067627
12,0,300,10000,inf,0.9737352439112696,0.9138241639205519,0.00016699399972486262,0.0,0.8596158027648926
13,0,300,10000,inf,1.0,0.9463004026196035,0.004048916918230172,0.0,0.8701000213623047
14,0,300,10000,inf,0.9996545002866264,0.9425368623082714,0.009081126280228502,0.0008549086856481574,0.8764238357543945
15,0,300,10000,inf,1.0,0.983240747919086,0.13586694957042866,0.04160593440016187,1.16542387008667
16,0,300,10000,inf,1.0,0.9523693719835558,0.8356909799589445,0.2961095036594594,1.3774957656860352
17,0,300,10000,inf,1.0,0.8779312148160097,1.0,0.5304968466246675,1.5134243965148926
18,0,300,10000,inf,1.0,1.0,1.0,0.02453341461852789,1.6986565589904785
19,0,300,10000,inf,1.0,1.0,1.0,0.32662932737124345,1.187575101852417
20,0,300,10000,inf,1.0,0.8505633502928265,0.0,0.0,0.9054241180419922
21,0,300,10000,inf,0.8964221880568772,0.0,0.0,0.0,1.0695312023162842
22,0,300,10000,inf,0.9949904019878983,0.9470343435866034,0.0003947863260916895,7.688736427440919e-05,0.8493998050689697
23,0,300,10000,inf,1.0,0.9882778471568475,0.0025853759331795345,0.0,0.9733011722564697
