data_id,trial,plan iters,plan time,best cost
0,0,15110,10,3.0358215455185316
1,0,16210,10,2.7923446334689794
2,0,16380,10,2.6282480210582038
3,0,15640,10,2.336041212202413
4,0,15800,10,1.289334702020874
5,0,15130,10,0.5598725326071917
6,0,16250,10,1.3170591432424028
7,0,17320,10,2.1151799356015446
8,0,19090,10,0.685130160889277
9,0,17770,10,0.4691310269836686
10,0,16990,10,0.26018700504969616
11,0,18120,10,0.21190620690358394
12,0,15590,10,0.18761602348988765
13,0,15250,10,0.11876751673355701
14,0,13760,10,0.012583991776277097
15,0,15400,10,1.9630710940333125
16,0,18170,10,1.0813284086166344
17,0,15580,10,1.980443174975521
18,0,16610,10,0.5858779302566596
19,0,15410,10,0.7335085368431371
20,0,16430,10,0.8183551125382551
21,0,18060,10,1.5237991144957403
22,0,17730,10,0.7978797281672251
23,0,18250,10,0.5070158173695062
24,0,18250,10,0.4970856989864178
25,0,16610,10,1.7322070226834585
26,0,18990,10,0.504716584279345
27,0,14640,10,0.5051249383390076
28,0,14840,10,0.3524176656881023
29,0,17230,10,0.3200646218673049
30,0,16600,10,0.7819717578567944
31,0,15540,10,0.6336181837882843
32,0,16520,10,0.7689793672109988
33,0,16530,10,0.5759582272538254
34,0,17390,10,0.7513830146170539
35,0,18450,10,0.3183563537821386
36,0,17370,10,0.39816793829376307
37,0,17390,10,0.29262093928364485
38,0,21910,10,0.25089702765974226
39,0,13950,10,0.51949489125935
40,0,13300,10,0.5738364697445554
41,0,17290,10,0.3379921657855699
42,0,20520,10,0.2988054720602768
43,0,17200,10,0.3428766254039909
44,0,16580,10,0.2712871837902243
45,0,16060,10,0.3844807546508441
46,0,16010,10,0.3212144742798626
47,0,14470,10,0.38821377643320076
48,0,15280,10,0.4081905754179586
49,0,16670,10,0.393626806181024
50,0,15980,10,0.3023632986538718
51,0,17130,10,0.31271019883349166
52,0,14890,10,0.39666017692793054
53,0,17300,10,0.3164031953994427
54,0,20610,10,0.2879218289648019
55,0,19360,10,0.2741704258287533
56,0,16760,10,0.3314174316334518
57,0,21580,10,0.23976409505376084
58,0,23120,10,0.19919795563103831
59,0,26600,10,0.19818887940258392
60,0,16000,10,0.3640988354948807
61,0,18510,10,0.3378594368757618
62,0,15820,10,0.5202377048334299
63,0,15390,10,0.490405750481251
64,0,18570,10,0.2818407900109786
65,0,16080,10,0.25715739614105015
66,0,18100,10,0.22893549193783935
67,0,14840,10,0.28617121080001573
68,0,21270,10,0.12694243001237995
69,0,15640,10,0.4169801337245943
70,0,16310,10,0.43911865702778263
71,0,17060,10,0.3758427867462348
72,0,16190,10,0.41739781647994445
73,0,18310,10,0.3210729486264033
74,0,17180,10,0.3632093408185168
75,0,18110,10,0.32067654758388164
76,0,15200,10,0.4333597020053538
77,0,20210,10,0.26864704023956504
78,0,16030,10,0.3400975754042098
79,0,13830,10,0.42304357979268825
80,0,15520,10,0.3677538335417094
81,0,18420,10,0.31074624129064987
82,0,13090,10,0.4498383134155529
83,0,16220,10,0.3449889107424236
84,0,14580,10,0.3765388912689139
85,0,17120,10,0.3132595728878241
86,0,18000,10,0.37638705349182244
87,0,16380,10,0.2763876354449259
88,0,19130,10,0.22961332548580998
89,0,18830,10,0.20423329571739166
90,0,17730,10,0.22235642519273988
91,0,15760,10,0.36047806335374044
92,0,16370,10,0.27750608960829687
93,0,16670,10,0.28664190683525537
94,0,18560,10,0.2530965657158964
95,0,18300,10,0.21962278480145225
96,0,24710,10,0.15187913388825597
97,0,16160,10,0.3294361583978535
98,0,16090,10,0.33616305246195927
99,0,19220,10,0.26209290821091547
100,0,18680,10,0.2948305006653691
101,0,18910,10,0.2562909733560266
102,0,22330,10,0.25279354431518086
103,0,16090,10,0.3040121992425706
104,0,16980,10,0.3203469136193326
105,0,18950,10,0.23581224765157505
106,0,18870,10,0.22494099875010531
107,0,18800,10,0.22130438635615948
108,0,17200,10,0.22985783256492365
109,0,18070,10,0.21294959931598378
110,0,23490,10,0.16829394267821998
111,0,17930,10,0.2102026235960628
112,0,19320,10,0.15285071727713925
113,0,17680,10,0.6250871105569927
114,0,16710,10,0.633511984022994
115,0,18200,10,0.49894418463702966
116,0,15320,10,1.226082415110014
