n_episode,n_iteration,n_sample,n_horizon,xo,yo,thetao,vxo,vyo,omegao,xg,yg,thetag,vxg,vyg,omegag
0,0,0,0,5.245803356170654,4.483570098876953,0.309131383895874,-1.6232921495884511e-07,-1.7172726074932143e-05,2.6944117053062655e-05,4.6867218017578125,3.708601236343384,-0.0006153479916974902,0.06261026859283447,-0.14187613129615784,0.0013632385525852442
0,0,0,1,5.245803356170654,4.4835662841796875,0.3091367781162262,-1.6216459641782421e-07,-1.7173071682918817e-05,2.6944424462271854e-05,4.705960273742676,3.683675765991211,0.0002815942862071097,0.12110783904790878,-0.115055613219738,0.013363298960030079
0,0,0,2,5.245803356170654,4.483562469482422,0.30914217233657837,-1.619909824057686e-07,-1.7173446394735947e-05,2.6944731871481054e-05,4.7587480545043945,3.631962776184082,-0.004990772809833288,0.4009479880332947,-0.3956644833087921,-0.09830748289823532
0,0,0,3,5.245803356170654,4.483558654785156,0.30914756655693054,-1.6181738260456768e-07,-1.7173821106553078e-05,2.694503746170085e-05,4.795937538146973,3.566878080368042,-0.0337783508002758,-0.0017887622816488147,-0.24675433337688446,-0.17036153376102448
0,0,0,4,5.245803356170654,4.483554840087891,0.3091529607772827,-1.6164375438165735e-07,-1.717419763735961e-05,2.694534487091005e-05,4.784669876098633,3.5561232566833496,-0.05489227920770645,-0.08458211272954941,0.07061542570590973,-0.01235037948936224
0,0,0,5,5.245803356170654,4.483551025390625,0.3091583549976349,-1.61470126158747e-07,-1.7174572349176742e-05,2.6945652280119248e-05,4.781184673309326,3.5600333213806152,-0.05419493466615677,7.466861916327616e-06,-1.8789603927871212e-05,3.8192333704500925e-06
0,0,0,6,5.245803356170654,4.483547210693359,0.30916374921798706,-1.6129649793583667e-07,-1.7174947060993873e-05,2.6945959689328447e-05,4.782375812530518,3.5537521839141846,-0.05700015276670456,0.012774836272001266,-0.06257951259613037,-0.010058551095426083
0,0,0,7,5.245803356170654,4.483543395996094,0.30916914343833923,-1.6112285550207162e-07,-1.7175321772811003e-05,2.6946267098537646e-05,4.783727169036865,3.551518440246582,-0.05713079497218132,-0.00010879281762754545,2.2426760551752523e-05,6.110118556534871e-05
0,0,0,8,5.245803356170654,4.483539581298828,0.3091745376586914,-1.6094921306830656e-07,-1.7175696484628133e-05,2.6946572688757442e-05,4.788415908813477,3.560166597366333,-0.07028734683990479,0.04437820240855217,0.0859156921505928,-0.048969876021146774
0,0,0,9,5.245803356170654,4.4835357666015625,0.3091799318790436,-1.607755564236868e-07,-1.7176071196445264e-05,2.694688009796664e-05,4.778942108154297,3.5695688724517822,-0.07189878821372986,-0.10191338509321213,0.0293582696467638,0.03333117812871933
0,0,0,10,5.245803356170654,4.483531951904297,0.30918532609939575,-1.606018855682123e-07,-1.7176445908262394e-05,2.694718750717584e-05,4.792860984802246,3.5722482204437256,-0.0647757351398468,0.18398943543434143,0.013606039807200432,0.0349898487329483
0,0,0,11,5.245803356170654,4.483528137207031,0.3091907203197479,-1.6042821471273783e-07,-1.7176820620079525e-05,2.694749491638504e-05,4.807858943939209,3.5860605239868164,-0.06396569311618805,0.002070535672828555,0.09358570724725723,-0.02166145294904709
0,0,0,12,5.245803356170654,4.483524322509766,0.3091961145401001,-1.6025452964640863e-07,-1.7177195331896655e-05,2.6947800506604835e-05,4.839020729064941,3.6194989681243896,-0.06436789780855179,0.28858253359794617,0.24649228155612946,-0.024399831891059875
0,0,0,13,5.245803356170654,4.4835205078125,0.30920150876045227,-1.6008084458007943e-07,-1.7177570043713786e-05,2.6948107915814035e-05,4.911478519439697,3.675297975540161,-0.06367070972919464,0.43030399084091187,0.3098141849040985,0.04395776987075806
0,0,0,14,5.245803356170654,4.483516693115234,0.30920690298080444,-1.5990714530289551e-07,-1.717794657452032e-05,2.6948415325023234e-05,4.975949287414551,3.765272617340088,-0.04643257334828377,0.22828549146652222,0.5736474990844727,0.11708427220582962
0,1,0,0,5.245803356170654,4.483574867248535,0.3091244399547577,8.695320730112144e-07,8.796877182248863e-07,-3.9176479731395375e-06,4.7022929191589355,3.709235906600952,-0.007914635352790356,0.22191040217876434,-0.055796656757593155,-0.03768184036016464
0,1,0,1,5.245803356170654,4.483575344085693,0.3091236650943756,8.695707265360397e-07,8.797213695288519e-07,-3.917795311281225e-06,4.724478721618652,3.6814324855804443,-0.008867887780070305,0.029574232175946236,-0.2016330063343048,0.033359624445438385
0,1,0,2,5.245803356170654,4.483575820922852,0.30912289023399353,8.696094369042839e-07,8.797549639893987e-07,-3.917943104170263e-06,4.739408493041992,3.673795223236084,-0.003989519085735083,0.09486052393913269,0.06844592094421387,0.01971074379980564
0,1,0,3,5.245803356170654,4.48357629776001,0.30912211537361145,8.696480904291093e-07,8.797886721367831e-07,-3.91809044231195e-06,4.7501220703125,3.701483726501465,-0.0024903230369091034,0.03002442605793476,0.19902187585830688,0.007406020071357489
0,1,0,4,5.245803356170654,4.483576774597168,0.30912134051322937,8.696867439539346e-07,8.798222665973299e-07,-3.918238235200988e-06,4.757147312164307,3.757974147796631,-0.010729887522757053,0.04134586080908775,0.36058974266052246,-0.12949134409427643
0,1,0,5,5.245803356170654,4.483577251434326,0.3091205656528473,8.697254543221788e-07,8.798559179012955e-07,-3.918385573342675e-06,4.7571210861206055,3.812950849533081,-0.022798916324973106,-0.02872510813176632,0.19060195982456207,-0.0005285070510581136
0,1,0,6,5.245803356170654,4.483577728271484,0.3091197907924652,8.697641078470042e-07,8.798895692052611e-07,-3.9185333662317134e-06,4.783401966094971,3.831023693084717,-0.02339494414627552,0.25300994515419006,0.026127833873033524,-0.016000503674149513
0,1,0,7,5.245803356170654,4.483578205108643,0.30911901593208313,8.698028182152484e-07,8.799232205092267e-07,-3.918680704373401e-06,4.796290397644043,3.8294122219085693,-0.027776530012488365,-0.0400632843375206,-0.018579185009002686,-0.064677894115448
0,1,0,8,5.245803356170654,4.483578681945801,0.30911824107170105,8.698414717400738e-07,8.799568718131923e-07,-3.918828497262439e-06,4.795730113983154,3.8292670249938965,-0.029085714370012283,4.818693196284585e-05,-1.5515039194724523e-05,-0.0001177425219793804
0,1,0,9,5.245803356170654,4.483579158782959,0.30911746621131897,8.69880182108318e-07,8.799905231171579e-07,-3.918975835404126e-06,4.797470569610596,3.8275716304779053,-0.03469816595315933,0.016117824241518974,-0.018340203911066055,-0.04219149425625801
