data_id,trial,plan_iters,plan_time,best_cost,capture_exists_score,capture_score,success_exists_score,success_score,runtime
0,0,300,10000,inf,1.0,0.06287882266055492,0.0,0.0,0.9374423027038574
1,0,300,10000,inf,0.8239745630026757,0.0,0.0,0.0,1.1520740985870361
2,0,300,10000,inf,0.9933816668049503,0.8269349073796259,0.0,0.0,0.8304557800292969
3,0,300,10000,inf,0.9993290766019287,0.9338027952891658,0.0004889442254454313,2.513242070642459e-05,0.8193545341491699
4,0,300,10000,inf,0.997812179636699,0.5201649760277898,0.007883028457867258,0.0017784077357538397,0.858562707901001
5,0,300,10000,inf,1.0,0.8635160235266224,0.30667630681581015,0.020192835899142694,1.2174339294433594
6,0,300,10000,inf,1.0,0.29374360920022663,0.630824015010363,0.054651259908766354,1.3181705474853516
7,0,300,10000,inf,1.0,0.9292982042275644,1.0,0.8023128347707602,1.5062298774719238
8,0,300,10000,inf,1.0,0.9380979434096252,1.0,0.9849542739794562,1.485445261001587
9,0,300,10000,inf,1.0,0.0,1.0,0.982464395915845,2.0224359035491943
10,0,300,10000,inf,1.0,1.0,0.0,0.0,0.9119899272918701
11,0,300,10000,inf,0.9360755413177705,0.0,0.0,0.0,0.9965531826019287
12,0,300,10000,inf,0.9640333436258155,0.8873703764017514,0.0,0.0,0.8369901180267334
13,0,300,10000,inf,0.9987270579570235,0.8705092948713906,0.0017504191456458873,0.0,0.8301634788513184
14,0,300,10000,inf,1.0,0.5293941330968395,0.014452090446210653,0.0,0.8441677093505859
15,0,300,10000,inf,1.0,0.8306998137544916,0.09210011481019809,0.026153320872304337,1.0454320907592773
16,0,300,10000,inf,1.0,0.6006702885899996,0.4504657837817565,0.2908708106875419,1.4613666534423828
17,0,300,10000,inf,1.0,1.0,0.9842186299990006,0.4352684476022198,2.0400943756103516
18,0,300,10000,inf,1.0,0.7146226354759256,1.0,0.8353066950292671,1.1090607643127441
19,0,300,10000,inf,1.0,1.0,1.0,0.3669608115638726,1.4635956287384033
20,0,300,10000,inf,1.0,1.0,0.0,0.0,0.9096798896789551
21,0,300,10000,inf,0.9971435904205413,0.0,0.0,0.0,1.1532139778137207
22,0,300,10000,inf,0.9880210325231459,0.9207326188223901,0.000901522920211395,0.00014966610345695236,0.9160633087158203
23,0,300,10000,inf,0.9989689686590393,0.8529807942452032,0.0014814655539818755,0.0,0.8859820365905762
24,0,300,10000,inf,0.9992753408494468,0.7767284415793951,0.00772959754602176,0.0,0.8912208080291748
25,0,300,10000,inf,1.0,0.18877041333042494,0.166034659585498,0.0,1.0317015647888184
26,0,300,10000,inf,1.0,0.7279070757995305,0.8494149263266189,0.2364352106664107,1.392392873764038
27,0,300,10000,inf,1.0,0.9094137840075434,1.0,0.9507151720748718,1.743260145187378
28,0,300,10000,inf,1.0,0.9956011952566209,1.0,1.0,1.5524015426635742
29,0,300,10000,inf,1.0,0.8428480260858374,1.0,0.9043431837609432,2.0002553462982178
30,0,300,10000,inf,1.0,0.15992547223043516,0.0,0.0,0.9566850662231445
31,0,300,10000,inf,0.9638023728447576,0.0,0.0,0.0,0.9765000343322754
32,0,300,10000,inf,0.9954116309058282,0.8419703723841551,1.43444821137928e-05,0.0,0.8086373805999756
33,0,300,10000,inf,0.9997501553439065,0.723747398990667,2.3758632168524585e-05,0.0,0.8483765125274658
34,0,300,10000,inf,0.9913244558354078,0.9331370257388386,0.06355178840037157,0.00896744157226469,1.221294641494751
35,0,300,10000,inf,1.0,0.9358422975576484,0.31840128680538893,0.041535764118022976,0.9980614185333252
36,0,300,10000,inf,1.0,0.7829096429459932,0.6832801264431071,0.35376766231822515,1.31087327003479
37,0,300,10000,inf,1.0,0.0,0.7094878967400106,0.6594018967361361,1.5086455345153809
38,0,300,10000,inf,1.0,1.0,1.0,1.0,1.72336745262146
39,0,300,10000,inf,1.0,1.0,1.0,1.0,1.900693416595459
40,0,300,10000,inf,1.0,0.0,0.0,0.0,0.8190004825592041
41,0,300,10000,inf,0.9683655994236541,0.0,0.0,0.0,0.9763636589050293
42,0,300,10000,inf,0.999045897567604,0.9748238524266708,0.0,0.0,0.8774034976959229
43,0,300,10000,inf,1.0,0.9791425462277631,0.002111324742705145,0.0,0.867605447769165
44,0,300,10000,inf,1.0,0.9620072928763278,0.043426654744377347,0.001957023633533414,0.8381037712097168
45,0,300,10000,inf,1.0,0.9947213272331408,0.3627626319011531,0.0047789864928463365,0.9493799209594727
46,0,300,10000,inf,1.0,0.5200333911619637,0.6423822224246898,0.2552280898488227,1.1997873783111572
47,0,300,10000,inf,1.0,0.627747590462029,1.0,0.611001961301117,1.7004573345184326
48,0,300,10000,inf,1.0,1.0,1.0,0.9271057948748558,1.632385015487671
49,0,300,10000,inf,1.0,1.0,1.0,1.0,1.0468974113464355
50,0,300,10000,inf,1.0,0.0,0.0,0.0,0.856950044631958
51,0,300,10000,inf,0.9104738508943562,0.0,0.0,0.0,0.826430082321167
52,0,300,10000,inf,1.0,0.8879645520040257,0.000507909224095271,0.0,0.8627183437347412
53,0,300,10000,inf,0.9993424309185169,0.9728176747320991,0.0007652443896541961,9.655864752799546e-05,0.8042697906494141
54,0,300,10000,inf,1.0,0.32300241307722066,0.004571244993092027,0.0,0.8429574966430664
55,0,300,10000,inf,1.0,1.0,0.0,0.0,0.8811206817626953
56,0,300,10000,inf,1.0,0.590597948432304,0.42911195239616096,0.19205878038291183,1.5007684230804443
57,0,300,10000,inf,1.0,0.0693505641000707,1.0,0.9879233716506733,1.7203233242034912
58,0,300,10000,inf,1.0,1.0,1.0,0.8439150253115355,1.2554700374603271
59,0,300,10000,inf,1.0,1.0,1.0,0.1444976540779655,0.9355223178863525
60,0,300,10000,inf,1.0,0.0,0.0,0.0,0.8021223545074463
61,0,300,10000,inf,0.9490887423680515,0.0,0.0,0.0,1.020667314529419
62,0,300,10000,inf,0.9874157381528451,0.9098402548592491,0.0002835068092749138,0.0,0.8556597232818604
63,0,300,10000,inf,0.9905201071560614,0.9000652432072358,0.013702388814199273,0.00013839825234036987,0.8487093448638916
64,0,300,10000,inf,0.9998267823857986,0.8974457522149691,0.008864681768642524,0.0,0.852313756942749
65,0,300,10000,inf,1.0,0.13636625519015536,0.15441867521981623,0.0,1.0408661365509033
66,0,300,10000,inf,1.0,0.7673999097679189,0.45780845885398036,0.2502733701781137,1.394063949584961
67,0,300,10000,inf,1.0,0.20187845559683232,1.0,0.8968211486087663,1.6757595539093018
68,0,300,10000,inf,1.0,0.8303111560658838,1.0,1.0,1.9048717021942139
