data_id,trial,plan_iters,plan_time,best_cost,capture_exists_score,capture_score,success_exists_score,success_score,runtime
0,0,300,10000,inf,1.0,0.021064158351637587,0.0,0.0,0.7070133686065674
1,0,300,10000,inf,0.8297968352457945,0.0,0.0,0.0,0.9419939517974854
2,0,300,10000,inf,0.9912962313381218,0.9619531437932493,3.512333556165981e-05,0.0,0.8590836524963379
3,0,300,10000,inf,0.9967819642341278,0.9699322573623753,0.0026971162804175774,0.0012181396519205523,0.9661602973937988
4,0,300,10000,inf,0.9972170157482815,0.9676793172937742,0.010840213550788902,0.0,0.8279831409454346
5,0,300,10000,inf,1.0,0.5623543682592921,0.18217576632325472,0.0011678443235876375,1.269965648651123
6,0,300,10000,inf,1.0,0.6239093712536611,0.6049461541186417,0.34834403573393274,1.490525484085083
7,0,300,10000,inf,1.0,0.24119488397509384,1.0,0.8613509080417466,1.429149866104126
8,0,300,10000,inf,1.0,1.0,1.0,1.0,1.7103421688079834
9,0,300,10000,inf,1.0,0.0,1.0,1.0,2.237687587738037
10,0,300,10000,inf,1.0,0.9934713774785835,0.0,0.0,0.7404429912567139
11,0,300,10000,inf,0.8792809849253688,0.0,0.0,0.0,0.9634549617767334
12,0,300,10000,inf,0.9337421355747361,0.759119564551904,0.0012355291570238514,4.519324589846439e-05,0.8030509948730469
13,0,300,10000,inf,0.9932383859482056,0.8360664853898868,0.006967344466996317,0.0008937640073976689,0.8140063285827637
14,0,300,10000,inf,0.9992101171670509,0.9344515186729236,0.04925518824980346,0.013558350390247208,0.9655358791351318
15,0,300,10000,inf,1.0,0.9723405092154357,0.192687548531565,0.07049732677199046,1.061610460281372
16,0,300,10000,inf,1.0,0.9730120761025927,0.6144215021346362,0.2989300225508585,1.3536043167114258
17,0,300,10000,inf,1.0,0.7421933649558681,1.0,0.36620083716571417,1.4422361850738525
18,0,300,10000,inf,1.0,1.0,1.0,0.21607823579539617,2.100245714187622
19,0,300,10000,inf,1.0,1.0,1.0,0.3184959395589684,2.166938543319702
20,0,300,10000,inf,1.0,0.6264695515704205,0.0,0.0,0.704397439956665
21,0,300,10000,inf,0.9122440842936616,0.0,0.0,0.0,0.9579653739929199
22,0,300,10000,inf,0.9931414300946322,0.9623999338272854,0.0005088976035645398,8.975754679664572e-05,0.8105194568634033
23,0,300,10000,inf,0.9972831789092061,0.9933742949820816,0.003233728632162758,0.00031297203813038547,0.8960163593292236
24,0,300,10000,inf,0.9958589042438757,0.9777713237070627,0.02593753825519496,0.012367966642962396,0.9758365154266357
25,0,300,10000,inf,1.0,0.953045011562821,0.14415502877438113,0.080972004462514,1.2339959144592285
26,0,300,10000,inf,1.0,0.7320536292172647,0.76447346668744,0.3663079147267631,1.3276808261871338
27,0,300,10000,inf,1.0,0.19787547152879076,1.0,0.9831626213846154,1.434032678604126
28,0,300,10000,inf,1.0,0.9147645259788341,1.0,0.9982066921794664,1.6576287746429443
29,0,300,10000,inf,1.0,0.9758126747796053,1.0,1.0,2.0641067028045654
