data_id,trial,plan iters,plan time,best cost
455,0,30420,20,1.8613338788362075
456,0,30130,20,1.7192678903975183
457,0,28550,20,1.7124134478214392
458,0,27650,20,2.017088735586299
459,0,180120,20,inf
460,0,186350,20,inf
461,0,32080,20,1.5716319735976196
462,0,33310,20,1.349199190072619
463,0,33360,20,1.6307797862238393
464,0,33350,20,1.5703092258962095
465,0,37360,20,1.4121654793175318
466,0,34910,20,1.9314645838108377
467,0,226280,20,inf
468,0,227110,20,inf
469,0,36460,20,0.9407457664007861
470,0,42140,20,0.907407243435342
471,0,39910,20,2.8146235925837617
472,0,43800,20,0.9793098582309704
473,0,37340,20,1.248170204144891
474,0,225840,20,inf
475,0,32340,20,1.7020936453356041
476,0,33400,20,1.6402089062012546
477,0,40960,20,1.7429086756270147
478,0,39420,20,1.6294950516471938
479,0,25200,20,2.0188728444506334
480,0,24740,20,2.1491621207631386
481,0,35350,20,1.8257272678444314
482,0,189960,20,inf
483,0,28150,20,2.4531014989256352
484,0,34130,20,2.535472566299396
485,0,228900,20,inf
486,0,48780,20,inf
487,0,28470,20,1.4831808419853139
488,0,29680,20,1.432887922869475
489,0,25780,20,1.5968374433845849
490,0,31540,20,1.4398416655744468
491,0,30110,20,1.3407978022609734
492,0,26150,20,1.4581272743279772
493,0,25590,20,1.3472479284981904
494,0,28850,20,1.2651820077569618
495,0,25430,20,1.2743679275033595
496,0,29090,20,1.202677115086463
497,0,32390,20,1.394309903380313
498,0,28180,20,1.0861378048533372
499,0,29710,20,1.1060056931956033
500,0,27500,20,0.9905419039129221
501,0,25220,20,0.8924722644502201
502,0,69290,20,inf
503,0,75900,20,inf
504,0,100320,20,inf
505,0,114730,20,inf
506,0,229640,20,inf
507,0,46800,20,inf
508,0,53510,20,inf
509,0,64210,20,inf
510,0,77350,20,inf
511,0,99380,20,inf
512,0,92510,20,inf
513,0,131870,20,inf
514,0,136070,20,inf
515,0,150560,20,inf
516,0,172930,20,inf
517,0,32470,20,1.978182185118928
518,0,38420,20,1.8716522352616878
519,0,41660,20,1.6002946406723297
520,0,35390,20,1.7812096862695745
521,0,41520,20,1.7689785500784485
522,0,37310,20,1.7391621718266825
523,0,36780,20,1.877045293366395
524,0,35430,20,1.9589854915399258
525,0,39350,20,1.7122595313839755
526,0,41650,20,1.557620520247081
527,0,37070,20,1.7016995693632584
528,0,39160,20,1.7665303429341286
529,0,34830,20,1.1661240307907408
530,0,31540,20,1.315259238246302
531,0,30360,20,1.209666159385287
532,0,34730,20,1.1720686173683252
533,0,31870,20,1.2014151112563387
534,0,29010,20,1.0975464331196902
535,0,36100,20,1.0792033396497738
536,0,33200,20,1.1631681818743371
537,0,31920,20,1.1863761496438467
538,0,33870,20,1.0564769925869093
539,0,29070,20,1.1490212440740104
540,0,62770,20,2.5822292108296576
541,0,52720,20,2.2277859442924117
542,0,44520,20,2.4518648613964817
543,0,229600,20,inf
544,0,230610,20,inf
545,0,32490,20,2.1761018063624338
546,0,34890,20,1.784698641063261
547,0,33230,20,2.075740104434317
548,0,28660,20,2.0120450001481553
549,0,225850,20,inf
550,0,226820,20,inf
551,0,30020,20,1.2176569377807196
552,0,32070,20,1.1815410223211014
553,0,27900,20,1.2408106512866486
554,0,34500,20,1.086157243011579
555,0,29550,20,1.076202115021184
556,0,26910,20,1.203364872229818
557,0,30470,20,0.9989027847167888
558,0,30720,20,1.0332634008195034
559,0,31720,20,1.0168456861315056
560,0,31640,20,0.9604247816893022
561,0,31220,20,0.933248009660006
562,0,28460,20,0.9626329067119094
563,0,92990,20,2.806084028723568
564,0,43370,20,2.42119087844524
565,0,63110,20,3.7760089246041684
566,0,75370,20,2.8920026744034826
567,0,69210,20,2.146531336909089
568,0,64430,20,1.4671339333158815
569,0,48600,20,0.9658411247584804
570,0,56150,20,0.7137077841625037
571,0,121300,20,inf
572,0,140100,20,inf
573,0,37190,20,0.6836280031109573
574,0,36960,20,0.6188934368994596
575,0,38270,20,0.552306100742676
576,0,36480,20,0.483921560917155
577,0,38590,20,0.4881405969966789
578,0,49480,20,0.4301861088926892
579,0,48830,20,0.4278192385008377
580,0,227290,20,inf
581,0,227680,20,inf
582,0,228640,20,inf
583,0,36090,20,0.7695990292487132
584,0,33910,20,0.7530025719607332
585,0,35120,20,0.7372960197932265
586,0,33260,20,0.7116471868065944
587,0,32660,20,0.6285142025090786
588,0,36170,20,0.9065616155371472
589,0,33330,20,0.8971267013863657
590,0,34150,20,0.8633103754102822
591,0,31600,20,0.8014005260100105
592,0,35670,20,0.7618741428994035
593,0,34890,20,0.7127848154757812
594,0,16770,20,inf
595,0,16930,20,inf
596,0,230220,20,inf
597,0,32480,20,1.4005459885668248
598,0,29590,20,1.5795012599441884
599,0,27340,20,1.5798540669759635
600,0,30500,20,1.4531420834869582
601,0,34030,20,1.6250977714710642
602,0,34460,20,1.390694849113184
603,0,28650,20,1.577453007408478
604,0,37260,20,1.4583519817777582
605,0,29180,20,1.6006587006101478
606,0,29770,20,1.5107309725518423
607,0,28160,20,1.5052035924255
608,0,35750,20,1.437109955310934
609,0,183770,20,inf
610,0,189340,20,inf
611,0,195330,20,inf
612,0,200670,20,inf
613,0,225940,20,inf
614,0,222790,20,inf
615,0,34870,20,0.7707191114437464
616,0,32350,20,0.8010798872397333
617,0,33870,20,0.7718119493161512
618,0,34070,20,0.7405989673156583
619,0,29540,20,0.8125310959790333
620,0,34220,20,0.7560687442870602
621,0,32330,20,0.7641470267620296
622,0,31660,20,0.7283457707708625
623,0,29750,20,0.7032560934466756
624,0,32780,20,0.6976185018030638
625,0,34450,20,0.6967505302176494
626,0,33820,20,0.6571987641358864
627,0,33540,20,0.6646693888170742
628,0,29070,20,0.7140413881348309
629,0,26280,20,1.6932480595125368
630,0,27780,20,2.2832340680426824
631,0,33260,20,1.1510525267573872
632,0,29980,20,1.1676169183430294
633,0,30840,20,1.0575697622805929
634,0,27390,20,1.1501474272091292
635,0,30000,20,0.976023059967725
636,0,26260,20,1.3420508948322278
637,0,153530,20,inf
638,0,32750,20,0.861036272982372
639,0,32720,20,0.8068306495266215
640,0,34080,20,0.8331766484539638
641,0,32760,20,0.7095372283423835
642,0,30690,20,0.7305507774450276
643,0,34340,20,0.6359552532092085
644,0,33590,20,0.7216424236876782
645,0,32920,20,0.6120033704208737
646,0,42790,20,0.54659825301419
647,0,33720,20,0.5844472067237287
648,0,37870,20,1.1483240260038041
649,0,30840,20,1.1216634762959603
650,0,33000,20,1.157928013722183
651,0,33160,20,1.0542785949538982
652,0,29860,20,1.215124964775604
653,0,30990,20,1.064469392340701
654,0,30130,20,1.0696232010882734
655,0,30030,20,1.0215243165001158
656,0,34960,20,0.9909605896973563
657,0,29610,20,0.9361937692317284
658,0,27310,20,1.0028821452989336
659,0,229560,20,inf
660,0,85140,20,inf
661,0,105460,20,inf
662,0,114220,20,inf
663,0,147020,20,inf
664,0,175150,20,inf
665,0,32210,20,2.3789270897876515
666,0,24110,20,2.795187367650563
667,0,27900,20,2.61163726217822
668,0,26870,20,2.9172668247007723
669,0,26840,20,2.7034257228402425
670,0,29460,20,3.023051206683825
671,0,23750,20,inf
672,0,29550,20,1.4541073851821182
673,0,27760,20,1.4306411182227
674,0,26640,20,1.4811131926775611
675,0,29190,20,1.4934545211030361
676,0,29140,20,1.4031503639732468
677,0,29210,20,1.4642013289527518
678,0,27160,20,1.3964368897183985
679,0,27730,20,1.4540224740442127
680,0,26070,20,1.5353601047879584
681,0,28110,20,1.3840417867395955
682,0,25020,20,1.5312095249742523
683,0,29850,20,1.4911419089102953
684,0,24400,20,1.466844572545467
685,0,26690,20,1.4124941411928003
686,0,26640,20,1.416215776003281
687,0,23390,20,1.4049369092308788
688,0,32840,20,1.3207853075790934
689,0,30070,20,1.310161162500284
690,0,29820,20,1.3866545761546254
691,0,23960,20,47.12011781400134
692,0,34390,20,19.45557785123358
693,0,35410,20,inf
694,0,43370,20,inf
695,0,49410,20,inf
696,0,67060,20,inf
697,0,101730,20,inf
698,0,127190,20,inf
699,0,134280,20,inf
700,0,143490,20,inf
701,0,231630,20,inf
702,0,39710,20,2.151389438302082
703,0,37130,20,2.441468816254902
704,0,28110,20,1.4883008186680171
705,0,31100,20,1.3427869499715042
706,0,31740,20,1.4472034071768753
707,0,30370,20,1.4953864270064279
708,0,28690,20,1.2926559928369814
709,0,29600,20,1.2717284027332825
710,0,28890,20,1.3750388082522262
711,0,25680,20,1.407215124984925
712,0,31030,20,1.2992964806162024
713,0,26680,20,1.3641328723989499
