data_id,xo,yo,vxo,vyo,xg,yg,thetag,vxg,vyg,omegag
0,5.485518757822128,5.648763024918207,0.055517534914767075,0.14639908812842728,5.311723696832612,5.764196079319902,0.0010105867717851082,1.474905839736234,1.4503321445354262,0.24254082522842596
1,5.486212727008561,5.651614888519812,0.055517534914767075,0.26902408812842726,5.330166340896694,5.782243894453633,0.004038090207957462,1.4756198190507626,1.4405715035153417,0.2420299997264695
2,5.486906696194994,5.655999564621418,0.055517534914767075,0.39164908812842725,5.348614571266646,5.800169687496398,0.007059208325355361,1.4759332795009852,1.430809308109344,0.24151917422451302
3,5.487600665381428,5.661917053223023,0.055517534914767075,0.5142740881284272,5.367063388473818,5.817973449118561,0.0100739411239788,1.475847063553322,1.4210467694896403,0.24100834872255655
4,5.488294634567861,5.669367354324628,0.055517534914767075,0.6368990881284272,5.385507803610844,5.835655185066362,0.013082288603827789,1.4753620173235633,1.4112850911754082,0.24049752322060008
5,5.4889886037542945,5.678350467926234,0.055517534914767075,0.7595240881284272,5.403942838376874,5.853214916066293,0.016084250764902316,1.474478990530742,1.4015254690380698,0.23998669771864362
6,5.489682572940728,5.688866394027839,0.055517534914767075,0.8821490881284272,5.4223635251222335,5.87065267772955,0.019079827607202386,1.4731988364512196,1.3917690913067915,0.23947587221668715
7,5.490376542127161,5.7009151326294445,0.055517534914767075,1.0047740881284273,5.440764906892508,5.887968520456545,0.022069019130728007,1.4715224118729826,1.382017138574217,0.23896504671473068
8,5.491070511313595,5.71449668373105,0.055517534914767075,1.1273990881284273,5.459142037472061,5.905162509341513,0.02505182533547916,1.4694505770501523,1.372270783802424,0.2384542212127742
9,5.491764480500028,5.7296110473326545,0.055517534914767075,1.2500240881284272,5.477489981426978,5.922234724077166,0.028028246221455864,1.4669841956577063,1.362531192329106,0.23794339571081774
10,5.4924584496864615,5.7462582234342605,0.055517534914767075,1.3726490881284272,5.4958038141474574,5.939185258859449,0.030998281788658117,1.4641241347464171,1.3527995218739772,0.23743257020886127
11,5.493152418872895,5.7644382120358655,0.055517534914767075,1.4952740881284272,5.514078621889632,5.95601422229237,0.033961932037085925,1.460871264698,1.3430769225453965,0.2369217447069048
12,5.493846388059328,5.784151013137471,0.055517534914767075,1.6178990881284272,5.532309501816832,5.9727217372929156,0.036919196966739266,1.4572264591804782,1.3333645368472093,0.23641091920494833
13,6.049162352218921,7.494377459376714,-0.12816865537494504,-1.1744512627241992,5.803823844301098,7.603335971863834,-0.0010232065615015658,1.119323439129496,-1.4244082658151098,-0.24556964208084361
14,6.04682789966609,7.00492212693185,0.23444790091175458,-0.9618663313411732,6.305408399873029,7.16062493349364,-0.18449702642265092,1.3539255662993912,-0.6743131602559509,-0.2031083883150841
15,6.0670991023162,6.9435914016479385,0.33126683726207656,-0.7727257224485409,6.404844678758461,7.117221640372362,-0.19188849106364492,1.4490079139152632,-0.5586802739424681,-0.01253226733355275
16,6.094229151491457,6.895936125780477,0.42648230914346424,-0.5740565951448874,6.511081224034933,7.0819920512293635,-0.18412336191415798,1.5445032762458384,-0.44395847505009,0.2213756367186217
17,6.954564261392032,0.15425265680222466,-0.19998457128043562,0.21542525282996267,7.042861139741872,0.27548790095272047,-0.0011960349871431813,0.6110920148717703,2.9118838489490786,-0.28704839691436357
18,6.94873137806302,0.16530464334309514,-0.19998457128043562,0.5015502528299627,7.060827280906038,0.36042557162540945,-0.009629031497570259,0.6199932766216204,2.9123580685977144,-0.29069349293985214
19,6.942898494734009,0.1847019423839722,-0.19998457128043562,0.7876752528299626,7.079093330931831,0.44537845154501987,-0.01816834330874075,0.6313160959258605,2.9129180453209105,-0.2943385889653407
20,6.937065611404997,0.2124445539248434,-0.19998457128043562,1.0738002528299626,7.097730411314248,0.5303494066430652,-0.026813970420654667,0.6450900070222179,2.9135857701316756,-0.2979836849908293
21,6.931232728075986,0.24853247796571942,-0.19998457128043562,1.3599252528299626,7.1168105014120675,0.6153419571343335,-0.03556591283331198,0.6613443290906803,2.9143840078432413,-0.30162878101631785
22,6.925399844746974,0.29296571450659137,-0.19998457128043562,1.6460502528299625,7.136406431943313,0.7003603002104324,-0.04442417054671272,0.6801081522758595,2.91533630450154,-0.3052738770418064
23,6.919566961417963,0.34574426354746635,-0.19998457128043562,1.9321752528299625,7.1565918780664415,0.7854093329464895,-0.05338874356085689,0.7014103233134984,2.9164669945970556,-0.308918973067295
24,6.913734078088951,0.406868125088339,-0.19998457128043562,2.218300252829964,7.177441352035674,0.8704946754143457,-0.062459631875744465,0.7252794307592707,2.9178012080449225,-0.31256406909278356
25,6.90790119475994,0.47633729912921474,-0.19998457128043562,2.5044252528299653,7.199030195418865,0.9556226939953145,-0.07163683549137548,0.7517437898182612,2.9193648769218994,-0.31620916511827213
26,6.902068311430928,0.5541517856700882,-0.19998457128043562,2.790550252829967,7.221434570866203,1.0408005248852294,-0.0809203544077499,0.7808314267737791,2.92118474194857,-0.3198542611437607
27,4.2673821794279805,2.3492999866771607,-0.003087809924634616,-0.1438302365048333,4.364205754381893,2.4644277106394545,0.0004156516606530164,-2.8881072899858506,1.0868235144457865,0.09975639855672393
28,4.2672406548064385,2.353948392504023,-0.003087809924634616,0.3057947634951667,4.231707159788701,2.513791567476975,0.005090644907396407,-2.8935183014511083,1.0688718392418488,0.1038693977391324
29,4.267099130184897,2.379204610830885,-0.003087809924634616,0.7554197634951667,4.098905245986194,2.5623333717324392,0.009954150616666855,-2.9011552258910487,1.0509512573039381,0.10798239692154087
