data_id,trial,plan iters,plan time,best cost
0,0,2560,10,1e-05
1,0,2180,10,1e-05
2,0,2140,10,1e-05
3,0,2160,10,1e-05
4,0,2160,10,1e-05
5,0,2250,10,1e-05
6,0,2270,10,1e-05
7,0,2560,10,1e-05
8,0,2340,10,2e-05
9,0,2280,10,2e-05
10,0,2350,10,2e-05
11,0,2610,10,2e-05
12,0,2560,10,2e-05
13,0,2560,10,2e-05
14,0,2780,10,3.0000000000000004e-05
15,0,2660,10,0.8104755941719742
16,0,2310,10,8.963052786097105
17,0,2370,10,inf
18,0,2290,10,5.348108995011252
19,0,2290,10,4.686917256456119
