data_id,xo,yo,thetao,vxo,vyo,omegao,xg1,xg2,vxg1,vxg2
5,6.01285789342551,2.012779342342587,0.006413874478354719,0.7919808922786847,0.7838503223252904,0.39413196226285835,1.780942599431492,3.72367099390625,4.960153145441718,1.4497730842067507
6,6.100717740448539,2.0959579652425027,0.04921249660943307,0.9779372228150882,0.8887018709084256,0.46742493900605403,2.259653635513665,3.877056227025232,4.523131665687624,1.6360299014285677
7,6.213397433188156,2.1928858517885854,0.1017972092554994,1.2809446265499513,1.0472093611632953,0.5853173307619458,2.663533156902029,4.055566945079976,3.5200669847477033,1.9318507494172596
8,6.361437337870583,2.3054494326949326,0.1676610286999415,1.6888336479807144,1.1431514860481007,0.7343005884087994,2.9483472325361606,4.265027004145157,2.2047176885462543,2.2655222916376845
9,6.551316019671982,2.4295966555848802,0.24789930506449373,2.108342828965871,1.2671720825641548,0.8696741087599374,3.0991816119202023,4.500712422402384,0.8939448113141573,2.450125028239024
10,6.784599867026016,2.554258434998079,0.3415022305268467,2.5297883907321594,1.217264303302969,0.9923741210682758,3.132556546296152,4.751358261177386,-0.11264020145102203,2.527966865284588
11,7.057175022493289,2.666821472276362,0.4458188048791134,2.8897499124955996,1.037772590214243,1.0853131332758004,3.0909588106585626,5.002371997836917,-0.601473693634434,2.461966018556275
12,7.361403857021906,2.7554515644771755,0.5578556598475841,3.1660238586886593,0.7509797286144136,1.1502787445858262,3.0317159781658374,5.240454952980521,-0.4885479339993198,2.276071306028473
13,7.6891716006947535,2.811248882120088,0.6753738937412825,3.3714403344620134,0.35500967546428736,1.1940512466783728,3.0131348837005723,5.454987149995924,0.1680930652302115,2.0275212538865777
14,8.034878690718411,2.828186216805812,0.797670438106301,3.5346304126265804,-0.0238342019282523,1.249718073263543,3.0809059761671618,5.636030455122133,1.1838934207840641,1.5987649834785311
15,8.396553240959328,2.800608944873615,0.9257441415991225,3.6920113137682935,-0.5001433521958889,1.3172905496696732,3.257070095159826,5.767893460048384,2.280304246775996,0.9741333669331247
16,8.77222457123019,2.721577853171552,1.0611743147509307,3.7948777830143468,-1.0499116448128223,1.392122314172056,3.5323012141779726,5.817590925433729,3.114625701796875,0.3365134663217131
17,9.153763906804054,2.5837371130955704,1.204428280109174,3.832087208790803,-1.6918139296986303,1.475189077239782,3.865182486970523,5.933990236119704,3.455352952586107,1.995786215532485
18,9.537292749978045,2.3771123417231084,1.3580676030234877,3.8280258896395254,-2.444764963292189,1.5901105620123575,4.214657204003418,6.233796102565338,3.5137526935492267,3.9373864745693687
19,9.91571438246176,2.088858392986534,1.5252842617664453,3.7448342712119143,-3.3101878168234555,1.7326897092729407,4.571117799862729,6.726616090184551,3.6540969372454355,5.797042230873164
