num_traj,data_id,shortest_distance_spring,S_stick_spring,S_engage_spring,shortest_distance_ground,S_stick_ground,S_engage_ground
0,0,1.0114054243661705e-05,1.2194612770201372,3.2913418468325264,1.0329129808804224e-05,0.7370680587679388,3.3333151595256267
0,1,1.0244104364941921e-05,1.1772932543880035,2.5453450438908325,2.749985146930853e-06,0.6548298341045568,2.96140117179286
0,2,1.012150456881565e-05,1.0647511920170696,2.41493034151301,2.917314047000061e-06,0.6402481605346745,2.8954570393898242
0,3,1.012561723785139e-05,1.272276913572838,3.4338921828677593,1.2014099401973927e-06,0.7543826850083069,3.411618791311863
0,4,1.0015384554291983e-05,0.8108429782176703,2.1476507835622995,4.830081562936031e-06,0.6128763228640095,2.771670692798103
0,5,1.0060109865899603e-05,1.2115389549979627,3.240368410240955,4.9598148581537355e-06,0.7299435191692667,3.3010951499423493
0,6,1.3324408044145486e-05,1.1309528829265623,3.052434524886545,2.6516065783301415e-05,0.7046632830263351,3.186767841249038
0,7,1.1601360338884866e-05,0.767489688189174,2.0714636405099673,2.247982810277445e-05,0.6047963817867154,2.7351299175019133
0,8,1.001608005309859e-05,1.2410277136149248,3.3099014769504387,1.2888606075513523e-05,0.7382854152593865,3.338820180551371
0,9,1.0044093057085808e-05,0.8135465286531012,2.1494954763580476,1.2914524954112452e-05,0.6136033175843115,2.7749574528766088
1,0,6.939640813962804e-05,2.714260792251165,4.1714991560887915,5.328581880381829e-05,2.2253544125541933,5.019074005198166
1,1,0.0004417741478740525,3.2298582440616572,4.963911720200767,0.00019234451319127994,2.725452922303985,5.611588990691953
1,2,0.000487322436731114,7.692315277624716,11.822182617690359,0.00028374112850637796,7.596554538452141,13.896584533340656
1,3,4.26738406114681e-05,6.79980659309949,8.815069541946643,0.00032901865620283023,6.4112820128716,10.79130040015766
1,4,3.787326807387619e-05,6.064956792707559,7.899080929897038,0.0003344255406336777,6.038569866470529,10.000340446554663
1,5,4.3537287147715883e-05,7.193295006056544,9.305413643399678,0.0003257902887090508,6.610429113470877,11.214405078241919
1,6,3.715446279219803e-05,5.391105764071267,7.060421407848817,0.00033519862204745184,5.69890964903162,9.277863640278092
1,7,4.3342532217836926e-05,7.839606783436109,10.108573453020119,0.0003241501879347481,6.9348765357448725,11.905058215792819
1,8,4.160518915363741e-05,6.547266119048757,8.499768421912002,0.00032787635724118754,6.282729143277963,10.518528425624151
1,9,3.792686142390486e-05,5.834195867966493,7.611499858874894,0.0003328521299332827,5.92187653709774,9.752208983351167
2,0,1.2675061258697742e-05,1.3941043247474614,2.714471741912181,5.921618863034481e-06,0.7219474889725244,3.839124547371891
2,1,3.613334280259344e-05,1.8092146124263029,3.5227363345131883,2.1185946794457025e-05,0.8484756003498665,4.422685002336495
2,2,0.00015937913000461576,2.248805625018329,4.378667543100786,8.489717765747425e-05,0.987385346921158,4.8756542862749175
2,3,0.00040892058012266796,2.2829449370105572,4.445140470717774,0.00016160709484514153,1.0223939599144085,4.7363364444749125
2,4,0.0005927730318333353,1.7043154558979414,3.3184863441533317,0.00012860059977604262,0.0,0.0
2,5,0.0007355256509005263,3.3922525962990835,6.60508234943255,0.00030637239925801647,2.6142535733303776,10.283362758275516
2,6,0.0009033587476465631,3.2975450830159794,6.420676588335001,0.0004103606148466738,1.5451954889791066,6.383312493886041
2,7,0.0011598546170175769,6.6264212394360955,12.902358161301109,0.0003212095854778791,3.393242912570508,13.387331882628084
2,8,0.12381569544489977,0.0,0.0,0.00032688646797019057,1.0762227000430367,1.9211393432003843
2,9,7.024147530089751e-05,0.937750803238003,1.8259020742352545,0.044504943834847266,0.0,0.0
3,0,7.474201239359673e-05,2.6860515649446737,4.1698201832820985,5.603374205409746e-05,2.1555558023526813,5.004271683509321
3,1,0.00037889079528329153,2.7996728873609396,4.346205665636055,0.0002534526896471618,2.520223897383586,5.235502500402369
3,2,0.00045730311185419577,1.5699043040400962,2.4371157872640206,0.0001395723885762052,0.0,0.0
3,3,4.293747620411494e-05,6.770817511568536,8.96109233828848,0.00033397363776965956,6.314865262079274,10.912171096945382
3,4,3.6751570978896936e-05,5.218924103186289,6.98472871429613,0.00034201781298004615,5.536579125574308,9.206781626976575
3,5,4.073390433177733e-05,6.793117667440788,8.989066200471092,0.000334693236298424,6.325236568353772,10.935710348493757
3,6,4.3253348884513294e-05,7.361479376981078,9.711925817631018,0.00033036995940549825,6.60938942041316,11.558550622713113
3,7,3.866456704413053e-05,5.6165443788191,7.490438245720766,0.0003378823537223425,5.735297649212893,9.642467102913887
3,8,4.003946224735982e-05,6.589363886524011,8.729443139990883,0.00033441473150897134,6.222910349333117,10.711527352303577
3,9,4.331862796889812e-05,7.305711507464093,9.641497232536759,0.0003292576165543365,6.5821203743933685,11.498412885932204
4,0,9.026317849415977e-05,2.797684143177164,4.445450468538841,6.015895259081812e-05,2.041950054363648,5.069883205413953
4,1,0.00047021668229694775,1.4635267705960102,2.325507626516397,0.00019068980161885025,0.0,0.0
4,2,0.0003095735412868454,8.985321320961111,14.277452038503267,0.00030557100598493773,8.620015669130119,16.849810089475127
4,3,3.8497291941476325e-05,5.459326363052543,7.448319739527686,0.000337484164570025,5.471363174004135,9.610278149740582
4,4,3.8535976238546236e-05,6.069799917754014,8.238174879265374,0.0003357589434542802,5.758529103960851,10.29011627745816
4,5,4.4505921621642495e-05,7.496048264253888,10.077841131502465,0.00032630351942875176,6.424823591273557,11.868468668212037
4,6,3.636317475397062e-05,4.967281550556099,6.809705133281801,0.0003387160178041099,5.237679568631733,9.058572379462998
